Instancia,Algoritmo,Run,Tiempo_s
c201,CLASSIC,9,8.14062
c201,CLASSIC,10,8.53125
c201,QLEARNING,1,8.79688
c201,QLEARNING,2,8.60938
c201,QLEARNING,3,8.96875
c201,QLEARNING,4,9.17188
c201,QLEARNING,5,8.6875
c201,QLEARNING,6,9.34375
c201,QLEARNING,7,8.9375
c201,QLEARNING,8,9.60938
c201,QLEARNING,9,9.76562
c201,QLEARNING,10,8.79688
c202,CLASSIC,1,15.3438
c202,CLASSIC,2,16.3906
c202,CLASSIC,3,16.5625
c202,CLASSIC,4,16.8906
c202,CLASSIC,5,24.375
c202,CLASSIC,6,22.3438
c202,CLASSIC,7,23.4062
c202,CLASSIC,8,22.8906
c202,CLASSIC,9,21.5938
c202,CLASSIC,10,25.1719
c202,QLEARNING,1,25.4219
c202,QLEARNING,2,23.3594
c202,QLEARNING,3,17.0625
c202,QLEARNING,4,20.0
c202,QLEARNING,5,15.9688
c202,QLEARNING,6,15.8594
c202,QLEARNING,7,16.8125
c202,QLEARNING,8,19.375
c202,QLEARNING,9,19.6875
c202,QLEARNING,10,17.3125
c203,CLASSIC,1,19.8438
c203,CLASSIC,2,20.5625
c203,CLASSIC,3,19.1094
c203,CLASSIC,4,19.8438
c203,CLASSIC,5,17.625
c203,CLASSIC,6,19.0938
c203,CLASSIC,7,18.5625
c203,CLASSIC,8,18.75
c203,CLASSIC,9,18.2969
c203,CLASSIC,10,18.2188
c203,QLEARNING,1,19.8281
c203,QLEARNING,2,23.9531
c203,QLEARNING,3,20.9844
c203,QLEARNING,4,19.8438
c203,QLEARNING,5,24.4062
c203,QLEARNING,6,21.25
c203,QLEARNING,7,21.2031
c203,QLEARNING,8,21.7188
c203,QLEARNING,9,21.4062
c203,QLEARNING,10,20.0156
c204,CLASSIC,1,19.1094
c204,CLASSIC,2,19.6406
c204,CLASSIC,3,19.8594
c204,CLASSIC,4,20.1094
c204,CLASSIC,5,20.4062
c204,CLASSIC,6,20.3125
c204,CLASSIC,7,19.4062
c204,CLASSIC,8,23.7812
c204,CLASSIC,9,18.6719
c204,CLASSIC,10,19.1562
c204,QLEARNING,1,20.9531
c204,QLEARNING,2,20.3281
c204,QLEARNING,3,22.8594
c204,QLEARNING,4,22.7031
c204,QLEARNING,5,21.7188
c204,QLEARNING,6,20.3906
c204,QLEARNING,7,20.1875
c204,QLEARNING,8,19.9688
c204,QLEARNING,9,20.7812
c204,QLEARNING,10,23.375
c205,CLASSIC,1,7.57812
c205,CLASSIC,2,10.2812
c205,CLASSIC,3,6.67188
c205,CLASSIC,4,18.5781
c205,CLASSIC,5,11.9688
c205,CLASSIC,6,11.7656
c205,CLASSIC,7,11.8906
c205,CLASSIC,8,9.73438
c205,CLASSIC,9,7.35938
c205,CLASSIC,10,9.125
c205,QLEARNING,1,7.96875
c205,QLEARNING,2,7.0
c205,QLEARNING,3,7.21875
c205,QLEARNING,4,7.71875
c205,QLEARNING,5,8.125
c205,QLEARNING,6,7.70312
c205,QLEARNING,7,8.01562
c205,QLEARNING,8,7.65625
c205,QLEARNING,9,7.17188
c205,QLEARNING,10,11.7344
c206,CLASSIC,1,9.09375
c206,CLASSIC,2,8.95312
c206,CLASSIC,3,8.65625
c206,CLASSIC,4,8.875
c206,CLASSIC,5,7.25
c206,CLASSIC,6,7.17188
c206,CLASSIC,7,7.76562
c206,CLASSIC,8,8.09375
c206,CLASSIC,9,9.10938
c206,CLASSIC,10,8.59375
c206,QLEARNING,1,11.3438
c206,QLEARNING,2,11.0469
c206,QLEARNING,3,11.4844
c206,QLEARNING,4,11.3281
c206,QLEARNING,5,11.0
c206,QLEARNING,6,11.1406
c206,QLEARNING,7,11.9531
c206,QLEARNING,8,12.9375
c206,QLEARNING,9,12.6875
c206,QLEARNING,10,13.0625
c207,CLASSIC,1,12.6875
c207,CLASSIC,2,9.46875
c207,CLASSIC,3,12.3281
c207,CLASSIC,4,9.53125
c207,CLASSIC,5,9.34375
c207,CLASSIC,6,9.28125
c207,CLASSIC,7,11.1719
c207,CLASSIC,8,9.65625
c207,CLASSIC,9,9.04688
c207,CLASSIC,10,10.1875
c207,QLEARNING,1,10.3438
c207,QLEARNING,2,9.34375
c207,QLEARNING,3,8.625
c207,QLEARNING,4,8.85938
c207,QLEARNING,5,9.60938
c207,QLEARNING,6,11.5938
c207,QLEARNING,7,15.9062
c207,QLEARNING,8,13.2344
c207,QLEARNING,9,15.0938
c207,QLEARNING,10,14.4219
c208,CLASSIC,1,14.0156
c208,CLASSIC,2,12.4531
c208,CLASSIC,3,10.8125
c208,CLASSIC,4,10.2969
c208,CLASSIC,5,11.4844
c208,CLASSIC,6,11.0781
c208,CLASSIC,7,11.2656
c208,CLASSIC,8,10.875
c208,CLASSIC,9,10.7344
c208,CLASSIC,10,10.4688
c208,QLEARNING,1,9.625
c208,QLEARNING,2,9.20312
c208,QLEARNING,3,6.85938
c208,QLEARNING,4,6.6875
c208,QLEARNING,5,6.375
c208,QLEARNING,6,5.67188
c208,QLEARNING,7,6.57812
c208,QLEARNING,8,5.54688
c208,QLEARNING,9,7.85938
c208,QLEARNING,10,9.14062
r101,CLASSIC,1,11.7344
r101,CLASSIC,2,11.8125
r101,CLASSIC,3,11.6875
r101,CLASSIC,4,11.5625
r101,CLASSIC,5,11.5
r101,CLASSIC,6,11.9531
r101,CLASSIC,7,11.5
r101,CLASSIC,8,11.5469
r101,CLASSIC,9,11.5938
r101,CLASSIC,10,11.7656
r101,QLEARNING,1,11.0938
r101,QLEARNING,2,11.8125
r101,QLEARNING,3,11.7031
r101,QLEARNING,4,11.625
r101,QLEARNING,5,11.7188
r101,QLEARNING,6,11.4844
r101,QLEARNING,7,11.8906
r101,QLEARNING,8,11.5469
r101,QLEARNING,9,11.7344
r101,QLEARNING,10,11.5938
r102,CLASSIC,1,15.3906
r102,CLASSIC,2,15.1562
r102,CLASSIC,3,15.375
r102,CLASSIC,4,15.7031
r102,CLASSIC,5,15.7188
r102,CLASSIC,6,15.5938
r102,CLASSIC,7,15.0
r102,CLASSIC,8,15.1875
r102,CLASSIC,9,15.9219
r102,CLASSIC,10,15.0156
r102,QLEARNING,1,18.4375
r102,QLEARNING,2,25.0469
r102,QLEARNING,3,28.5938
r102,QLEARNING,4,30.6875
r102,QLEARNING,5,29.7031
r102,QLEARNING,6,31.6094
r102,QLEARNING,7,37.8594
r102,QLEARNING,8,36.9844
r102,QLEARNING,9,39.4062
r102,QLEARNING,10,39.7969
r103,CLASSIC,1,38.3281
r103,CLASSIC,2,34.0469
r103,CLASSIC,3,34.6094
r103,CLASSIC,4,34.4062
r103,CLASSIC,5,32.625
r103,CLASSIC,6,33.7656
r103,CLASSIC,7,26.9844
r103,CLASSIC,8,27.25
r103,CLASSIC,9,27.75
r103,CLASSIC,10,27.9844
r103,QLEARNING,1,29.6406
r103,QLEARNING,2,24.4688
r103,QLEARNING,3,27.1562
r103,QLEARNING,4,24.9688
r103,QLEARNING,5,25.2344
r103,QLEARNING,6,29.7344
r103,QLEARNING,7,27.2344
r103,QLEARNING,8,27.0938
r103,QLEARNING,9,25.7031
r103,QLEARNING,10,26.9531
r104,CLASSIC,1,24.4375
r104,CLASSIC,2,22.8906
r104,CLASSIC,3,23.5625
r104,CLASSIC,4,21.3906
r104,CLASSIC,5,23.9375
r104,CLASSIC,6,23.7031
r104,CLASSIC,7,21.4062
r104,CLASSIC,8,21.6562
r104,CLASSIC,9,21.5781
r104,CLASSIC,10,20.7188
r104,QLEARNING,1,21.1094
r104,QLEARNING,2,22.9062
r104,QLEARNING,3,22.1719
r104,QLEARNING,4,22.7344
r104,QLEARNING,5,22.4375
r104,QLEARNING,6,27.5156
r104,QLEARNING,7,31.2344
r104,QLEARNING,8,30.4062
r104,QLEARNING,9,26.5469
r104,QLEARNING,10,22.1094
r105,CLASSIC,1,16.25
r105,CLASSIC,2,15.6719
r105,CLASSIC,3,15.5
r105,CLASSIC,4,15.9219
r105,CLASSIC,5,16.3125
r105,CLASSIC,6,15.1719
r105,CLASSIC,7,15.2656
r105,CLASSIC,8,15.5625
r105,CLASSIC,9,15.0312
r105,CLASSIC,10,15.0938
r105,QLEARNING,1,14.7344
r105,QLEARNING,2,16.6562
r105,QLEARNING,3,15.625
r105,QLEARNING,4,14.3906
r105,QLEARNING,5,15.875
r105,QLEARNING,6,17.375
r105,QLEARNING,7,17.0625
r105,QLEARNING,8,16.7656
r105,QLEARNING,9,16.2656
r105,QLEARNING,10,16.4219
r106,CLASSIC,1,26.0156
r106,CLASSIC,2,25.0469
r106,CLASSIC,3,26.7656
r106,CLASSIC,4,25.7812
r106,CLASSIC,5,27.9062
r106,CLASSIC,6,27.1719
r106,CLASSIC,7,26.9062
r106,CLASSIC,8,26.6875
r106,CLASSIC,9,26.5625
r106,CLASSIC,10,25.7656
r106,QLEARNING,1,26.8906
r106,QLEARNING,2,27.7969
r106,QLEARNING,3,26.0781
r106,QLEARNING,4,24.9531
r106,QLEARNING,5,28.6406
r106,QLEARNING,6,24.8438
r106,QLEARNING,7,27.0781
r106,QLEARNING,8,27.8594
r106,QLEARNING,9,26.1562
r106,QLEARNING,10,25.9219
r107,CLASSIC,1,24.375
r107,CLASSIC,2,24.9844
r107,CLASSIC,3,25.9844
r107,CLASSIC,4,23.8125
r107,CLASSIC,5,23.7344
r107,CLASSIC,6,24.1406
r107,CLASSIC,7,24.0625
r107,CLASSIC,8,24.4688
r107,CLASSIC,9,23.9062
r107,CLASSIC,10,23.75
r107,QLEARNING,1,24.2031
r107,QLEARNING,2,23.7656
r107,QLEARNING,3,24.1094
r107,QLEARNING,4,25.0938
r107,QLEARNING,5,24.8438
r107,QLEARNING,6,25.7812
r107,QLEARNING,7,25.8125
r107,QLEARNING,8,23.8438
r107,QLEARNING,9,24.1875
r107,QLEARNING,10,25.2812
r108,CLASSIC,1,23.0938
r108,CLASSIC,2,22.7188
r108,CLASSIC,3,21.5938
r108,CLASSIC,4,23.9219
r108,CLASSIC,5,25.3438
r108,CLASSIC,6,24.0938
r108,CLASSIC,7,26.7969
r108,CLASSIC,8,23.625
r108,CLASSIC,9,24.4531
r108,CLASSIC,10,23.5781
r108,QLEARNING,1,23.7969
r108,QLEARNING,2,26.5625
r108,QLEARNING,3,27.6094
r108,QLEARNING,4,27.125
r108,QLEARNING,5,29.7188
r108,QLEARNING,6,28.3281
r108,QLEARNING,7,28.0469
r108,QLEARNING,8,28.25
r108,QLEARNING,9,26.6875
r108,QLEARNING,10,26.8281
r109,CLASSIC,1,18.5625
r109,CLASSIC,2,24.2031
r109,CLASSIC,3,18.8438
r109,CLASSIC,4,18.625
r109,CLASSIC,5,25.2812
r109,CLASSIC,6,18.8125
r109,CLASSIC,7,23.8594
r109,CLASSIC,8,23.8594
r109,CLASSIC,9,19.0469
r109,CLASSIC,10,19.6719
r109,QLEARNING,1,18.9219
r109,QLEARNING,2,18.5312
r109,QLEARNING,3,20.6875
r109,QLEARNING,4,20.2031
r109,QLEARNING,5,18.0938
r109,QLEARNING,6,18.9531
r109,QLEARNING,7,18.2031
r109,QLEARNING,8,18.5781
r109,QLEARNING,9,17.7969
r109,QLEARNING,10,18.5312
r110,CLASSIC,1,20.5156
r110,CLASSIC,2,18.5938
r110,CLASSIC,3,17.4375
r110,CLASSIC,4,20.25
r110,CLASSIC,5,19.0156
r110,CLASSIC,6,17.7656
r110,CLASSIC,7,16.4062
r110,CLASSIC,8,16.4062
r110,CLASSIC,9,16.4062
r110,CLASSIC,10,19.3438
r110,QLEARNING,1,19.2344
r110,QLEARNING,2,15.8438
r110,QLEARNING,3,15.5156
r110,QLEARNING,4,15.4844
r110,QLEARNING,5,14.0469
r110,QLEARNING,6,14.2344
r110,QLEARNING,7,16.7031
r110,QLEARNING,8,15.0781
r110,QLEARNING,9,15.125
r110,QLEARNING,10,15.2969
r111,CLASSIC,1,15.6875
r111,CLASSIC,2,15.3906
r111,CLASSIC,3,14.4375
r111,CLASSIC,4,15.1875
r111,CLASSIC,5,14.1719
r111,CLASSIC,6,14.0938
r111,CLASSIC,7,13.9844
r111,CLASSIC,8,15.5312
r111,CLASSIC,9,14.75
r111,CLASSIC,10,13.6406
r111,QLEARNING,1,13.4062
r111,QLEARNING,2,13.3281
r111,QLEARNING,3,11.5156
r111,QLEARNING,4,11.75
r111,QLEARNING,5,12.0156
r111,QLEARNING,6,11.6406
r111,QLEARNING,7,13.3906
r111,QLEARNING,8,11.5
r111,QLEARNING,9,12.4219
r111,QLEARNING,10,12.8906
r112,CLASSIC,1,11.6719
r112,CLASSIC,2,11.4844
r112,CLASSIC,3,13.0469
r112,CLASSIC,4,12.8906
r112,CLASSIC,5,12.6094
r112,CLASSIC,6,11.9688
r112,CLASSIC,7,12.375
r112,CLASSIC,8,12.8438
r112,CLASSIC,9,14.375
r112,CLASSIC,10,14.6406
r112,QLEARNING,1,14.4375
r112,QLEARNING,2,14.9375
r112,QLEARNING,3,16.7344
r112,QLEARNING,4,15.7656
r112,QLEARNING,5,15.1719
r112,QLEARNING,6,15.9062
r112,QLEARNING,7,15.9219
r112,QLEARNING,8,15.0781
r112,QLEARNING,9,15.8594
r112,QLEARNING,10,14.9844
r201,CLASSIC,1,10.5
r201,CLASSIC,2,10.5781
