iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
33,0,13,1468.95,13,1578.43,0,1,0,277.051,0.999856,4.81299e-05,4.81299e-05,4.81299e-05,4.81299e-05,0.999856,4.81299e-05,4.81299e-05
34,0,13,1468.95,13,1577.03,0,1,13,276.913,0.999785,7.16704e-05,7.16704e-05,7.16704e-05,7.16704e-05,0.999785,7.16704e-05,7.16704e-05
35,0,13,1468.95,13,1577.03,0,1,0,276.774,0.999755,8.15015e-05,8.15015e-05,8.15015e-05,8.15015e-05,0.999755,8.15015e-05,8.15015e-05
36,0,13,1468.95,13,1577.03,0,1,9,276.636,0.99964,0.000120109,0.000120109,0.000120109,0.000120109,0.99964,0.000120109,0.000120109
37,0,13,1468.95,13,1577.03,0,1,0,276.497,0.99956,0.00014653,0.00014653,0.00014653,0.00014653,0.99956,0.00014653,0.00014653
38,0,13,1468.95,13,1563.39,0,1,13,276.359,0.99936,0.000213446,0.000213446,0.000213446,0.000213446,0.99936,0.000213446,0.000213446
39,0,13,1468.95,13,1590.67,0,1,9,276.221,0.999287,0.000237511,0.000237511,0.000237511,0.000237511,0.999287,0.000237511,0.000237511
40,0,13,1468.95,13,1590.67,0,1,0,276.083,0.999142,0.000285855,0.000285855,0.000285855,0.000285855,0.999142,0.000285855,0.000285855
41,0,13,1468.95,13,1590.67,0,1,0,275.945,0.998767,0.000410896,0.000410896,0.000410896,0.000410896,0.998767,0.000410896,0.000410896
42,0,13,1468.95,13,1590.67,0,1,0,275.807,0.998241,0.000586335,0.000586335,0.000586335,0.000586335,0.998241,0.000586335,0.000586335
43,0,13,1468.95,13,1590.67,0,1,0,275.669,0.997508,0.000830662,0.000830662,0.000830662,0.000830662,0.997508,0.000830662,0.000830662
44,0,13,1468.95,13,1590.67,0,1,0,275.531,0.996495,0.00116841,0.00116841,0.00116841,0.00116841,0.996495,0.00116841,0.00116841
45,0,13,1468.95,13,1590.67,0,1,0,275.393,0.995104,0.00163184,0.00163184,0.00163184,0.00163184,0.995104,0.00163184,0.00163184
46,0,13,1468.95,13,1537.85,0,1,13,275.256,0.993211,0.00226292,0.00226292,0.00226292,0.00226292,0.993211,0.00226292,0.00226292
47,0,13,1468.95,13,1537.85,0,1,0,275.118,0.992795,0.00240167,0.00240167,0.00240167,0.00240167,0.992795,0.00240167,0.00240167
48,0,13,1468.95,13,1529.94,0,1,13,274.98,0.990093,0.00330248,0.00330248,0.00330248,0.00330248,0.990093,0.00330248,0.00330248
49,0,13,1468.95,13,1563.22,0,1,9,274.843,0.989566,0.00347813,0.00347813,0.00347813,0.00347813,0.989566,0.00347813,0.00347813
50,0,13,1468.95,13,1556.17,0,1,13,274.706,0.988109,0.00396351,0.00396351,0.00396351,0.00396351,0.988109,0.00396351,0.00396351
51,0,13,1468.95,13,1558.1,0,1,9,274.568,0.987524,0.00415875,0.00415875,0.00415875,0.00415875,0.987524,0.00415875,0.00415875
52,0,13,1468.95,13,1558.1,0,1,0,274.431,0.985837,0.00472109,0.00472109,0.00472109,0.00472109,0.985837,0.00472109,0.00472109
53,0,13,1468.95,13,1548.55,0,1,13,274.294,0.980828,0.0063908,0.0063908,0.0063908,0.0063908,0.980828,0.0063908,0.0063908
54,0,13,1468.95,13,1512.55,0,1,13,274.157,0.98008,0.00664012,0.00664012,0.00664012,0.00664012,0.98008,0.00664012,0.00664012
55,0,13,1468.95,13,1512.55,0,1,0,274.019,0.979319,0.00689365,0.00689365,0.00689365,0.00689365,0.979319,0.00689365,0.00689365
56,0,13,1468.95,13,1475.38,0,1,13,273.882,0.972273,0.00924226,0.00924226,0.00924226,0.00924226,0.972273,0.00924226,0.00924226
57,0,13,1468.95,13,1563.41,0,1,9,273.746,0.971411,0.00952972,0.00952972,0.00952972,0.00952972,0.971411,0.00952972,0.00952972
58,0,13,1468.95,13,1552.82,0,1,13,273.609,0.968136,0.0106212,0.0106212,0.0106212,0.0106212,0.968136,0.0106212,0.0106212
59,0,13,1468.95,13,1552.82,0,1,0,273.472,0.967241,0.0109198,0.0109198,0.0109198,0.0109198,0.967241,0.0109198,0.0109198
60,0,13,1468.95,13,1588.47,0,1,9,273.335,0.956646,0.0144512,0.0144512,0.0144512,0.0144512,0.956646,0.0144512,0.0144512
61,0,13,1468.95,13,1588.47,0,1,0,273.198,0.952155,0.0159483,0.0159483,0.0159483,0.0159483,0.952155,0.0159483,0.0159483
62,0,13,1468.95,13,1588.47,0,1,0,273.062,0.937455,0.0208483,0.0208483,0.0208483,0.0208483,0.937455,0.0208483,0.0208483
63,0,13,1468.95,13,1588.47,0,0,0,272.925,0.91904,0.0269866,0.0269866,0.0269866,0.0269866,0.91904,0.0269866,0.0269866
64,0,13,1468.95,13,1641.19,0,1,9,272.789,0.896315,0.0345618,0.0345618,0.0345618,0.0291419,0.91704,0.0269089,0.0269089
65,0,13,1468.95,13,1641.19,0,3,0,272.652,0.888171,0.0372762,0.0372762,0.0372762,0.0316437,0.909919,0.0292186,0.0292186
66,0,13,1468.95,13,1608.25,0,1,13,272.516,0.858968,0.0470107,0.0470107,0.0470107,0.0315552,0.907982,0.0291363,0.0313266
67,0,13,1468.95,13,1548.37,0,0,13,272.38,0.859364,0.0468787,0.0468787,0.0468787,0.0317654,0.907369,0.02933,0.0315353
68,0,13,1468.95,13,1485.7,0,1,13,272.244,0.859752,0.0467492,0.0467492,0.0467492,0.0435104,0.896401,0.0289556,0.0311332
69,0,13,1468.95,13,1485.7,0,1,0,272.108,0.860134,0.046622,0.046622,0.046622,0.0437933,0.895732,0.0291415,0.0313335
70,0,13,1468.95,13,1485.7,0,0,0,271.971,0.825758,0.0580808,0.0580808,0.0580808,0.0556076,0.867608,0.0370001,0.0397838
71,0,13,1468.95,13,1490.88,0,1,9,271.836,0.785906,0.0713645,0.0713645,0.0713645,0.0560466,0.867249,0.0369615,0.0397428
72,0,13,1468.95,13,1619.26,0,1,9,271.7,0.774278,0.0752408,0.0752408,0.0752408,0.0601986,0.857421,0.0396963,0.0426841
73,0,13,1468.95,13,1663.13,3,1,9,271.564,0.762451,0.0791831,0.0791831,0.0791831,0.0645146,0.847205,0.0425389,0.0457413
74,0,13,1468.95,13,1663.13,0,2,0,271.428,0.752138,0.0780768,0.0780768,0.0917082,0.0689886,0.836616,0.045485,0.0489099
75,0,13,1468.95,13,1663.13,0,1,0,271.292,0.70311,0.0935195,0.0935195,0.109851,0.068865,0.835535,0.0467815,0.0488189
76,0,13,1468.95,13,1663.13,3,0,0,271.157,0.65002,0.110242,0.110242,0.129497,0.0852114,0.796504,0.0578816,0.0604029
77,0,13,1468.95,13,1653.2,3,1,13,271.021,0.656415,0.111287,0.111287,0.121012,0.0826758,0.798766,0.0580155,0.0605432
78,0,13,1468.95,13,1653.2,0,1,0,270.886,0.639866,0.108442,0.108442,0.143249,0.0821271,0.800109,0.0576264,0.0601376
79,0,13,1468.95,13,1653.2,3,3,0,270.75,0.583321,0.125466,0.125466,0.165747,0.100239,0.756034,0.0703304,0.0733959
80,0,13,1468.95,13,1684.38,3,1,9,270.615,0.593469,0.12761,0.12761,0.151312,0.100342,0.757111,0.070397,0.0721508
81,0,13,1468.95,13,1684.38,3,1,0,270.479,0.58562,0.125883,0.125883,0.162613,0.105602,0.744388,0.0740821,0.075928
82,0,13,1468.95,13,1684.38,0,1,0,270.344,0.595418,0.12795,0.12795,0.148682,0.12639,0.694081,0.0886595,0.0908691
83,0,13,1468.95,13,1569.05,0,1,13,270.209,0.538076,0.146083,0.146083,0.169758,0.148819,0.63981,0.104385,0.106987
84,0,13,1468.95,13,1569.05,1,1,0,270.074,0.546809,0.14332,0.14332,0.166552,0.146502,0.645431,0.102753,0.105314
85,0,13,1468.95,13,1569.05,2,1,0,269.939,0.554162,0.131879,0.145208,0.168751,0.169952,0.588693,0.119192,0.122164
86,0,13,1468.95,13,1569.05,0,1,0,269.804,0.561714,0.133638,0.133638,0.17101,0.193935,0.530669,0.136002,0.139394
87,0,13,1468.95,13,1569.05,0,0,0,269.669,0.504521,0.151074,0.151074,0.193332,0.217791,0.472958,0.152721,0.156531
88,0,13,1468.95,13,1552.17,0,2,13,269.534,0.448325,0.168205,0.168205,0.215266,0.193433,0.487729,0.157455,0.161384
89,0,13,1468.95,13,1552.17,0,1,0,269.399,0.459124,0.164909,0.164909,0.211058,0.188581,0.475582,0.178508,0.157329
90,0,13,1468.95,13,1552.17,2,1,0,269.265,0.404711,0.181495,0.181495,0.232298,0.208714,0.419602,0.197564,0.17412
91,0,13,1468.95,13,1552.17,0,2,0,269.13,0.414412,0.185816,0.161932,0.237839,0.227759,0.36665,0.215589,0.190002
92,0,13,1468.95,13,1529.38,3,1,13,268.995,0.362752,0.202206,0.176211,0.258831,0.235468,0.379096,0.189011,0.196425
93,0,13,1468.95,13,1529.38,1,0,0,268.861,0.354621,0.19765,0.172236,0.275493,0.231255,0.39022,0.185621,0.192904
94,0,13,1468.95,13,1529.38,3,3,0,268.727,0.365007,0.174191,0.177255,0.283547,0.202955,0.404614,0.19244,0.199992
95,0,13,1468.95,13,1529.38,0,1,0,268.592,0.383709,0.183089,0.18631,0.246892,0.208706,0.416136,0.19789,0.177268
96,0,13,1468.95,13,1529.38,2,2,0,268.458,0.334621,0.197668,0.201145,0.266566,0.227306,0.364108,0.215525,0.193061
97,0,13,1468.95,13,1509.56,3,2,13,268.324,0.344805,0.203662,0.176867,0.274666,0.234884,0.376281,0.189345,0.19949
98,0,13,1468.95,13,1509.56,1,0,0,268.189,0.337266,0.199188,0.172977,0.290569,0.229388,0.367511,0.208286,0.194816
99,0,13,1468.95,13,1526.48,3,1,9,268.055,0.347325,0.175337,0.178112,0.299227,0.201092,0.381029,0.215922,0.201956
100,0,13,1468.95,13,1526.48,0,3,0,267.921,0.348485,0.175898,0.178683,0.296934,0.203466,0.373721,0.218474,0.204339
101,0,13,1468.95,13,1526.48,3,0,0,267.787,0.302546,0.188291,0.191273,0.317889,0.209564,0.384969,0.225025,0.180443
102,0,13,1468.95,13,1526.48,2,0,0,267.653,0.321626,0.200147,0.203317,0.27491,0.185259,0.396831,0.231934,0.185976
103,0,13,1468.95,13,1521.2,3,2,13,267.52,0.331586,0.206325,0.178675,0.283414,0.165291,0.406584,0.237608,0.190517
104,0,13,1468.95,13,1521.2,1,0,0,267.386,0.324377,0.201821,0.174769,0.299033,0.161048,0.396218,0.257102,0.185632
105,0,13,1468.95,13,1503.8,3,0,13,267.252,0.334256,0.177539,0.18007,0.308135,0.144924,0.403857,0.262036,0.189182
106,0,13,1457.01,13,1457.01,3,2,33,267.119,0.327167,0.173752,0.176229,0.322853,0.164992,0.394403,0.25588,0.184725
107,0,13,1457.01,13,1457.01,3,0,0,266.985,0.27409,0.145545,0.14762,0.432745,0.141336,0.337912,0.362509,0.158243
108,0,13,1437.88,13,1437.88,0,2,33,266.852,0.299113,0.158813,0.161078,0.380997,0.127175,0.343492,0.368501,0.160832
109,0,13,1437.88,13,1437.93,0,2,9,266.718,0.41016,0.133638,0.135544,0.320658,0.104708,0.282867,0.48,0.132425
110,0,13,1437.88,13,1437.93,3,3,9,266.585,0.402587,0.135341,0.137272,0.324801,0.106757,0.288459,0.469762,0.135023
