iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
46,3,1186.92,3,1186.92,1,0,0,196.682,13.7194,3.81139,12.3494,0.81,10.8503,1,8.20505,7.69788
47,3,1186.92,3,1297.38,1,0,9,196.583,13.7194,4.33025,12.3494,0.81,10.6652,1,8.20505,7.69788
48,3,1186.92,3,1297.38,1,0,0,196.485,13.7194,3.89722,12.3494,0.81,9.59871,1,8.20505,7.69788
49,3,1186.92,3,1316.01,0,0,9,196.387,13.2474,3.89722,12.3494,0.81,9.53884,1,8.20505,7.69788
50,3,1186.92,3,1272.87,0,2,13,196.289,13.2227,3.89722,12.3494,0.81,9.53884,1,8.68455,7.69788
51,3,1186.92,3,1196.8,0,2,13,196.19,13.2004,3.89722,12.3494,0.81,9.53884,1,9.11609,7.69788
52,3,1186.92,3,1206.13,2,2,9,196.092,13.2004,3.89722,12.0145,0.81,9.53884,1,9.10448,7.69788
53,3,1186.92,3,1206.13,0,0,0,195.994,11.8804,3.89722,12.0145,0.81,8.58496,1,9.10448,7.69788
54,3,1129.52,3,1129.52,2,2,33,195.896,11.8804,3.89722,14.113,0.81,8.58496,1,11.494,7.69788
55,3,1129.52,3,1129.52,2,2,0,195.798,11.8804,3.89722,12.7017,0.81,8.58496,1,10.3446,7.69788
56,3,1129.52,3,1129.52,2,3,0,195.7,11.8804,3.89722,11.4315,0.81,8.58496,1,10.3446,6.9281
57,3,1129.52,3,1129.52,1,2,0,195.603,11.8804,3.5075,11.4315,0.81,8.58496,1,9.31017,6.9281
58,3,1129.52,3,1146.91,0,2,9,195.505,11.5923,3.5075,11.4315,0.81,8.58496,1,9.27915,6.9281
59,3,1129.52,3,1146.91,0,0,0,195.407,10.4331,3.5075,11.4315,0.81,7.72646,1,9.27915,6.9281
60,3,1129.52,3,1150.71,0,2,9,195.309,10.2898,3.5075,11.4315,0.81,7.72646,1,9.25124,6.9281
61,3,1113.03,3,1113.03,0,2,33,195.212,12.5608,3.5075,11.4315,0.81,7.72646,1,11.6261,6.9281
62,3,1070.43,3,1070.43,2,0,33,195.114,12.5608,3.5075,13.5884,0.81,10.2538,1,11.6261,6.9281
63,3,1070.43,3,1187.65,2,0,9,195.017,12.5608,3.5075,13.1295,0.81,10.1284,1,11.6261,6.9281
64,3,1070.43,3,1187.65,2,3,0,194.919,12.5608,3.5075,11.8166,0.81,10.1284,1,11.6261,6.23529
65,3,1070.43,3,1107.6,2,2,13,194.822,12.5608,3.5075,11.9349,0.81,10.1284,1,11.7635,6.23529
66,3,1070.43,3,1088.17,0,0,13,194.724,12.6047,3.5075,11.9349,0.81,10.4156,1,11.7635,6.23529
67,3,1070.43,3,1088.17,2,3,0,194.627,12.6047,3.5075,10.7414,0.81,10.4156,1,11.7635,5.61176
68,3,1070.43,3,1088.17,1,0,0,194.529,12.6047,3.15675,10.7414,0.81,9.37403,1,11.7635,5.61176
69,3,1070.43,3,1088.17,0,0,0,194.432,11.3443,3.15675,10.7414,0.81,8.43663,1,11.7635,5.61176
70,3,1014.06,3,1014.06,2,3,33,194.335,11.3443,3.15675,12.9673,0.81,8.43663,1,11.7635,8.35058
71,3,1014.06,3,1038.8,0,2,9,194.238,11.1098,3.15675,12.9673,0.81,8.43663,1,11.4872,8.35058
72,3,1014.06,3,1158.28,2,3,9,194.141,11.1098,3.15675,12.5706,0.81,8.43663,1,11.4872,8.41552
73,3,1014.06,3,1158.28,1,3,0,194.044,11.1098,2.84108,12.5706,0.81,8.43663,1,11.4872,7.57397
74,3,1014.06,3,1158.28,2,3,0,193.947,11.1098,2.84108,11.3135,0.81,8.43663,1,11.4872,6.81657
75,3,1014.06,3,1095.76,2,0,13,193.85,11.1098,2.84108,11.4822,0.81,8.89297,1,11.4872,6.81657
76,3,1014.06,3,1096.3,0,3,9,193.753,10.8989,2.84108,11.4822,0.81,8.89297,1,11.4872,7.03492
77,3,1014.06,3,1094.48,3,2,13,193.656,10.8989,2.84108,11.4822,2.029,8.89297,1,11.6384,7.03492
78,3,1014.06,3,1064.67,0,3,13,193.559,11.109,2.84108,11.4822,2.029,8.89297,1,11.6384,7.63143
79,3,1014.06,3,1064.67,2,2,0,193.462,11.109,2.84108,10.3339,2.029,8.89297,1,10.4746,7.63143
80,3,1014.06,3,1044.11,0,2,13,193.366,11.2981,2.84108,10.3339,2.029,8.89297,1,10.7271,7.63143
81,3,1014.06,3,1044.11,2,0,0,193.269,11.2981,2.84108,9.30055,2.029,8.00367,1,10.7271,7.63143
82,3,1001.52,3,1001.52,2,2,33,193.172,11.2981,2.84108,11.6705,2.029,8.00367,1,12.9544,7.63143
83,3,1001.52,3,1023.79,0,2,9,193.076,11.0683,2.84108,11.6705,2.029,8.00367,1,12.559,7.63143
84,3,1001.52,3,1023.79,1,0,0,192.979,11.0683,2.55697,11.6705,2.029,7.2033,1,12.559,7.63143
85,3,942.294,3,942.294,2,2,33,192.883,11.0683,2.55697,13.8034,2.029,7.2033,1,14.6031,7.63143
86,3,942.294,3,942.294,2,3,0,192.786,11.0683,2.55697,12.4231,2.029,7.2033,1,14.6031,6.86828
87,3,942.294,3,942.294,1,0,0,192.69,11.0683,2.30127,12.4231,2.029,6.48297,1,14.6031,6.86828
88,3,942.294,3,1122.24,2,0,9,192.593,11.0683,2.30127,12.0808,2.029,6.73467,1,14.6031,6.86828
89,3,942.294,3,1037.9,2,0,13,192.497,11.0683,2.30127,12.1727,2.029,7.36121,1,14.6031,6.86828
90,3,942.294,3,1050.08,3,0,9,192.401,11.0683,2.30127,12.1727,2.7261,7.52509,1,14.6031,6.86828
91,3,942.294,3,1113.62,1,0,9,192.305,11.0683,2.97115,12.1727,2.7261,7.67258,1,14.6031,6.86828
92,3,942.294,3,1096.55,3,2,13,192.209,11.0683,2.97115,12.1727,3.75349,7.67258,1,14.4428,6.86828
93,3,942.294,3,1096.55,3,2,0,192.112,11.0683,2.97115,12.1727,3.37814,7.67258,1,12.9985,6.86828
94,3,942.294,3,1006.25,2,0,13,192.016,11.0683,2.97115,12.2554,3.37814,8.20532,1,12.9985,6.86828
95,3,942.294,3,1006.25,1,2,0,191.92,11.0683,2.67403,12.2554,3.37814,8.20532,1,11.6986,6.86828
96,3,942.294,3,1029.96,2,2,9,191.824,11.0683,2.67403,11.9299,3.37814,8.20532,1,11.4288,6.86828
97,3,942.294,3,1029.96,0,3,0,191.728,9.96144,2.67403,11.9299,3.37814,8.20532,1,11.4288,6.18145
