iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,7,1168.45,7,1168.45,3,3,33,186.537,1,1,1,4.2,1,1,1,4.2
1,6,978.377,6,978.377,2,3,33,186.443,1,1,4.2,4.2,1,1,1,7.08
2,6,886.925,6,886.925,2,3,33,186.35,1,1,7.08,4.2,1,1,1,9.672
3,6,858.219,6,858.219,2,3,33,186.257,1,1,9.672,4.2,1,1,1,12.0048
4,6,833.939,6,833.939,2,3,33,186.164,1,1,12.0048,4.2,1,1,1,14.1043
5,6,832.789,6,832.789,3,3,33,186.071,1,1,12.0048,7.08,1,1,1,15.9939
6,6,832.789,6,858.288,2,3,9,185.978,1,1,11.7043,7.08,1,1,1,15.2945
7,4,851.324,4,851.324,1,3,33,185.885,1,4.2,11.7043,7.08,1,1,1,17.065
8,3,623.435,3,623.435,2,3,33,185.792,1,4.2,13.8339,7.08,1,1,1,18.6585
9,3,610.496,3,610.496,3,3,33,185.699,1,4.2,13.8339,9.672,1,1,1,20.0927
10,3,610.496,3,610.496,0,3,0,185.606,0.9,4.2,13.8339,9.672,1,1,1,18.0834
11,3,610.496,3,610.496,1,3,0,185.513,0.9,3.78,13.8339,9.672,1,1,1,16.2751
12,3,610.439,3,610.439,2,3,33,185.42,0.9,3.78,15.7505,9.672,1,1,1,17.9476
13,3,610.439,3,610.608,3,3,9,185.328,0.9,3.78,15.7505,9.6048,1,1,1,17.0528
14,3,610.439,3,610.608,1,3,0,185.235,0.9,3.402,15.7505,9.6048,1,1,1,15.3475
15,3,606.993,3,606.993,3,3,33,185.142,0.9,3.402,15.7505,11.9443,1,1,1,17.1128
16,3,603.321,3,603.321,2,3,33,185.05,0.9,3.402,17.4754,11.9443,1,1,1,18.7015
17,3,603.321,3,604.761,2,0,9,184.957,0.9,3.402,16.6279,11.9443,1.8,1,1,18.7015
18,3,603.321,3,604.761,2,3,0,184.865,0.9,3.402,14.9651,11.9443,1.8,1,1,16.8314
19,3,597.506,3,597.506,2,3,33,184.772,0.9,3.402,16.7686,11.9443,1.8,1,1,18.4482
20,3,592.671,3,592.671,3,3,33,184.68,0.9,3.402,16.7686,14.0499,1.8,1,1,19.9034
21,3,592.671,3,592.671,2,3,0,184.588,0.9,3.402,15.0917,14.0499,1.8,1,1,17.9131
22,3,592.671,3,592.84,2,3,9,184.495,0.9,3.402,14.4826,14.0499,1.8,1,1,17.0217
23,3,592.671,3,592.84,3,3,9,184.403,0.9,3.402,14.4826,13.5449,1.8,1,1,16.2196
24,3,589.807,3,589.807,2,3,33,184.311,0.9,3.402,16.3343,13.5449,1.8,1,1,17.8976
25,3,589.807,3,590.659,2,3,9,184.219,0.9,3.402,15.6009,13.5449,1.8,1,1,17.0079
26,3,588.493,3,588.493,2,1,33,184.127,0.9,3.402,17.3408,13.5449,1.8,4.2,1,17.0079
27,3,588.493,3,588.493,2,3,0,184.035,0.9,3.402,15.6067,13.5449,1.8,4.2,1,15.3071
28,3,588.493,3,590.659,2,3,9,183.943,0.9,3.402,14.946,13.5449,1.8,4.2,1,14.6764
29,3,588.286,3,588.286,3,0,33,183.851,0.9,3.402,14.946,15.4904,4.92,4.2,1,14.6764
30,3,588.286,3,589.299,2,3,9,183.759,0.9,3.402,14.3514,15.4904,4.92,4.2,1,14.1087
31,3,588.286,3,588.286,2,3,13,183.667,0.9,3.402,14.2163,15.4904,4.92,4.2,1,13.9979
32,3,588.286,3,624.521,2,3,9,183.575,0.9,3.402,13.6947,15.4904,4.92,4.2,1,13.4981
33,3,588.286,3,682.457,1,1,9,183.483,0.9,3.9618,13.6947,15.4904,4.92,4.68,1,13.4981
34,3,588.286,3,590.49,2,3,13,183.391,0.9,3.9618,13.6252,15.4904,4.92,4.68,1,13.4483
35,3,588.286,3,590.49,2,3,9,183.3,0.9,3.9618,13.1627,15.4904,4.92,4.68,1,13.0034
36,3,588.286,3,592.604,2,3,9,183.208,0.9,3.9618,12.7464,15.4904,4.92,4.68,1,12.6031
37,3,588.286,3,591.659,3,1,13,183.116,0.9,3.9618,12.7464,15.2414,4.92,5.512,1,12.6031
38,3,588.286,3,591.659,2,0,0,183.025,0.9,3.9618,11.4718,15.2414,4.428,5.512,1,12.6031
39,3,588.286,3,591.659,2,0,0,182.933,0.9,3.9618,10.3246,15.2414,3.9852,5.512,1,12.6031
40,3,588.286,3,591.659,3,3,9,182.842,0.9,3.9618,10.3246,14.6172,3.9852,5.512,1,12.2428
41,3,588.286,3,625.514,1,3,9,182.75,0.9,4.46562,10.3246,14.6172,3.9852,5.512,1,11.9185
42,3,588.286,3,618.19,3,1,13,182.659,0.9,4.46562,10.3246,14.4555,3.9852,6.2608,1,11.9185
43,3,588.286,3,618.19,3,0,9,182.568,0.9,4.46562,10.3246,13.91,4.48668,6.2608,1,11.9185
44,3,588.286,3,724.611,1,3,9,182.477,0.9,4.91906,10.3246,13.91,4.48668,6.2608,1,11.6267
45,3,588.286,3,724.611,1,3,0,182.385,0.9,4.42715,10.3246,13.91,4.48668,6.2608,1,10.464
46,3,588.286,3,708.984,3,3,13,182.294,0.9,4.42715,10.3246,13.819,4.48668,6.2608,1,10.7176
47,3,588.286,3,708.984,2,3,0,182.203,0.9,4.42715,9.29213,13.819,4.48668,6.2608,1,9.64583
48,3,588.286,3,708.984,3,1,0,182.112,0.9,4.42715,9.29213,12.4371,4.48668,5.63472,1,9.64583
49,3,588.286,3,641.905,3,0,13,182.021,0.9,4.42715,9.29213,12.4934,5.33801,5.63472,1,9.64583
50,3,588.286,3,641.905,3,1,0,181.93,0.9,4.42715,9.29213,11.244,5.33801,5.07125,1,9.64583
51,3,588.286,3,596.097,2,3,13,181.839,0.9,4.42715,9.66292,11.244,5.33801,5.07125,1,9.98125
52,3,588.286,3,591.365,2,2,13,181.748,0.9,4.42715,9.99663,11.244,5.33801,5.07125,2.2,9.98125
53,3,588.286,3,589.199,0,2,13,181.657,2.11,4.42715,9.99663,11.244,5.33801,5.07125,3.28,9.98125
54,3,588.286,3,589.199,2,1,9,181.566,2.11,4.42715,9.89697,11.244,5.33801,5.46412,3.28,9.98125
55,3,588.286,3,589.199,2,3,9,181.475,2.11,4.42715,9.80727,11.244,5.33801,5.46412,3.28,9.88312
56,3,588.286,3,589.199,0,1,9,181.385,2.799,4.42715,9.80727,11.244,5.33801,5.81771,3.28,9.88312
57,3,588.286,3,591.365,2,3,9,181.294,2.799,4.42715,9.72654,11.244,5.33801,5.81771,3.28,9.79481
58,3,588.286,3,678.511,1,3,9,181.203,2.799,4.88444,9.72654,11.244,5.33801,5.81771,3.28,9.71533
59,3,588.286,3,661.568,3,1,13,181.113,2.799,4.88444,9.72654,11.4196,5.33801,6.53594,3.28,9.71533
60,3,588.286,3,608.682,1,1,13,181.022,2.799,5.69599,9.72654,11.4196,5.33801,7.18235,3.28,9.71533
61,3,588.286,3,607.769,3,0,13,180.932,2.799,5.69599,9.72654,11.5777,6.10421,7.18235,3.28,9.71533
62,3,588.286,3,607.769,1,0,0,180.841,2.799,5.12639,9.72654,11.5777,5.49379,7.18235,3.28,9.71533
63,3,588.286,3,593.787,2,3,13,180.751,2.799,5.12639,10.0539,11.5777,5.49379,7.18235,3.28,10.0438
64,3,588.286,3,594.8,2,3,9,180.66,2.799,5.12639,9.9485,11.5777,5.49379,7.18235,3.28,9.93942
65,3,588.286,3,695.595,1,3,9,180.57,2.799,5.51375,9.9485,11.5777,5.49379,7.18235,3.28,9.84548
66,3,588.286,3,695.595,0,2,0,180.48,2.5191,5.51375,9.9485,11.5777,5.49379,7.18235,2.952,9.84548
67,3,588.286,3,668.507,3,3,13,180.39,2.5191,5.51375,9.9485,11.7199,5.49379,7.18235,2.952,10.1609
68,3,588.286,3,655.742,3,3,13,180.299,2.5191,5.51375,9.9485,11.8479,5.49379,7.18235,2.952,10.4448
69,3,588.286,3,603.385,2,3,13,180.209,2.5191,5.51375,10.2536,11.8479,5.49379,7.18235,2.952,10.7004
70,3,588.286,3,603.385,2,0,0,180.119,2.5191,5.51375,9.22828,11.8479,4.94441,7.18235,2.952,10.7004
71,3,588.286,3,593.825,2,3,13,180.029,2.5191,5.51375,9.60546,11.8479,4.94441,7.18235,2.952,10.9303
72,3,588.286,3,594.8,3,0,9,179.939,2.5191,5.51375,9.60546,11.5631,5.34997,7.18235,2.952,10.9303
73,3,588.286,3,595.713,0,3,9,179.849,3.16719,5.51375,9.60546,11.5631,5.34997,7.18235,2.952,10.7373
