iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,6,1014.47,6,1014.47,2,1,33,186.537,1,1,4.2,1,1,4.2,1,1
1,6,923.654,6,923.654,2,2,33,186.443,1,1,7.08,1,1,4.2,4.2,1
2,6,874.331,6,874.331,2,1,33,186.35,1,1,9.672,1,1,7.08,4.2,1
3,6,845.465,6,845.465,2,3,33,186.257,1,1,12.0048,1,1,7.08,4.2,4.2
4,6,829.722,6,829.722,2,2,33,186.164,1,1,14.1043,1,1,7.08,7.08,4.2
5,6,806.866,6,806.866,2,3,33,186.071,1,1,15.9939,1,1,7.08,7.08,7.08
6,5,772.46,5,772.46,2,2,33,185.978,1,1,17.6945,1,1,7.08,9.672,7.08
7,5,765.748,5,765.748,2,3,33,185.885,1,1,19.225,1,1,7.08,9.672,9.672
8,5,755.099,5,755.099,2,2,33,185.792,1,1,20.6025,1,1,7.08,12.0048,9.672
9,5,746.638,5,746.638,0,1,33,185.699,4.2,1,20.6025,1,1,9.672,12.0048,9.672
10,5,746.201,5,746.201,0,2,33,185.606,7.08,1,20.6025,1,1,9.672,14.1043,9.672
11,5,717.655,5,717.655,2,1,33,185.513,7.08,1,21.8423,1,1,12.0048,14.1043,9.672
12,5,717.655,5,736.125,2,2,9,185.42,7.08,1,20.5581,1,1,12.0048,13.5939,9.672
13,5,717.655,5,736.125,2,2,9,185.328,7.08,1,19.4023,1,1,12.0048,13.1345,9.672
14,5,716.408,5,716.408,2,2,33,185.235,7.08,1,20.762,1,1,12.0048,15.121,9.672
15,5,716.408,5,716.408,2,2,13,185.142,7.08,1,19.9858,1,1,12.0048,14.9089,9.672
16,5,716.408,5,750.989,2,3,9,185.05,7.08,1,18.8872,1,1,12.0048,14.9089,9.6048
17,5,716.408,5,717.752,2,3,13,184.957,7.08,1,18.2985,1,1,12.0048,14.9089,9.94432
18,5,716.408,5,717.752,0,1,9,184.865,7.272,1,18.2985,1,1,11.7043,14.9089,9.94432
19,5,716.408,5,717.715,2,2,13,184.772,7.272,1,17.7687,1,1,11.7043,14.718,9.94432
20,5,716.408,5,717.921,2,2,9,184.68,7.272,1,16.8918,1,1,11.7043,14.1462,9.94432
21,5,716.408,5,731.234,0,3,9,184.588,7.4448,1,16.8918,1,1,11.7043,14.1462,9.84989
22,5,716.408,5,717.921,0,1,13,184.495,8.00032,1,16.8918,1,1,11.8339,14.1462,9.84989
23,5,716.408,5,717.921,2,2,9,184.403,8.00032,1,16.1026,1,1,11.8339,13.6316,9.84989
24,5,716.408,5,718.366,0,1,9,184.311,8.10029,1,16.1026,1,1,11.5505,13.6316,9.84989
25,5,716.408,5,716.952,2,1,13,184.219,8.10029,1,15.7924,1,1,11.6954,13.6316,9.84989
26,5,716.408,5,716.952,2,2,9,184.127,8.10029,1,15.1131,1,1,11.6954,13.1685,9.84989
27,5,716.408,5,716.783,0,2,13,184.035,8.59026,1,15.1131,1,1,11.6954,13.1516,9.84989
28,5,716.408,5,716.783,2,3,9,183.943,8.59026,1,14.5018,1,1,11.6954,13.1516,9.7649
29,5,716.408,5,716.746,2,1,13,183.851,8.59026,1,14.3516,1,1,11.8259,13.1516,9.7649
30,5,716.408,5,716.952,0,2,9,183.759,8.63123,1,14.3516,1,1,11.8259,12.7365,9.7649
31,5,716.408,5,716.746,2,1,13,183.667,8.63123,1,14.2165,1,1,11.9433,12.7365,9.7649
32,5,716.408,5,716.783,0,2,9,183.575,8.66811,1,14.2165,1,1,11.9433,12.3628,9.7649
33,5,716.408,5,716.783,2,1,9,183.483,8.66811,1,13.6948,1,1,11.649,12.3628,9.7649
34,5,716.408,5,716.746,2,2,13,183.391,8.66811,1,13.6253,1,1,11.649,12.4265,9.7649
35,5,716.408,5,716.563,2,3,13,183.3,8.66811,1,13.5628,1,1,11.649,12.4265,10.0884
36,4,683.509,4,683.509,0,1,33,183.208,11.1013,1,13.5628,1,1,13.7841,12.4265,10.0884
37,4,678.081,4,678.081,2,1,33,183.116,11.1013,1,15.5065,1,1,15.7057,12.4265,10.0884
38,4,672.382,4,672.382,2,2,33,183.025,11.1013,1,17.2559,1,1,15.7057,14.4839,10.0884
39,4,672.382,4,672.382,2,1,13,182.933,11.1013,1,16.8303,1,1,15.4351,14.4839,10.0884
40,4,671.469,4,671.469,2,1,33,182.842,11.1013,1,18.4473,1,1,17.1916,14.4839,10.0884
41,4,671.469,4,686.666,0,1,9,182.75,10.8912,1,18.4473,1,1,16.3724,14.4839,10.0884
42,4,671.469,4,754.511,1,3,9,182.659,10.8912,1.8,18.4473,1,1,16.3724,14.4839,9.97957
43,3,603.399,3,603.399,2,3,33,182.568,10.8912,1.8,19.9025,1,1,16.3724,14.4839,12.2816
44,3,599.784,3,599.784,2,1,33,182.477,10.8912,1.8,21.2123,1,1,18.0352,14.4839,12.2816
45,3,589.237,3,589.237,2,3,33,182.385,10.8912,1.8,22.391,1,1,18.0352,14.4839,14.3535
46,3,589.237,3,595.75,2,2,9,182.294,10.8912,1.8,21.0519,1,1,18.0352,13.9355,14.3535
47,3,589.237,3,592.572,2,1,13,182.203,10.8912,1.8,20.2468,1,1,17.5317,13.9355,14.3535
48,3,589.237,3,593.825,2,3,9,182.112,10.8912,1.8,19.1221,1,1,17.5317,13.9355,13.8181
49,3,589.237,3,591.621,2,1,13,182.021,10.8912,1.8,18.5099,1,1,17.0785,13.9355,13.8181
50,3,589.237,3,591.621,0,2,9,181.93,10.7021,1.8,18.5099,1,1,17.0785,13.4419,13.8181
51,3,588.286,3,588.286,0,1,33,181.839,12.9318,1.8,18.5099,1,1,18.6707,13.4419,13.8181
52,3,588.286,3,588.286,0,1,13,181.748,12.9387,1.8,18.5099,1,1,18.1036,13.4419,13.8181
53,3,588.286,3,590.49,2,3,9,181.657,12.9387,1.8,17.5589,1,1,18.1036,13.4419,13.3363
54,3,588.286,3,588.286,2,1,13,181.566,12.9387,1.8,17.103,1,1,17.5932,13.4419,13.3363
55,3,588.286,3,588.286,2,2,0,181.475,12.9387,1.8,15.3927,1,1,17.5932,12.0977,13.3363
56,3,588.286,3,588.286,2,2,0,181.385,12.9387,1.8,13.8534,1,1,17.5932,10.888,13.3363
57,3,588.286,3,588.286,2,1,13,181.294,12.9387,1.8,13.7681,1,1,17.1339,10.888,13.3363
58,3,588.286,3,588.286,0,1,13,181.203,12.9448,1.8,13.7681,1,1,16.7205,10.888,13.3363
59,3,588.286,3,589.638,0,3,9,181.113,12.5503,1.8,13.7681,1,1,16.7205,10.888,12.9027
60,3,588.286,3,588.286,0,2,13,181.022,12.5953,1.8,13.7681,1,1,16.7205,11.0992,12.9027
61,3,588.286,3,588.286,2,0,13,180.932,12.5953,1.8,13.6913,1,2.2,16.7205,11.0992,12.9027
62,3,588.286,3,591.465,2,3,9,180.841,12.5953,1.8,13.2221,1,2.2,16.7205,11.0992,12.5124
63,3,588.286,3,591.465,2,2,0,180.751,12.5953,1.8,11.8999,1,2.2,16.7205,9.98925,12.5124
64,3,588.286,3,590.452,2,3,13,180.66,12.5953,1.8,12.0099,1,2.2,16.7205,9.98925,12.5612
65,3,588.286,3,590.452,2,2,9,180.57,12.5953,1.8,11.7089,1,2.2,16.7205,9.89033,12.5612
66,3,588.286,3,590.452,0,1,9,180.48,12.2358,1.8,11.7089,1,2.2,15.9485,9.89033,12.5612
67,3,588.286,3,590.452,2,3,9,180.39,12.2358,1.8,11.4381,1,2.2,15.9485,9.89033,12.205
68,3,588.286,3,588.286,0,1,13,180.299,12.3122,1.8,11.4381,1,2.2,15.6536,9.89033,12.205
69,3,588.286,3,588.286,2,1,13,180.209,12.3122,1.8,11.5942,1,2.2,15.3883,9.89033,12.205
70,3,588.286,3,589.505,0,2,9,180.119,11.981,1.8,11.5942,1,2.2,15.3883,9.8013,12.205
71,3,588.286,3,589.505,0,1,9,180.029,11.6829,1.8,11.5942,1,2.2,14.7494,9.8013,12.205
72,3,588.286,3,589.505,0,1,9,179.939,11.4146,1.8,11.5942,1,2.2,14.1745,9.8013,12.205
73,3,588.286,3,591.365,2,2,9,179.849,11.4146,1.8,11.3348,1,2.2,14.1745,9.72117,12.205
74,3,588.286,3,590.212,2,3,13,179.759,11.4146,1.8,11.5013,1,2.2,14.1745,9.72117,12.2845
75,3,588.286,3,588.286,2,3,13,179.669,11.4146,1.8,11.6512,1,2.2,14.1745,9.72117,12.3561
76,3,588.286,3,588.286,0,1,13,179.579,11.5731,1.8,11.6512,1,2.2,14.057,9.72117,12.3561
77,3,588.286,3,588.286,0,1,13,179.49,11.7158,1.8,11.6512,1,2.2,13.9513,9.72117,12.3561
78,3,588.286,3,588.286,0,1,13,179.4,11.8442,1.8,11.6512,1,2.2,13.8562,9.72117,12.3561
79,3,588.286,3,588.286,0,1,13,179.31,11.9598,1.8,11.6512,1,2.2,13.7706,9.72117,12.3561
80,3,588.286,3,588.286,0,0,13,179.221,12.0638,1.8,11.6512,1,3.28,13.7706,9.72117,12.3561
81,3,588.286,3,588.286,2,0,13,179.131,12.0638,1.8,11.7861,1,4.252,13.7706,9.72117,12.3561
82,3,588.286,3,588.286,2,1,13,179.041,12.0638,1.8,11.9075,1,4.252,13.6935,9.72117,12.3561
83,3,588.286,3,588.286,0,1,13,178.952,12.1574,1.8,11.9075,1,4.252,13.6242,9.72117,12.3561
84,3,588.286,3,588.286,0,2,13,178.862,12.2417,1.8,11.9075,1,4.252,13.6242,10.0491,12.3561
85,3,588.286,3,589.237,3,3,9,178.773,12.2417,1.8,11.9075,1.8,4.252,13.6242,10.0491,12.0205
86,3,588.286,3,589.199,0,1,13,178.684,12.3175,1.8,11.9075,1.8,4.252,13.5618,10.0491,12.0205
87,3,588.286,3,589.199,0,0,9,178.594,11.9858,1.8,11.9075,1.8,4.7268,13.5618,10.0491,12.0205
