iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,22,2062.01,22,2062.01,2,3,33,320.388,1,1,4.2,1,1,1,1,4.2
1,17,1833.1,17,1833.1,2,3,33,320.228,1,1,7.08,1,1,1,1,7.08
2,16,1824.22,16,1824.22,2,3,33,320.068,1,1,9.672,1,1,1,1,9.672
3,16,1824.22,16,1939.07,2,0,9,319.908,1,1,9.6048,1,1.8,1,1,9.672
4,16,1824.22,16,1929.55,2,3,13,319.748,1,1,9.94432,1,1.8,1,1,10.0048
5,16,1824.22,16,1838.42,2,3,13,319.588,1,1,10.2499,1,1.8,1,1,10.3043
6,16,1824.22,16,1838.42,2,3,0,319.428,1,1,9.2249,1,1.8,1,1,9.27389
7,16,1824.22,16,1837.8,0,0,13,319.269,2.2,1,9.2249,1,2.92,1,1,9.27389
8,15,1675.38,15,1675.38,2,2,33,319.109,2.2,1,11.6024,1,2.92,1,4.2,9.27389
9,15,1666.68,15,1666.68,2,3,33,318.95,2.2,1,13.7422,1,2.92,1,4.2,11.6465
10,15,1644.66,15,1644.66,2,3,33,318.79,2.2,1,15.668,1,2.92,1,4.2,13.7818
11,14,1696.81,14,1696.81,2,2,33,318.631,2.2,1,17.4012,1,2.92,1,7.08,13.7818
12,14,1626.1,14,1626.1,2,2,33,318.471,2.2,1,18.961,1,2.92,1,9.672,13.7818
13,13,1588.57,13,1588.57,2,2,33,318.312,2.2,1,20.3649,1,2.92,1,12.0048,13.7818
14,13,1552.48,13,1552.48,2,2,33,318.153,2.2,1,21.6284,1,2.92,1,14.1043,13.7818
15,13,1544.29,13,1544.29,3,3,33,317.994,2.2,1,21.6284,4.2,2.92,1,14.1043,15.7037
16,13,1518.54,13,1518.54,2,3,33,317.835,2.2,1,22.7656,4.2,2.92,1,14.1043,17.4333
17,13,1518.54,13,1518.54,2,3,0,317.676,2.2,1,20.489,4.2,2.92,1,14.1043,15.69
18,13,1514,13,1514,2,3,33,317.517,2.2,1,21.7401,4.2,2.92,1,14.1043,17.421
19,13,1514,13,1514,2,3,0,317.358,2.2,1,19.5661,4.2,2.92,1,14.1043,15.6789
20,13,1514,13,1514,3,3,0,317.2,2.2,1,19.5661,3.78,2.92,1,14.1043,14.111
21,13,1514,13,1514,2,3,0,317.041,2.2,1,17.6095,3.78,2.92,1,14.1043,12.6999
22,13,1514,13,1527.31,0,3,9,316.883,2.88,1,17.6095,3.78,2.92,1,14.1043,12.3299
23,13,1514,13,1527.31,2,3,0,316.724,2.88,1,15.8486,3.78,2.92,1,14.1043,11.0969
24,13,1514,13,1527.31,3,3,0,316.566,2.88,1,15.8486,3.402,2.92,1,14.1043,9.98722
25,13,1510.65,13,1510.65,0,3,33,316.407,5.892,1,15.8486,3.402,2.92,1,14.1043,12.2885
26,13,1510.65,13,1510.65,2,2,0,316.249,5.892,1,14.2637,3.402,2.92,1,12.6939,12.2885
27,13,1510.65,13,1510.65,2,3,0,316.091,5.892,1,12.8373,3.402,2.92,1,12.6939,11.0596
28,13,1510.65,13,1581.99,0,0,9,315.933,6.2028,1,12.8373,3.402,3.528,1,12.6939,11.0596
29,13,1502.94,13,1502.94,2,2,33,315.775,6.2028,1,14.8536,3.402,3.528,1,14.7245,11.0596
30,13,1502.94,13,1503.06,0,2,9,315.617,6.48252,1,14.8536,3.402,3.528,1,14.152,11.0596
31,13,1502.94,13,1503.06,0,3,0,315.459,5.83427,1,14.8536,3.402,3.528,1,14.152,9.95368
32,13,1495.58,13,1495.58,3,1,33,315.302,5.83427,1,14.8536,6.3618,3.528,4.2,14.152,9.95368
33,13,1495.58,13,1550.4,2,3,9,315.144,5.83427,1,14.2682,6.3618,3.528,4.2,14.152,9.85831
34,13,1495.58,13,1541.23,0,2,13,314.987,6.55084,1,14.2682,6.3618,3.528,4.2,14.0368,9.85831
35,13,1495.58,13,1541.23,2,2,9,314.829,6.55084,1,13.7414,6.3618,3.528,4.2,13.5332,9.85831
36,13,1495.58,13,1541.23,1,0,0,314.672,6.55084,0.9,13.7414,6.3618,3.1752,4.2,13.5332,9.85831
37,13,1495.58,13,1541.23,3,2,0,314.514,6.55084,0.9,13.7414,5.72562,3.1752,4.2,12.1798,9.85831
38,13,1495.58,13,1541.23,3,0,0,314.357,6.55084,0.9,13.7414,5.15306,2.85768,4.2,12.1798,9.85831
39,13,1495.58,13,1512.01,2,2,13,314.2,6.55084,0.9,13.6673,5.15306,2.85768,4.2,12.2619,9.85831
40,13,1495.58,13,1532.78,0,3,9,314.043,6.79576,0.9,13.6673,5.15306,2.85768,4.2,12.2619,9.77248
41,13,1495.58,13,1532.78,0,2,0,313.886,6.11618,0.9,13.6673,5.15306,2.85768,4.2,11.0357,9.77248
42,13,1485.96,13,1485.96,0,2,33,313.729,8.80456,0.9,13.6673,5.15306,2.85768,4.2,13.2321,9.77248
43,13,1474.13,13,1474.13,0,2,33,313.572,11.2241,0.9,13.6673,5.15306,2.85768,4.2,15.2089,9.77248
44,13,1474.13,13,1474.13,2,2,0,313.415,11.2241,0.9,12.3005,5.15306,2.85768,4.2,13.688,9.77248
45,13,1474.13,13,1474.13,2,1,0,313.258,11.2241,0.9,11.0705,5.15306,2.85768,3.78,13.688,9.77248
46,13,1470.78,13,1470.78,2,2,33,313.102,11.2241,0.9,13.2634,5.15306,2.85768,3.78,15.6192,9.77248
47,13,1470.78,13,1496.75,3,2,9,312.945,11.2241,0.9,13.2634,5.53775,2.85768,3.78,14.9573,9.77248
48,13,1470.78,13,1496.75,2,3,0,312.789,11.2241,0.9,11.9371,5.53775,2.85768,3.78,14.9573,8.79523
49,13,1470.78,13,1496.75,0,2,0,312.632,10.1017,0.9,11.9371,5.53775,2.85768,3.78,13.4616,8.79523
50,13,1470.78,13,1489.24,0,2,13,312.476,10.3915,0.9,11.9371,5.53775,2.85768,3.78,13.4154,8.79523
51,13,1470.78,13,1487.44,3,2,13,312.32,10.3915,0.9,11.9371,6.28398,2.85768,3.78,13.3739,8.79523
52,13,1470.78,13,1487.44,0,3,0,312.164,9.35237,0.9,11.9371,6.28398,2.85768,3.78,13.3739,7.91571
53,13,1470.78,13,1529.05,3,2,9,312.008,9.35237,0.9,11.9371,6.55558,2.85768,3.78,12.9365,7.91571
54,13,1470.78,13,1529.05,2,1,0,311.852,9.35237,0.9,10.7434,6.55558,2.85768,3.402,12.9365,7.91571
55,13,1470.78,13,1529.05,2,2,0,311.696,9.35237,0.9,9.66905,6.55558,2.85768,3.402,11.6428,7.91571
56,13,1470.78,13,1529.05,2,2,0,311.54,9.35237,0.9,8.70214,6.55558,2.85768,3.402,10.4785,7.91571
57,13,1470.78,13,1529.05,2,3,0,311.384,9.35237,0.9,7.83193,6.55558,2.85768,3.402,10.4785,7.12414
58,13,1470.78,13,1529.05,0,2,0,311.228,8.41714,0.9,7.83193,6.55558,2.85768,3.402,9.43069,7.12414
59,13,1470.78,13,1529.05,0,3,0,311.073,7.57542,0.9,7.83193,6.55558,2.85768,3.402,9.43069,6.41173
60,13,1470.78,13,1529.05,0,3,0,310.917,6.81788,0.9,7.83193,6.55558,2.85768,3.402,9.43069,5.77055
61,13,1470.78,13,1529.05,0,3,0,310.762,6.13609,0.9,7.83193,6.55558,2.85768,3.402,9.43069,5.1935
62,13,1470.78,13,1529.05,2,0,0,310.606,6.13609,0.9,7.04874,6.55558,2.57191,3.402,9.43069,5.1935
63,13,1470.78,13,1529.05,2,2,0,310.451,6.13609,0.9,6.34386,6.55558,2.57191,3.402,8.48762,5.1935
64,13,1470.78,13,1509.73,0,0,13,310.296,6.82248,0.9,6.34386,6.55558,3.61472,3.402,8.48762,5.1935
65,13,1470.78,13,1509.73,3,3,0,310.141,6.82248,0.9,6.34386,5.90002,3.61472,3.402,8.48762,4.67415
66,13,1470.78,13,1555.19,2,0,9,309.986,6.82248,0.9,6.60948,5.90002,4.15325,3.402,8.48762,4.67415
67,13,1470.78,13,1555.19,2,0,0,309.831,6.82248,0.9,5.94853,5.90002,3.73792,3.402,8.48762,4.67415
68,13,1470.78,13,1634.26,0,2,9,309.676,7.04023,0.9,5.94853,5.90002,3.73792,3.402,8.53886,4.67415
69,13,1470.78,13,1571.84,0,2,13,309.521,7.63621,0.9,5.94853,5.90002,3.73792,3.402,8.98497,4.67415
70,13,1470.78,13,1571.84,0,3,0,309.366,6.87259,0.9,5.94853,5.90002,3.73792,3.402,8.98497,4.20673
71,13,1470.78,13,1571.84,0,3,0,309.211,6.18533,0.9,5.94853,5.90002,3.73792,3.402,8.98497,3.78606
72,13,1470.78,13,1555.32,2,2,13,309.057,6.18533,0.9,6.65368,5.90002,3.73792,3.402,9.38648,3.78606
73,13,1470.78,13,1569.96,0,1,9,308.902,6.4668,0.9,6.65368,5.90002,3.73792,3.9618,9.38648,3.78606
74,13,1470.78,13,1569.96,3,3,0,308.748,6.4668,0.9,6.65368,5.31002,3.73792,3.9618,9.38648,3.40745
75,13,1470.78,13,1550.55,3,0,13,308.593,6.4668,0.9,6.65368,6.07902,4.66413,3.9618,9.38648,3.40745
76,13,1470.78,13,1545.62,2,1,13,308.439,6.4668,0.9,7.28831,6.07902,4.66413,4.86562,9.38648,3.40745
77,13,1470.78,13,1492.49,2,2,13,308.285,6.4668,0.9,7.85948,6.07902,4.66413,4.86562,9.74783,3.40745
78,13,1470.78,13,1492.49,2,2,0,308.131,6.4668,0.9,7.07353,6.07902,4.66413,4.86562,8.77305,3.40745
79,13,1470.78,13,1613.91,0,2,9,307.977,6.72012,0.9,7.07353,6.07902,4.66413,4.86562,8.79574,3.40745
80,13,1470.78,13,1590.3,2,1,13,307.823,6.72012,0.9,7.66618,6.07902,4.66413,5.67906,8.79574,3.40745
81,13,1470.78,13,1686.77,1,0,9,307.669,6.72012,1.71,7.66618,6.07902,5.09772,5.67906,8.79574,3.40745
82,12,1612.3,12,1612.3,0,1,33,307.515,9.34811,1.71,7.66618,6.07902,5.09772,8.41115,8.79574,3.40745
83,12,1612.3,12,1612.3,3,2,0,307.361,9.34811,1.71,7.66618,5.47112,5.09772,8.41115,7.91617,3.40745
84,12,1612.3,12,1612.3,2,1,0,307.208,9.34811,1.71,6.89956,5.47112,5.09772,7.57004,7.91617,3.40745
85,12,1519.78,12,1519.78,3,2,33,307.054,9.34811,1.71,6.89956,8.224,5.09772,7.57004,10.4246,3.40745
86,12,1519.78,12,1519.78,0,0,0,306.9,8.4133,1.71,6.89956,8.224,4.58795,7.57004,10.4246,3.40745
