iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,9,1749.43,9,1749.43,3,0,33,262.707,1,1,1,4.2,4.2,1,1,1
1,9,1650.17,9,1650.17,3,2,33,262.576,1,1,1,7.08,4.2,1,4.2,1
2,9,1578.02,9,1578.02,3,2,33,262.444,1,1,1,9.672,4.2,1,7.08,1
3,9,1513.16,9,1513.16,2,0,33,262.313,1,1,4.2,9.672,7.08,1,7.08,1
4,8,1463.94,8,1463.94,3,0,33,262.182,1,1,4.2,12.0048,9.672,1,7.08,1
5,8,1423.49,8,1423.49,2,2,33,262.051,1,1,7.08,12.0048,9.672,1,9.672,1
6,8,1412.11,8,1412.11,3,2,33,261.92,1,1,7.08,14.1043,9.672,1,12.0048,1
7,8,1412.11,8,1412.11,3,0,13,261.789,1,1,7.08,13.9939,10.0048,1,12.0048,1
8,8,1405.96,8,1405.96,3,2,33,261.658,1,1,7.08,15.8945,10.0048,1,14.1043,1
9,8,1405.96,8,1406.23,3,2,9,261.527,1,1,7.08,15.205,10.0048,1,13.5939,1
10,8,1400.49,8,1400.49,3,2,33,261.396,1,1,7.08,16.9845,10.0048,1,15.5345,1
11,8,1355.46,8,1355.46,2,2,33,261.266,1,1,9.672,16.9845,10.0048,1,17.281,1
12,8,1352.27,8,1352.27,3,2,33,261.135,1,1,9.672,18.5861,10.0048,1,18.8529,1
13,8,1352.27,8,1352.27,0,2,13,261.004,2.2,1,9.672,18.5861,10.0048,1,18.2676,1
14,8,1332.27,8,1332.27,2,2,33,260.874,2.2,1,12.0048,18.5861,10.0048,1,19.7409,1
15,8,1287.61,8,1287.61,2,3,33,260.743,2.2,1,14.1043,18.5861,10.0048,1,19.7409,4.2
16,8,1274.6,8,1274.6,2,0,33,260.613,2.2,1,15.9939,18.5861,12.3043,1,19.7409,4.2
17,8,1233.86,8,1233.86,2,3,33,260.483,2.2,1,17.6945,18.5861,12.3043,1,19.7409,7.08
18,7,1179.74,7,1179.74,2,2,33,260.353,2.2,1,19.225,18.5861,12.3043,1,21.0668,7.08
19,7,1179.25,7,1179.25,3,2,33,260.222,2.2,1,19.225,20.0275,12.3043,1,22.2601,7.08
20,7,1175.69,7,1175.69,0,0,33,260.092,5.28,1,19.225,20.0275,14.3739,1,22.2601,7.08
21,7,1175.69,7,1181.57,3,3,9,259.962,5.28,1,19.225,18.9247,14.3739,1,22.2601,7.272
22,7,1175.69,7,1241.32,2,0,9,259.832,5.28,1,18.2025,18.9247,13.8365,1,22.2601,7.272
23,7,1175.69,7,1288.93,2,0,9,259.702,5.28,1,17.2823,18.9247,13.3528,1,22.2601,7.272
24,7,1175.69,7,1255.32,2,2,13,259.572,5.28,1,16.8541,18.9247,13.3528,1,21.3341,7.272
25,6,1388.05,6,1388.05,2,3,33,259.443,5.28,1,18.4687,18.9247,13.3528,1,21.3341,9.8448
26,6,1379.23,6,1379.23,0,3,33,259.313,8.052,1,18.4687,18.9247,13.3528,1,21.3341,12.1603
27,6,1341.02,6,1341.02,2,0,33,259.183,8.052,1,19.9218,18.9247,15.3176,1,21.3341,12.1603
28,6,1332.56,6,1332.56,3,0,33,259.054,8.052,1,19.9218,20.3323,17.0858,1,21.3341,12.1603
29,6,1211.04,6,1211.04,2,0,33,258.924,8.052,1,21.2296,20.3323,18.6772,1,21.3341,12.1603
30,6,1158.97,6,1158.97,2,2,33,258.795,8.052,1,22.4066,20.3323,18.6772,1,22.5007,12.1603
31,6,1150.65,6,1150.65,2,2,33,258.665,8.052,1,23.466,20.3323,18.6772,1,23.5506,12.1603
32,6,1150.65,6,1150.65,3,0,13,258.536,8.052,1,23.466,19.599,18.1095,1,23.5506,12.1603
33,6,1150.65,6,1150.65,2,2,13,258.407,8.052,1,22.4194,19.599,18.1095,1,22.4956,12.1603
