iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,14,1761.36,14,1761.36,1,0,33,245.637,1,4.2,1,1,4.2,1,1,1
1,13,1701.21,13,1701.21,3,0,33,245.514,1,4.2,1,4.2,7.08,1,1,1
2,12,1637.39,12,1637.39,3,2,33,245.391,1,4.2,1,7.08,7.08,1,4.2,1
3,12,1607.5,12,1607.5,3,2,33,245.269,1,4.2,1,9.672,7.08,1,7.08,1
4,12,1590.45,12,1590.45,3,2,33,245.146,1,4.2,1,12.0048,7.08,1,9.672,1
5,12,1590.45,12,1597.15,3,0,9,245.023,1,4.2,1,11.7043,7.272,1,9.672,1
6,12,1588.44,12,1588.44,3,2,33,244.901,1,4.2,1,13.8339,7.272,1,12.0048,1
7,12,1478.81,12,1478.81,3,0,33,244.778,1,4.2,1,15.7505,9.8448,1,12.0048,1
8,11,1554.5,11,1554.5,1,2,33,244.656,1,7.08,1,15.7505,9.8448,1,14.1043,1
9,11,1554.5,11,1556.59,3,2,9,244.534,1,7.08,1,15.0754,9.8448,1,13.5939,1
10,10,1604.86,10,1604.86,1,2,33,244.411,1,9.672,1,15.0754,9.8448,1,15.5345,1
11,10,1603.31,10,1603.31,3,2,33,244.289,1,9.672,1,16.8679,9.8448,1,17.281,1
12,10,1522.48,10,1522.48,1,2,33,244.167,1,12.0048,1,16.8679,9.8448,1,18.8529,1
13,10,1522.48,10,1533.81,3,2,9,244.045,1,12.0048,1,16.0811,9.8448,1,17.8676,1
14,10,1522.48,10,1579.94,3,2,9,243.923,1,12.0048,1,15.373,9.8448,1,16.9809,1
15,10,1479.01,10,1479.01,3,2,33,243.801,1,12.0048,1,17.1357,9.8448,1,18.5828,1
16,10,1479.01,10,1504.81,1,0,9,243.679,1,11.7043,1,17.1357,9.76032,1,18.5828,1
17,10,1479.01,10,1504.81,1,0,0,243.557,1,10.5339,1,17.1357,8.78429,1,18.5828,1
18,10,1479.01,10,1507.58,3,0,9,243.436,1,10.5339,1,16.3221,8.80586,1,18.5828,1
19,10,1479.01,10,1484.44,3,2,13,243.314,1,10.5339,1,15.9899,8.80586,1,18.0245,1
20,10,1479.01,10,1515.6,1,2,9,243.192,1,10.3805,1,15.9899,8.80586,1,17.1221,1
21,10,1479.01,10,1516.24,3,2,9,243.071,1,10.3805,1,15.2909,8.80586,1,16.3099,1
22,10,1353.56,10,1353.56,3,2,33,242.949,1,10.3805,1,17.0618,8.80586,1,17.9789,1
23,10,1353.56,10,1387.98,1,0,9,242.828,1,10.2424,1,17.0618,8.82527,1,17.9789,1
24,10,1353.56,10,1387.98,1,0,0,242.706,1,9.2182,1,17.0618,7.94275,1,17.9789,1
25,10,1353.56,10,1387.98,1,2,0,242.585,1,8.29638,1,17.0618,7.94275,1,16.181,1
26,10,1214.77,10,1214.77,2,2,33,242.464,1,8.29638,4.2,17.0618,7.94275,1,17.8629,1
27,10,1213.87,10,1213.87,3,2,33,242.342,1,8.29638,4.2,18.6557,7.94275,1,19.3766,1
28,10,1213.87,10,1213.87,1,0,0,242.221,1,7.46675,4.2,18.6557,7.14847,1,19.3766,1
29,10,1213.87,10,1255.76,3,0,9,242.1,1,7.46675,4.2,17.6901,7.33362,1,19.3766,1
30,10,1213.87,10,1251.13,3,0,13,241.979,1,7.46675,4.2,17.2211,7.90026,1,19.3766,1
31,10,1213.87,10,1251.13,1,0,0,241.858,1,6.72007,4.2,17.2211,7.11024,1,19.3766,1
32,10,1213.87,10,1251.13,1,0,0,241.737,1,6.04806,4.2,17.2211,6.39921,1,19.3766,1
33,10,1213.87,10,1251.13,1,0,0,241.616,1,5.44326,4.2,17.2211,5.75929,1,19.3766,1
34,10,1213.87,10,1251.13,0,0,0,241.495,0.9,5.44326,4.2,17.2211,5.18336,1,19.3766,1
35,10,1213.87,10,1286.64,1,3,9,241.375,0.9,5.79893,4.2,17.2211,5.18336,1,19.3766,1.8
36,10,1213.87,10,1286.64,3,3,0,241.254,0.9,5.79893,4.2,15.499,5.18336,1,19.3766,1.62
37,10,1213.87,10,1286.64,1,2,0,241.133,0.9,5.21904,4.2,15.499,5.18336,1,17.4389,1.62
38,10,1213.87,10,1286.49,3,2,13,241.013,0.9,5.21904,4.2,15.2491,5.18336,1,16.995,1.62
39,10,1213.87,10,1322.12,3,2,9,240.892,0.9,5.21904,4.2,14.6242,5.18336,1,16.1955,1.62
40,10,1213.87,10,1322.12,1,3,0,240.772,0.9,4.69713,4.2,14.6242,5.18336,1,16.1955,1.458
41,10,1160.74,10,1160.74,2,2,33,240.651,0.9,4.69713,7.08,14.6242,5.18336,1,17.876,1.458
42,10,1160.74,10,1160.74,3,0,0,240.531,0.9,4.69713,7.08,13.1617,4.66503,1,17.876,1.458
43,10,1160.74,10,1310.74,1,0,9,240.411,0.9,5.12742,7.08,13.1617,5.09852,1,17.876,1.458
44,10,1160.74,10,1303.96,3,2,13,240.291,0.9,5.12742,7.08,13.1456,5.09852,1,17.3884,1.458
45,10,1160.74,10,1193.25,2,2,13,240.17,0.9,5.12742,7.672,13.1456,5.09852,1,16.9495,1.458
46,10,1160.74,10,1193.25,1,2,0,240.05,0.9,4.61468,7.672,13.1456,5.09852,1,15.2546,1.458
47,10,1080.68,10,1080.68,2,1,33,239.93,0.9,4.61468,10.2048,13.1456,5.09852,4.2,15.2546,1.458
48,10,1079.9,10,1079.9,3,1,33,239.81,0.9,4.61468,10.2048,15.131,5.09852,7.08,15.2546,1.458
49,10,1079.9,10,1079.9,0,0,0,239.69,0.81,4.61468,10.2048,15.131,4.58867,7.08,15.2546,1.458
50,10,1079.9,10,1079.9,3,0,0,239.571,0.81,4.61468,10.2048,13.6179,4.1298,7.08,15.2546,1.458
51,10,1079.9,10,1079.9,2,2,0,239.451,0.81,4.61468,9.18432,13.6179,4.1298,7.08,13.7291,1.458
52,10,1079.9,10,1079.9,3,0,0,239.331,0.81,4.61468,9.18432,12.2561,3.71682,7.08,13.7291,1.458
53,10,1079.9,10,1079.9,1,0,0,239.211,0.81,4.15321,9.18432,12.2561,3.34514,7.08,13.7291,1.458
54,10,1075.04,10,1075.04,0,2,33,239.092,4.029,4.15321,9.18432,12.2561,3.34514,7.08,15.6562,1.458
55,10,1040.21,10,1040.21,0,2,33,238.972,6.9261,4.15321,9.18432,12.2561,3.34514,7.08,17.3906,1.458
56,10,1036.54,10,1036.54,3,2,33,238.853,6.9261,4.15321,9.18432,14.3305,3.34514,7.08,18.9515,1.458
57,10,1036.54,10,1073.15,2,1,9,238.733,6.9261,4.15321,9.16589,14.3305,3.34514,7.272,18.9515,1.458
58,10,1022.51,10,1022.51,0,2,33,238.614,9.53349,4.15321,9.16589,14.3305,3.34514,7.272,20.3564,1.458
59,10,1022.51,10,1091.06,3,1,9,238.495,9.53349,4.15321,9.16589,13.7975,3.34514,7.4448,20.3564,1.458
60,10,1022.51,10,1114.31,3,2,9,238.375,9.53349,4.15321,9.16589,13.3177,3.34514,7.4448,19.2207,1.458
61,10,1022.51,10,1113.59,0,2,13,238.256,9.88014,4.15321,9.16589,13.3177,3.34514,7.4448,18.5987,1.458
62,10,1022.51,10,1054.37,3,2,13,238.137,9.88014,4.15321,9.16589,13.2859,3.34514,7.4448,18.0388,1.458
63,10,1022.51,10,1033.64,0,2,13,238.018,10.1921,4.15321,9.16589,13.2859,3.34514,7.4448,17.5349,1.458
64,10,990.586,10,990.586,2,2,33,237.899,10.1921,4.15321,11.5493,13.2859,3.34514,7.4448,19.0814,1.458
65,10,984.071,10,984.071,3,2,33,237.78,10.1921,4.15321,11.5493,15.2573,3.34514,7.4448,20.4733,1.458
66,10,982.344,10,982.344,3,2,33,237.661,10.1921,4.15321,11.5493,17.0316,3.34514,7.4448,21.726,1.458
67,10,982.344,10,988.425,3,2,9,237.542,10.1921,4.15321,11.5493,16.2285,3.34514,7.4448,20.4534,1.458
68,10,982.344,10,988.425,1,2,0,237.424,10.1921,3.73789,11.5493,16.2285,3.34514,7.4448,18.408,1.458
69,10,980.739,10,980.739,3,2,33,237.305,10.1921,3.73789,11.5493,17.9056,3.34514,7.4448,19.8672,1.458
70,10,973.327,10,973.327,0,0,33,237.186,12.4729,3.73789,11.5493,17.9056,6.31063,7.4448,19.8672,1.458
71,10,970.004,10,970.004,3,2,33,237.068,12.4729,3.73789,11.5493,19.415,6.31063,7.4448,21.1805,1.458
72,10,970.004,10,978.482,2,1,9,236.949,12.4729,3.73789,11.2944,19.415,6.31063,7.60032,21.1805,1.458
73,10,970.004,10,978.482,3,0,0,236.831,12.4729,3.73789,11.2944,17.4735,5.67956,7.60032,21.1805,1.458
74,10,970.004,10,994.265,3,0,9,236.712,12.4729,3.73789,11.2944,16.6262,6.01161,7.60032,21.1805,1.458
75,10,970.004,10,994.184,2,2,13,236.594,12.4729,3.73789,11.4649,16.6262,6.01161,7.60032,20.3625,1.458
76,10,970.004,10,1011.03,3,2,9,236.476,12.4729,3.73789,11.4649,15.8636,6.01161,7.60032,19.2262,1.458
77,10,970.004,10,1151.17,2,1,9,236.357,12.4729,3.73789,11.2184,15.8636,6.01161,7.74029,19.2262,1.458
78,10,970.004,10,1156.98,3,2,9,236.239,12.4729,3.73789,11.2184,15.1772,6.01161,7.74029,18.2036,1.458
79,10,970.004,10,1156.98,3,0,0,236.121,12.4729,3.73789,11.2184,13.6595,5.41045,7.74029,18.2036,1.458
80,10,970.004,10,1004.07,2,2,13,236.003,12.4729,3.73789,11.3966,13.6595,5.41045,7.74029,17.6832,1.458
81,10,970.004,10,1003.13,3,2,13,235.885,12.4729,3.73789,11.3966,13.5935,5.41045,7.74029,17.2149,1.458
82,10,970.004,10,1004.1,0,2,9,235.767,12.1256,3.73789,11.3966,13.5935,5.41045,7.74029,16.3934,1.458
83,10,970.004,10,982.601,2,2,13,235.649,12.1256,3.73789,11.5569,13.5935,5.41045,7.74029,16.0541,1.458
84,10,970.004,10,982.601,3,0,0,235.531,12.1256,3.73789,11.5569,12.2342,4.8694,7.74029,16.0541,1.458
85,10,970.004,10,988.754,3,0,9,235.414,12.1256,3.73789,11.5569,11.9108,5.28246,7.74029,16.0541,1.458
