iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,score,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,6,1312.12,6,1312.12,0,1,33,218.287,4.2,1,1,1,1,4.2,1,1
1,6,1296.77,6,1296.77,0,1,33,218.178,7.08,1,1,1,1,7.08,1,1
2,6,1296.77,6,1328.45,0,1,9,218.069,7.272,1,1,1,1,7.272,1,1
3,4,1229.14,4,1229.14,1,1,33,217.96,7.272,4.2,1,1,1,9.8448,1,1
4,4,1206.63,4,1206.63,0,3,33,217.851,9.8448,4.2,1,1,1,9.8448,1,4.2
5,4,1206.63,4,1459.57,1,1,9,217.742,9.8448,4.68,1,1,1,9.76032,1,4.2
6,4,1206.63,4,1385.5,0,1,13,217.633,10.1603,4.68,1,1,1,10.0843,1,4.2
7,4,1206.63,4,1431.66,0,1,9,217.525,10.0443,4.68,1,1,1,9.97586,1,4.2
8,4,1206.63,4,1376.77,0,1,13,217.416,10.3399,4.68,1,1,1,10.2783,1,4.2
9,4,1206.63,4,1403.48,0,1,9,217.307,10.2059,4.68,1,1,1,10.1504,1,4.2
10,3,1293.65,3,1293.65,0,1,33,217.198,12.4853,4.68,1,1,1,12.4354,1,4.2
11,3,1293.65,3,1293.65,0,0,0,217.09,11.2368,4.68,1,1,0.9,12.4354,1,4.2
12,3,1293.65,3,1293.65,1,1,0,216.981,11.2368,4.212,1,1,0.9,11.1919,1,4.2
13,3,1293.65,3,1293.65,0,1,9,216.873,11.0131,4.212,1,1,0.9,10.9727,1,4.2
14,3,1237.95,3,1237.95,0,1,33,216.764,13.2118,4.212,1,1,0.9,13.1754,1,4.2
15,3,1237.95,3,1239.33,0,2,9,216.656,12.7906,4.212,1,1,0.9,13.1754,1.8,4.2
16,3,1237.95,3,1239.33,1,1,0,216.548,12.7906,3.7908,1,1,0.9,11.8579,1.8,4.2
17,3,1237.95,3,1429.27,1,1,9,216.439,12.7906,4.31172,1,1,0.9,11.5721,1.8,4.2
18,3,1237.95,3,1429.27,0,2,0,216.331,11.5115,4.31172,1,1,0.9,11.5721,1.62,4.2
19,3,1237.95,3,1429.27,0,1,0,216.223,10.3604,4.31172,1,1,0.9,10.4149,1.62,4.2
20,3,1237.95,3,1391.57,3,1,13,216.115,10.3604,4.31172,1,2.2,0.9,10.6734,1.62,4.2
21,3,1237.95,3,1370.87,0,1,13,216.007,10.6243,4.31172,1,2.2,0.9,10.906,1.62,4.2
22,3,1237.95,3,1364.64,1,1,13,215.899,10.6243,5.18055,1,2.2,0.9,11.1154,1.62,4.2
23,3,1237.95,3,1272.06,0,1,13,215.791,10.8619,5.18055,1,2.2,0.9,11.3039,1.62,4.2
24,3,1237.95,3,1260.17,0,1,13,215.683,11.0757,5.18055,1,2.2,0.9,11.4735,1.62,4.2
25,3,1237.95,3,1260.17,3,3,0,215.575,11.0757,5.18055,1,1.98,0.9,11.4735,1.62,3.78
26,3,1237.95,3,1319.2,1,1,9,215.467,11.0757,5.56249,1,1.98,0.9,11.2262,1.62,3.78
27,3,1237.95,3,1358.59,0,1,9,215.36,10.8681,5.56249,1,1.98,0.9,11.0035,1.62,3.78
28,3,1237.95,3,1324.55,3,1,13,215.252,10.8681,5.56249,1,3.082,0.9,11.2032,1.62,3.78
29,3,1237.95,3,1324.55,0,3,0,215.144,9.78133,5.56249,1,3.082,0.9,11.2032,1.62,3.402
30,3,1237.95,3,1329.24,0,1,9,215.037,9.7032,5.56249,1,3.082,0.9,10.9829,1.62,3.402
31,3,1237.95,3,1329.24,1,3,0,214.929,9.7032,5.00624,1,3.082,0.9,10.9829,1.62,3.0618
