iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,20,2390.61,20,2390.61,1,3,33,391.158,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,20,2355.43,20,2355.43,3,2,33,390.962,0.21814,0.345581,0.21814,0.21814,0.21814,0.21814,0.21814,0.345581
2,20,2355.43,20,2355.43,3,0,0,390.767,0.191272,0.303045,0.191272,0.31441,0.191272,0.191272,0.31441,0.303045
3,19,2368.89,19,2368.89,1,2,33,390.571,0.203377,0.322253,0.203377,0.270994,0.167676,0.196839,0.323592,0.311893
4,19,2368.89,19,2368.89,1,3,0,390.376,0.171801,0.427463,0.171801,0.228934,0.141591,0.166222,0.428782,0.263405
5,18,2287.03,18,2287.03,0,2,33,390.181,0.187516,0.37508,0.187516,0.249888,0.147667,0.173361,0.44728,0.231693
6,18,2287.03,18,2287.03,3,2,0,389.986,0.278827,0.332946,0.166428,0.221799,0.118275,0.138859,0.557272,0.185593
7,18,2287.03,18,2287.03,0,2,0,389.791,0.289043,0.345158,0.172509,0.19329,0.133416,0.156641,0.500571,0.209372
8,18,2280.71,18,2280.71,1,3,33,389.596,0.250405,0.36394,0.181871,0.203784,0.148265,0.17408,0.444959,0.232695
9,18,2237.83,18,2237.83,0,3,33,389.401,0.207785,0.472217,0.150906,0.169092,0.128508,0.150887,0.385749,0.334856
10,18,2237.83,18,2237.83,2,2,0,389.206,0.306147,0.413623,0.132151,0.14808,0.107645,0.126396,0.323195,0.442764
11,18,2237.83,18,2237.83,3,1,0,389.012,0.310393,0.419385,0.12011,0.150112,0.114129,0.134013,0.28229,0.469567
12,18,2237.83,18,2237.83,1,3,0,388.817,0.315782,0.426691,0.122172,0.135355,0.115584,0.122791,0.285939,0.475686
13,18,2226.98,18,2226.98,3,1,33,388.623,0.345281,0.373185,0.133559,0.147974,0.127846,0.13582,0.316332,0.420003
14,18,2203.31,18,2203.31,1,2,33,388.428,0.312547,0.337811,0.120875,0.228768,0.116159,0.214671,0.287468,0.381702
15,18,2203.31,18,2203.31,1,2,0,388.234,0.263029,0.442756,0.101704,0.192511,0.0990875,0.183143,0.392089,0.325681
16,18,2203.31,18,2203.31,1,3,0,388.04,0.289112,0.38753,0.111769,0.211588,0.107563,0.198832,0.339983,0.353622
17,18,2203.31,18,2203.31,0,2,0,387.846,0.313432,0.336047,0.121148,0.229373,0.115662,0.21383,0.365667,0.304841
18,18,2203.31,18,2203.31,0,1,0,387.652,0.269719,0.357465,0.128843,0.243973,0.124665,0.230502,0.316201,0.328632
19,18,2162.34,18,2162.34,1,3,33,387.458,0.233821,0.37506,0.135157,0.255962,0.129603,0.199891,0.328788,0.341717
20,18,2162.34,18,2203.33,0,3,9,387.265,0.193328,0.483295,0.111738,0.211639,0.108721,0.167699,0.275865,0.447714
21,18,2162.34,18,2188.24,3,1,13,387.071,0.200339,0.479135,0.110744,0.209782,0.110894,0.171065,0.28143,0.436612
22,18,2162.34,18,2205.47,1,2,9,386.877,0.195296,0.467157,0.107944,0.229602,0.108306,0.190243,0.274913,0.426539
23,18,2162.34,18,2173.31,1,2,13,386.684,0.199582,0.455472,0.110299,0.234647,0.108296,0.190247,0.27484,0.426617
24,18,2134.94,18,2134.94,3,2,33,386.491,0.196462,0.463987,0.108563,0.230988,0.10585,0.185972,0.29108,0.417098
25,18,2134.94,18,2134.94,3,0,0,386.297,0.170553,0.402866,0.0942346,0.332346,0.0899493,0.158053,0.39746,0.354538
26,18,2134.94,18,2134.94,1,2,0,386.104,0.181923,0.429797,0.100505,0.287775,0.0836743,0.15912,0.400217,0.356989
27,18,2134.94,18,2134.94,1,1,0,385.911,0.199376,0.375078,0.110134,0.315412,0.0910731,0.173212,0.347047,0.388668
28,18,2134.94,18,2134.94,1,0,0,385.718,0.215554,0.324353,0.119056,0.341036,0.0932249,0.153467,0.355342,0.397966
29,18,2134.94,18,2140.58,0,2,9,385.525,0.229977,0.279128,0.127007,0.363888,0.0866408,0.154558,0.357929,0.400872
30,18,2127.22,18,2127.22,3,2,33,385.333,0.231196,0.278686,0.126786,0.363331,0.0876388,0.156357,0.350391,0.405614
31,18,2127.22,18,2127.22,3,3,0,385.14,0.192164,0.231645,0.105368,0.470822,0.0729581,0.13018,0.459091,0.337772
32,18,2127.22,18,2127.22,1,2,0,384.947,0.212645,0.256344,0.116585,0.414427,0.0777165,0.138686,0.489213,0.294384
33,18,2127.22,18,2127.22,3,3,0,384.755,0.221833,0.224169,0.121607,0.432391,0.0864425,0.154276,0.431757,0.327525
34,18,2127.22,18,2127.22,1,2,0,384.563,0.242953,0.245512,0.133169,0.378365,0.0918628,0.163969,0.458978,0.285191
35,18,2127.22,18,2127.22,3,3,0,384.37,0.253017,0.21424,0.138669,0.394074,0.10129,0.180816,0.403366,0.314528
36,18,2127.22,18,2127.22,0,3,0,384.178,0.274381,0.232323,0.15036,0.342936,0.107327,0.191616,0.427527,0.273529
37,18,2127.22,18,2127.22,1,2,0,383.986,0.237584,0.244099,0.157968,0.360348,0.112317,0.200548,0.447528,0.239606
38,18,2087.88,18,2087.88,2,2,33,383.794,0.247369,0.212952,0.16446,0.375219,0.123319,0.220217,0.39335,0.263115
39,18,2061.81,18,2061.81,2,2,33,383.602,0.221765,0.190905,0.250918,0.336411,0.100932,0.180261,0.503423,0.215384
40,18,2061.81,18,2061.81,2,3,0,383.41,0.192155,0.165411,0.350916,0.291518,0.0790408,0.14118,0.611085,0.168694
41,18,2061.81,18,2091.27,3,2,9,383.219,0.20643,0.177694,0.302675,0.313201,0.0803986,0.143622,0.621837,0.154142
42,18,2061.81,18,2091.27,3,3,0,383.027,0.208636,0.179587,0.305933,0.305844,0.0831254,0.148511,0.608973,0.159391
43,18,2061.81,18,2123.63,1,2,9,382.835,0.221768,0.190884,0.325213,0.262135,0.084395,0.150796,0.618521,0.146288
44,18,2061.81,18,2123.63,2,1,0,382.644,0.220932,0.1939,0.324013,0.261155,0.0871857,0.155801,0.605871,0.151142
45,18,2061.81,18,2123.63,3,1,0,382.453,0.23573,0.206882,0.278731,0.278657,0.0884526,0.143279,0.614913,0.153355
46,18,2061.81,18,2123.63,2,2,0,382.261,0.248931,0.218462,0.294349,0.238257,0.089515,0.132731,0.62254,0.155214
47,18,2061.81,18,2123.63,0,1,0,382.07,0.263711,0.231427,0.252461,0.252401,0.102866,0.15254,0.56621,0.178384
48,18,2061.81,18,2123.63,2,2,0,381.879,0.225366,0.243476,0.26561,0.265547,0.104335,0.140225,0.57449,0.18095
49,18,2061.81,18,2097.89,2,2,13,381.688,0.237143,0.256203,0.22722,0.279433,0.118253,0.15894,0.517695,0.205112
50,18,2061.81,18,2085.02,3,2,13,381.498,0.23295,0.251678,0.24087,0.274502,0.115937,0.155837,0.527108,0.201117
51,18,2061.81,18,2085.02,3,2,0,381.307,0.229353,0.247795,0.237153,0.285699,0.113672,0.1528,0.536319,0.197209
52,18,1977.58,18,1977.58,2,2,33,381.116,0.242371,0.261864,0.250614,0.245151,0.127523,0.17143,0.479783,0.221264
53,18,1977.58,18,1977.58,2,0,0,380.926,0.210988,0.22796,0.347643,0.213409,0.100489,0.135096,0.590038,0.174377
54,18,1973.35,18,1973.35,0,2,33,380.735,0.226124,0.244318,0.300838,0.22872,0.0956815,0.13579,0.593246,0.175282
55,18,1973.35,18,1987.26,3,2,9,380.545,0.322076,0.214023,0.263546,0.200356,0.0722297,0.102515,0.692919,0.132336
56,18,1973.35,18,2016.25,3,0,9,380.354,0.321073,0.213339,0.262714,0.202874,0.0751361,0.106647,0.680539,0.137678
57,17,2042.48,17,2042.48,1,3,33,380.164,0.320163,0.212717,0.26196,0.20516,0.0872984,0.105216,0.67165,0.135836
58,17,2042.48,17,2042.48,3,3,0,379.974,0.281813,0.307047,0.230572,0.180569,0.078705,0.0948621,0.605783,0.22065
59,17,2021.23,17,2021.23,0,2,33,379.784,0.289665,0.315607,0.236986,0.157742,0.0809837,0.0976122,0.623576,0.197828
60,17,2021.23,17,2037.29,1,1,9,379.594,0.392665,0.269857,0.202621,0.134857,0.060686,0.0731494,0.717894,0.148271
61,17,2021.23,17,2050.92,1,2,9,379.405,0.393067,0.269166,0.202802,0.134966,0.0598873,0.0849711,0.708796,0.146346
62,17,2018.7,17,2018.7,0,2,33,379.215,0.393431,0.268544,0.202963,0.135062,0.0626782,0.0889371,0.695192,0.153193
63,17,2011.71,17,2011.71,0,2,33,379.025,0.503064,0.220018,0.166277,0.110641,0.0459019,0.0651369,0.776751,0.11221
64,17,1922.82,17,1922.82,0,2,33,378.836,0.610331,0.172534,0.130385,0.0867506,0.0328202,0.0465767,0.840358,0.0802453
65,17,1922.82,17,1922.82,0,2,0,378.646,0.706116,0.130129,0.0983338,0.0654204,0.0230974,0.0327809,0.887638,0.0564832
66,17,1866.63,17,1866.63,0,2,33,378.457,0.651885,0.15415,0.116479,0.0774858,0.0292545,0.0415223,0.85767,0.0715527
67,17,1829.75,17,1829.75,0,2,33,378.268,0.741135,0.114635,0.0866154,0.0576149,0.0205092,0.0291116,0.900207,0.0501717
68,17,1783.5,17,1783.5,0,2,33,378.079,0.812768,0.0829171,0.0626467,0.041668,0.0142727,0.0202607,0.930545,0.0349217
69,17,1783.5,17,1807.46,0,2,9,377.89,0.867171,0.0588274,0.0444437,0.0295583,0.00990462,0.014061,0.951796,0.0242384
70,17,1783.5,17,1807.46,0,2,0,377.701,0.856864,0.0633951,0.0478918,0.0318489,0.0109575,0.0155569,0.946666,0.0268199
71,17,1783.5,17,1807.46,0,2,9,377.512,0.820823,0.0793616,0.0599503,0.0398648,0.0143443,0.0203666,0.930174,0.0351156
72,17,1783.5,17,1807.46,0,2,9,377.323,0.808803,0.0846897,0.0639716,0.0425354,0.0157175,0.0223179,0.92348,0.0384842
73,17,1783.5,17,1806.64,0,2,13,377.134,0.796432,0.0901739,0.0681103,0.0452835,0.0171796,0.0243957,0.916353,0.0420717
74,17,1783.5,17,1816.82,0,2,9,376.946,0.797181,0.0898466,0.0678594,0.045113,0.0173946,0.0247028,0.915297,0.0426059
75,17,1783.5,17,1816.82,0,2,9,376.757,0.784503,0.0954677,0.0721008,0.0479288,0.0189595,0.0269271,0.907666,0.0464473
76,17,1783.5,17,1816.82,2,2,9,376.569,0.771526,0.101221,0.076442,0.0508104,0.020615,0.0292804,0.899593,0.050512
