iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
39,0,21,1841.52,21,1950.5,1,2,9,371.144,0.237471,0.212064,0.302595,0.24787,0.209042,0.194355,0.17462,0.421983
40,0,21,1841.52,21,1950.5,3,3,0,370.958,0.237862,0.210749,0.303108,0.248281,0.207587,0.193,0.180308,0.419105
41,0,21,1841.52,21,2076.67,1,2,9,370.773,0.24933,0.220904,0.317738,0.212028,0.227193,0.211225,0.197332,0.36425
42,0,21,1841.52,21,2076.67,0,3,0,370.588,0.249718,0.219685,0.318247,0.212351,0.226433,0.210516,0.199984,0.363067
43,0,21,1841.52,21,2078.62,1,0,9,370.402,0.214021,0.23013,0.333403,0.222446,0.244387,0.227204,0.215835,0.312574
44,0,21,1841.52,21,2078.62,1,2,0,370.217,0.214327,0.229,0.333908,0.222765,0.241541,0.228055,0.216641,0.313763
45,0,21,1841.52,21,2071.82,1,3,13,370.032,0.223046,0.197603,0.347523,0.231829,0.250697,0.236696,0.186934,0.325673
46,0,21,1841.52,21,2037.3,3,1,13,369.847,0.218791,0.212879,0.340923,0.227408,0.247354,0.233537,0.184431,0.334678
47,0,21,1841.52,21,2037.3,0,0,0,369.662,0.214832,0.209026,0.334784,0.241358,0.242883,0.24738,0.181087,0.32865
48,0,20,1914.87,20,1914.87,2,0,33,369.477,0.185892,0.216719,0.347139,0.250249,0.209265,0.258362,0.189114,0.343259
49,0,20,1914.87,20,1914.87,0,3,0,369.293,0.155868,0.181722,0.452568,0.209843,0.302354,0.227944,0.166839,0.302863
50,0,20,1914.87,20,1914.87,2,0,0,369.108,0.1398,0.185161,0.461218,0.21382,0.321827,0.242611,0.177563,0.257998
51,0,20,1914.87,20,1914.87,3,2,0,368.923,0.154677,0.204875,0.403855,0.236593,0.275264,0.259272,0.189745,0.275719
52,0,20,1914.87,20,1914.87,2,3,0,368.739,0.160801,0.212999,0.419926,0.206274,0.284196,0.267682,0.163455,0.284666
53,0,20,1914.87,20,1914.87,2,3,0,368.554,0.175942,0.233068,0.365283,0.225707,0.301016,0.283521,0.17311,0.242352
54,0,20,1911.56,20,1911.56,3,0,33,368.37,0.189908,0.251583,0.314873,0.243636,0.314645,0.296355,0.180928,0.208071
55,0,20,1911.56,20,1971.43,1,0,9,368.186,0.165544,0.219319,0.274505,0.340631,0.418336,0.25153,0.153547,0.176587
56,0,20,1895.44,20,1895.44,3,1,33,368.002,0.165489,0.219504,0.274441,0.340566,0.40735,0.256293,0.156439,0.179918
57,0,20,1895.44,20,1895.44,2,2,0,367.818,0.139099,0.184512,0.230701,0.445688,0.350915,0.359378,0.13474,0.154966
58,0,20,1895.44,20,1895.44,3,0,0,367.634,0.144226,0.191323,0.202228,0.462223,0.356751,0.365356,0.120375,0.157518
59,0,20,1877.77,20,1877.77,3,1,33,367.45,0.159595,0.211723,0.223794,0.404888,0.306989,0.393653,0.129669,0.169689
60,0,20,1877.77,20,1912.58,1,2,9,367.266,0.130485,0.173115,0.182986,0.513414,0.252043,0.502215,0.106442,0.139301
61,0,20,1877.77,20,1912.58,2,1,0,367.083,0.12925,0.180788,0.181266,0.508695,0.249207,0.496634,0.116442,0.137717
62,0,20,1877.77,20,1912.58,0,3,0,366.899,0.132255,0.185004,0.162075,0.520665,0.278271,0.437967,0.130002,0.15376
63,0,20,1846.31,20,1846.31,2,0,33,366.716,0.121053,0.18737,0.164144,0.527433,0.28346,0.446174,0.132406,0.13796
64,0,20,1802.19,20,1802.19,3,1,33,366.532,0.108112,0.167355,0.253342,0.47119,0.390547,0.379528,0.1126,0.117325
65,0,19,1774.32,19,1774.32,2,1,33,366.349,0.0862375,0.133505,0.202117,0.57814,0.322945,0.486974,0.0930867,0.0969936
66,0,19,1759.5,19,1759.5,2,1,33,366.166,0.0756137,0.117069,0.300207,0.507111,0.25622,0.59301,0.0738353,0.0769348
67,0,19,1759.5,19,1759.5,2,1,0,365.983,0.0639417,0.0990062,0.408057,0.428995,0.195658,0.689238,0.0563689,0.0587357
68,0,19,1759.5,19,1759.5,3,0,0,365.8,0.0700683,0.108502,0.351151,0.470278,0.231918,0.631679,0.0667988,0.0696041
69,0,19,1759.5,19,1759.5,1,3,0,365.617,0.0780883,0.120932,0.39147,0.40951,0.205905,0.653124,0.0690356,0.0719354
70,0,19,1743.01,19,1743.01,2,1,33,365.434,0.0791511,0.108702,0.396926,0.415221,0.206344,0.654669,0.0691678,0.0698191
71,0,19,1731.59,19,1731.59,3,1,33,365.252,0.0651654,0.0895004,0.503368,0.341966,0.154116,0.742099,0.0516492,0.0521357
72,0,19,1731.59,19,1731.59,3,1,9,365.069,0.0543432,0.0746415,0.419944,0.451072,0.112085,0.812451,0.0375551,0.0379089
73,0,19,1731.59,19,1731.59,2,2,0,364.886,0.0560049,0.0769288,0.432962,0.434105,0.120135,0.799,0.0402434,0.0406226
74,0,19,1731.59,19,1731.59,2,1,0,364.704,0.0619132,0.08505,0.372939,0.480098,0.119946,0.798048,0.0414562,0.04055
75,0,19,1731.59,19,1731.59,3,2,0,364.522,0.0669209,0.0919348,0.322002,0.519142,0.147549,0.751594,0.0509858,0.0498711
76,0,19,1731.59,19,1735.65,3,1,9,364.339,0.0755898,0.103851,0.363829,0.456731,0.147464,0.751404,0.0513004,0.0498314
77,0,19,1731.59,19,1735.65,2,0,0,364.157,0.0777208,0.106785,0.374204,0.44129,0.156407,0.736352,0.0543998,0.0528418
78,0,19,1731.59,19,1734.66,2,1,13,363.975,0.0841074,0.115567,0.322607,0.477718,0.142927,0.748168,0.055244,0.0536615
