iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,14,1494.42,14,1494.42,0,1,33,261.56,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,13,1413.29,13,1413.29,0,1,33,261.429,0.345581,0.21814,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814
2,12,1381.71,12,1381.71,0,2,33,261.298,0.453275,0.182242,0.182242,0.182242,0.182242,0.453275,0.182242,0.182242
3,12,1376.44,12,1376.44,0,2,33,261.168,0.563354,0.145549,0.145549,0.145549,0.161498,0.401754,0.275249,0.161498
4,12,1376.44,12,1379.4,0,0,9,261.037,0.6656,0.111467,0.111467,0.111467,0.138071,0.343537,0.380322,0.138071
5,11,1271.67,11,1271.67,2,2,33,260.907,0.653156,0.115615,0.115615,0.115615,0.145478,0.340591,0.377068,0.136862
6,10,1228.72,10,1228.72,0,1,33,260.776,0.596649,0.105576,0.1922,0.105576,0.120356,0.281822,0.484597,0.113225
7,10,1223.46,10,1223.46,3,2,33,260.646,0.693771,0.0801498,0.145929,0.0801498,0.102302,0.389436,0.412022,0.0962403
8,10,1200.63,10,1200.63,0,2,33,260.515,0.647953,0.0748242,0.136249,0.140974,0.0836699,0.318594,0.519025,0.0787113
9,10,1200.63,10,1206.8,0,1,9,260.385,0.736535,0.0559916,0.101969,0.105505,0.0656886,0.250193,0.622324,0.0617949
10,10,1200.63,10,1220.5,0,0,9,260.255,0.722494,0.0589697,0.107405,0.111131,0.0652543,0.254873,0.618487,0.0613856
11,10,1182.51,10,1182.51,3,1,33,260.125,0.708292,0.0619816,0.112904,0.116822,0.0756016,0.252026,0.611689,0.0606828
12,10,1174.17,10,1174.17,0,1,33,259.995,0.647238,0.0566112,0.103134,0.193017,0.0648754,0.35793,0.525123,0.0520709
13,10,1174.17,10,1174.17,0,2,13,259.865,0.734913,0.0425339,0.0774974,0.145056,0.053808,0.467284,0.435722,0.043186
14,10,1171.68,10,1171.68,0,2,33,259.735,0.735608,0.0424153,0.0772906,0.144686,0.0533292,0.463327,0.440544,0.0427999
15,10,1153.1,10,1153.1,0,2,33,259.605,0.806585,0.0310234,0.0565388,0.105853,0.0433709,0.376971,0.544852,0.0348061
16,10,1140.93,10,1140.93,0,2,33,259.475,0.861136,0.0222698,0.0405906,0.0760039,0.0340482,0.296069,0.64256,0.0273233
17,9,1148.39,9,1148.39,0,0,33,259.345,0.901479,0.0157972,0.0287967,0.0539271,0.0258886,0.225213,0.728124,0.0207744
18,9,1139.85,9,1139.85,0,0,33,259.216,0.93055,0.011134,0.0202986,0.0380176,0.0519523,0.219151,0.708691,0.0202055
19,8,1132.86,8,1132.86,0,2,33,259.086,0.951158,0.00782879,0.0142745,0.0267383,0.095127,0.209136,0.676464,0.019273
20,8,1132.25,8,1132.25,0,2,33,258.957,0.965634,0.00550757,0.0100433,0.0188151,0.071862,0.158013,0.75557,0.0145548
21,8,1132.25,8,1132.25,0,2,13,258.827,0.975759,0.00388428,0.00708403,0.0132728,0.0531103,0.116799,0.819337,0.0107534
22,8,1132.25,8,1147.91,0,2,9,258.698,0.974564,0.00407508,0.0074329,0.0139282,0.0542445,0.119313,0.815463,0.0109796
23,8,1132.25,8,1144.67,0,1,13,258.568,0.97117,0.00461801,0.0084242,0.0157878,0.0590768,0.129962,0.799007,0.0119538
24,8,1128.13,8,1128.13,0,2,33,258.439,0.96986,0.0048271,0.00880669,0.0165067,0.0577676,0.148839,0.781708,0.0116852
25,8,1115.79,8,1115.79,0,2,33,258.31,0.978718,0.00340775,0.00621793,0.0116559,0.0424773,0.109464,0.839469,0.00858953
26,8,1115.79,8,1115.79,0,2,13,258.181,0.98491,0.00241586,0.00440861,0.00826528,0.0308365,0.0794808,0.883449,0.00623361
27,8,1115.79,8,1115.79,0,2,13,258.052,0.98401,0.00255959,0.00467146,0.00875917,0.0318894,0.08221,0.879456,0.00644437
28,8,1115.55,8,1115.55,0,2,33,257.923,0.983076,0.00270859,0.004944,0.00927136,0.0329511,0.0849631,0.875429,0.0066568
29,8,1115.55,8,1142.86,0,2,9,257.794,0.987964,0.00192599,0.00351595,0.00659419,0.0237644,0.0612871,0.910149,0.00479936
30,8,1115.55,8,1142.86,0,2,9,257.665,0.986127,0.0022195,0.00405224,0.00760097,0.0265935,0.0685963,0.899441,0.005369
31,7,1109.34,7,1109.34,0,2,33,257.536,0.98406,0.00254987,0.00465597,0.00873452,0.0296532,0.0765031,0.887859,0.00598481
32,7,1101.98,7,1101.98,0,2,33,257.407,0.988656,0.00181429,0.00331323,0.00621634,0.021343,0.0550738,0.919277,0.00430621
33,7,1101.98,7,1101.98,0,2,13,257.278,0.991884,0.00129782,0.00237034,0.00444784,0.0153132,0.0395219,0.942076,0.00308863
34,7,1101.98,7,1101.98,0,2,13,257.15,0.99129,0.00139257,0.00254371,0.00477375,0.0160988,0.0415574,0.939098,0.00324605
35,7,1101.98,7,1117.43,0,2,9,257.021,0.990666,0.00149208,0.0027258,0.00511613,0.0169052,0.0436472,0.93604,0.00340755
36,7,1101.98,7,1112.97,0,2,13,256.893,0.989182,0.00172894,0.00315888,0.00592974,0.0191122,0.0493549,0.927682,0.00385119
37,7,1101.98,7,1106.08,0,1,13,256.764,0.988459,0.00184425,0.00336997,0.00632679,0.0199897,0.0516308,0.924353,0.00402672
38,7,1101.98,7,1105.67,0,2,13,256.636,0.987704,0.00196462,0.00359036,0.00674139,0.0196993,0.0647117,0.911622,0.00396694
39,7,1101.98,7,1102.39,0,2,13,256.508,0.986916,0.00209011,0.00382014,0.00717374,0.0205694,0.067586,0.907704,0.00414083
40,7,1101.56,7,1101.56,0,2,33,256.379,0.986096,0.00222074,0.0040594,0.007624,0.0214555,0.0705142,0.903712,0.00431783
41,7,1096.18,7,1096.18,0,2,33,256.251,0.990092,0.00158221,0.00289254,0.0054332,0.0154515,0.0507941,0.930646,0.00310856
42,7,1096.18,7,1105.17,0,2,9,256.123,0.992901,0.00113348,0.00207244,0.00389325,0.0111093,0.0365285,0.950128,0.00223427
43,7,1096.18,7,1098.56,0,2,13,255.995,0.991724,0.00132109,0.00241576,0.00453877,0.0126879,0.041729,0.943032,0.00255093
44,7,1096.18,7,1101.3,0,2,9,255.867,0.991123,0.00141686,0.00259119,0.004869,0.0133858,0.0440348,0.939889,0.00269038
45,7,1096.18,7,1101.3,0,2,9,255.739,0.9897,0.00164364,0.00300629,0.0056497,0.0152093,0.0500454,0.931689,0.0030559
46,7,1096.18,7,1101.3,0,2,9,255.611,0.988088,0.00190069,0.00347688,0.00653491,0.0172178,0.056668,0.922656,0.00345835
47,7,1096.18,7,1101.61,0,2,9,255.483,0.986265,0.00219111,0.00400861,0.00753527,0.0194199,0.0639306,0.91275,0.0038994
48,7,1096.18,7,1127.64,0,2,9,255.356,0.984212,0.00251811,0.00460742,0.00866198,0.0218224,0.0718571,0.90194,0.00438042
49,7,1096.18,7,1125.63,0,2,13,255.228,0.981909,0.0028851,0.00527954,0.00992682,0.0244312,0.0804662,0.8902,0.00490249
50,7,1096.18,7,1126.95,0,2,9,255.1,0.980905,0.00304466,0.0055722,0.0104784,0.0253757,0.083597,0.885937,0.00509038
51,7,1096.18,7,1126.31,0,2,13,254.973,0.97821,0.00347368,0.00635813,0.0119579,0.0282669,0.093144,0.872921,0.00566854
52,6,1138.55,6,1138.55,0,2,33,254.845,0.977091,0.00365153,0.00668447,0.0125732,0.029254,0.0964195,0.868462,0.0058646
53,6,1127.11,6,1127.11,0,2,33,254.718,0.983811,0.00258,0.00472351,0.00888585,0.0211472,0.0697168,0.904898,0.00423806
54,6,1115.42,6,1115.42,0,2,33,254.59,0.988504,0.00183173,0.00335397,0.00631027,0.0152124,0.0501634,0.931576,0.00304771
55,6,1102.32,6,1102.32,0,2,33,254.463,0.991793,0.00130745,0.00239429,0.00450526,0.0109261,0.0360375,0.950848,0.00218826
56,6,1102.05,6,1102.05,0,2,33,254.336,0.994108,0.000938529,0.0017189,0.00323481,0.00785389,0.0259108,0.964663,0.00157246
57,6,1095.47,6,1095.47,0,2,33,254.209,0.995745,0.000677646,0.00124125,0.00233621,0.00565963,0.0186761,0.974531,0.00113278
58,6,1095.08,6,1095.08,0,2,33,254.082,0.996909,0.000492182,0.000901641,0.00169724,0.00409325,0.0135105,0.981577,0.000818999
59,6,1095.08,6,1095.65,0,2,9,253.955,0.997741,0.000359603,0.000658846,0.00124036,0.0029734,0.00981656,0.986615,0.000594743
60,6,1095.08,6,1105.85,0,2,9,253.828,0.997304,0.000429154,0.000786368,0.00148062,0.00350663,0.0115798,0.984212,0.000701174
61,6,1091.98,6,1091.98,0,2,33,253.701,0.996793,0.000510325,0.000935218,0.00176111,0.0041203,0.0136095,0.981447,0.000823616
62,6,1091.98,6,1092.77,0,2,9,253.574,0.997659,0.0003725,0.000682723,0.0012858,0.002992,0.00988505,0.986525,0.000597885
63,6,1078.07,6,1078.07,0,2,33,253.447,0.997208,0.000444233,0.000814295,0.00153379,0.00352818,0.0116593,0.984108,0.000704802
64,6,1076.94,6,1076.94,0,2,33,253.32,0.997956,0.000325053,0.000595906,0.00112258,0.00256761,0.00848699,0.988433,0.00051275
65,6,1076.94,6,1076.94,0,2,13,253.194,0.998496,0.000239253,0.000438667,0.000826471,0.00187801,0.00620908,0.991538,0.000374917
66,6,1076.37,6,1076.37,0,2,33,253.067,0.99833,0.000265511,0.000486868,0.000917402,0.00206463,0.0068277,0.990696,0.000412039
67,6,1076.37,6,1077.97,0,2,9,252.941,0.998766,0.000196157,0.000359738,0.000677937,0.00151548,0.00501289,0.993169,0.000302348
68,6,1072.64,6,1072.64,0,2,33,252.814,0.998509,0.000236978,0.000434652,0.00081922,0.00181363,0.00600052,0.991824,0.000361714
69,6,1071.65,6,1071.65,0,2,33,252.688,0.998896,0.000175431,0.000321806,0.000606607,0.00133404,0.00441483,0.993985,0.000265978
70,6,1065.18,6,1065.18,0,2,33,252.561,0.999178,0.00013062,0.000239634,0.00045177,0.000986622,0.00326588,0.995551,0.000196647
71,6,1064,6,1064,0,2,33,252.435,0.999384,9.78086e-05,0.000179461,0.000338371,0.000733697,0.00242923,0.996691,0.000146188
72,6,1064,6,1064,0,2,13,252.309,0.999536,7.36497e-05,0.00013515,0.000254856,0.000548616,0.00181687,0.997525,0.000109276
73,6,1064,6,1064,0,2,13,252.183,0.999473,8.36652e-05,0.000153548,0.000289585,0.000618389,0.00204844,0.99721,0.000123134
74,6,1053.93,6,1053.93,0,2,33,252.057,0.999403,9.48011e-05,0.000174006,0.000328211,0.000695355,0.00230394,0.996862,0.000138415
75,6,1053.93,6,1058.59,0,2,9,251.931,0.99955,7.14089e-05,0.000131086,0.000247286,0.000520341,0.00172448,0.997652,0.000103544
76,6,1053.93,6,1058.59,0,2,9,251.805,0.999445,8.80307e-05,0.000161618,0.000304922,0.00063667,0.00211051,0.997126,0.000126651
77,6,1053.93,6,1058.59,0,2,9,251.679,0.999319,0.000108071,0.000198434,0.00037443,0.00077582,0.0025724,0.996498,0.000154282
78,6,1053.93,6,1060.66,0,2,9,251.553,0.999167,0.000132131,0.000242643,0.000457907,0.000941572,0.00312273,0.995749,0.000187184
79,6,1053.93,6,1075.29,0,2,9,251.427,0.998986,0.000160903,0.000295514,0.000557755,0.0011382,0.00377574,0.99486,0.000226199
80,6,1053.93,6,1075.29,0,2,9,251.301,0.99877,0.00019517,0.000358492,0.000676705,0.00137049,0.00454743,0.99381,0.000272276
81,6,1053.93,6,1075.29,0,2,9,251.176,0.998513,0.000235821,0.000433214,0.000817858,0.00164381,0.00545563,0.992574,0.000326471
82,6,1053.93,6,1076.19,0,2,9,251.05,0.99821,0.00028386,0.000521528,0.000984709,0.0019641,0.0065202,0.991126,0.000389956
83,6,1053.93,6,1072.32,0,2,13,250.925,0.997853,0.000340414,0.000625509,0.00118119,0.00233791,0.00776301,0.989435,0.000464024
84,6,1053.93,6,1072.32,0,2,0,250.799,0.997634,0.000375037,0.000689213,0.00130165,0.00255832,0.00849692,0.988437,0.000507607
85,6,1053.93,6,1057.25,0,2,13,250.674,0.996613,0.00053679,0.000986589,0.00186351,0.00362627,0.0120468,0.983608,0.00071927
86,6,1053.93,6,1057.25,0,2,9,250.548,0.996302,0.000585994,0.00107715,0.00203483,0.00393173,0.0130647,0.982224,0.000779605
87,6,1053.93,6,1056.22,0,2,13,250.423,0.995629,0.000692492,0.00127307,0.00240524,0.00460897,0.0153188,0.979159,0.000913597
88,6,1053.93,6,1057.29,0,2,9,250.298,0.995252,0.000752081,0.00138279,0.00261286,0.00497167,0.0165282,0.977515,0.000985173
89,6,1053.93,6,1057.29,0,2,9,250.173,0.994417,0.000884226,0.00162595,0.00307272,0.00579652,0.0192751,0.97378,0.00114825
90,6,1053.93,6,1057.29,0,2,9,250.048,0.993457,0.00103612,0.00190548,0.00360145,0.00673363,0.0223966,0.969536,0.00133345
91,6,1053.93,6,1063.8,0,2,9,249.923,0.992357,0.00121011,0.00222573,0.00420727,0.00779381,0.0259291,0.964734,0.0015429
92,6,1053.47,6,1053.47,0,2,33,249.798,0.991101,0.00140873,0.00259137,0.00489905,0.00898811,0.0299095,0.959324,0.00177875
93,6,1053.47,6,1053.47,0,2,13,249.673,0.993641,0.00100647,0.00185163,0.003501,0.00644988,0.0214683,0.970806,0.00127602
94,6,1053.47,6,1053.47,0,2,13,249.548,0.993145,0.00108476,0.00199591,0.00377428,0.00690673,0.0229944,0.968733,0.00136596
95,6,1053.47,6,1057.74,0,2,9,249.423,0.992622,0.00116734,0.00214812,0.00406264,0.00738479,0.0245919,0.966563,0.00146003
96,6,1053.47,6,1056.35,0,2,13,249.298,0.991403,0.00135999,0.00250294,0.00473429,0.0085283,0.0284067,0.961379,0.00168557
97,6,1053.47,6,1057.74,0,2,9,249.174,0.990789,0.00145678,0.00268139,0.00507247,0.00907596,0.0302382,0.958893,0.00179323
98,6,1053.47,6,1070.14,0,2,9,249.049,0.989317,0.00168928,0.00310972,0.00588351,0.0104265,0.034746,0.952768,0.00205939
99,6,1053.47,6,1086.09,0,2,9,248.925,0.987649,0.00195271,0.0035951,0.0068027,0.0119341,0.0397799,0.94593,0.00235642
