iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,23,2468,23,2468,1,2,33,391.158,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,22,2477.16,22,2477.16,0,3,33,390.962,0.21814,0.345581,0.21814,0.21814,0.21814,0.21814,0.345581,0.21814
2,22,2477.16,22,2477.16,2,0,0,390.767,0.31441,0.303045,0.191272,0.191272,0.191272,0.191272,0.303045,0.31441
3,18,2311.77,18,2311.77,1,2,33,390.571,0.323592,0.311893,0.167676,0.196839,0.167676,0.196839,0.311893,0.323592
4,18,2311.77,18,2321.67,1,2,9,390.376,0.274412,0.416509,0.142173,0.166906,0.142173,0.166906,0.416509,0.274412
5,18,2308.72,18,2308.72,1,3,33,390.181,0.278777,0.407263,0.144416,0.169544,0.144416,0.169544,0.407263,0.278777
6,18,2308.72,18,2308.72,3,0,0,389.986,0.227198,0.51696,0.117681,0.138162,0.123188,0.144628,0.347472,0.384712
7,18,2308.72,18,2308.72,0,3,0,389.791,0.230056,0.523551,0.119146,0.127247,0.112175,0.146422,0.351844,0.38956
8,18,2245.12,18,2245.12,3,2,33,389.596,0.205455,0.540329,0.122928,0.131288,0.121498,0.158599,0.381172,0.338731
9,17,2199.9,17,2199.9,1,2,33,389.401,0.186385,0.490271,0.111506,0.211837,0.100176,0.130774,0.489705,0.279345
10,17,2199.9,17,2199.9,1,2,0,389.206,0.147114,0.597677,0.0880025,0.167207,0.0790779,0.103237,0.597128,0.220557
11,17,2109.86,17,2109.86,1,3,33,389.012,0.168188,0.540048,0.100599,0.191165,0.0903824,0.118001,0.539478,0.252138
12,17,2083.39,17,2083.39,1,2,33,388.817,0.130286,0.643705,0.0779202,0.148089,0.0774698,0.101148,0.46257,0.358812
13,17,2007.32,17,2007.32,2,1,33,388.623,0.0973424,0.733799,0.0582117,0.110646,0.0620031,0.0809584,0.569774,0.287264
14,17,2007.32,17,2007.32,1,2,0,388.428,0.0922217,0.695479,0.107471,0.104829,0.057974,0.140362,0.532985,0.268679
15,17,2007.32,17,2007.32,1,3,0,388.234,0.108826,0.640643,0.126825,0.123706,0.0653803,0.158321,0.473201,0.303097
16,17,2007.32,17,2007.32,1,2,0,388.04,0.126264,0.583052,0.147152,0.143532,0.0689841,0.167078,0.499482,0.264456
17,17,2007.32,17,2007.32,3,1,13,387.846,0.144056,0.524291,0.167892,0.163761,0.0770193,0.186572,0.44107,0.295339
18,17,2007.32,17,2007.32,0,1,0,387.652,0.140481,0.511411,0.16373,0.184378,0.0752608,0.204916,0.43115,0.288673
19,17,2007.32,17,2007.32,1,3,0,387.458,0.128317,0.518694,0.166024,0.186966,0.0775344,0.180662,0.44433,0.297474
20,17,2007.32,17,2014.49,1,2,9,387.265,0.143848,0.46041,0.186129,0.209612,0.0817257,0.19046,0.468513,0.259301
21,17,2007.32,17,2014.49,1,2,0,387.071,0.147025,0.44847,0.190249,0.214256,0.083603,0.194868,0.45621,0.265319
22,17,2007.32,17,2014.49,3,2,0,386.877,0.161813,0.392966,0.209396,0.235825,0.092209,0.214964,0.40013,0.292698
23,17,2007.32,17,2016.07,2,1,9,386.684,0.16808,0.408259,0.217517,0.206144,0.100271,0.233798,0.347569,0.318362
24,17,1981.5,17,1981.5,3,0,33,386.491,0.167325,0.406496,0.220954,0.205226,0.10025,0.233798,0.347583,0.318369
25,17,1981.5,17,1981.5,1,3,0,386.297,0.147303,0.357919,0.194526,0.300252,0.164169,0.217178,0.322899,0.295755
26,17,1981.5,17,1981.5,2,2,0,386.104,0.158675,0.308293,0.209555,0.323477,0.173975,0.230163,0.342232,0.25363
27,17,1981.5,17,1981.5,3,3,0,385.911,0.164239,0.319147,0.181745,0.334869,0.186605,0.246886,0.294446,0.272063
28,17,1925.78,17,1925.78,2,2,33,385.718,0.175872,0.341798,0.194622,0.287708,0.196656,0.260198,0.310333,0.232813
29,17,1925.78,17,1925.78,2,2,0,385.525,0.156114,0.303439,0.285037,0.25541,0.167332,0.221412,0.413151,0.198104
30,17,1925.78,17,1925.78,2,0,0,385.333,0.165138,0.321021,0.243641,0.2702,0.182529,0.241534,0.359833,0.216103
31,17,1925.78,17,1925.78,2,0,0,385.14,0.172462,0.335304,0.210022,0.282212,0.160795,0.247949,0.369419,0.221838
32,17,1925.78,17,2095.59,1,1,9,384.947,0.178394,0.346882,0.182778,0.291947,0.143059,0.253182,0.377245,0.226514
33,17,1925.78,17,2095.59,1,2,0,384.755,0.180744,0.338245,0.185188,0.295823,0.143035,0.253211,0.377256,0.226498
34,17,1925.78,17,2095.59,3,1,0,384.563,0.193607,0.29112,0.198367,0.316906,0.154579,0.273679,0.326941,0.244801
35,17,1925.78,17,2095.59,1,1,0,384.37,0.206312,0.31025,0.211386,0.272053,0.162586,0.235986,0.343926,0.257503
36,17,1925.78,17,2095.59,3,2,0,384.178,0.219454,0.266294,0.224852,0.289399,0.169109,0.205252,0.357779,0.26786
37,17,1925.78,17,2095.59,1,1,0,383.986,0.232292,0.281884,0.238008,0.247816,0.181764,0.220619,0.309687,0.287931
38,17,1925.78,17,2095.59,3,0,0,383.794,0.245415,0.24131,0.251455,0.26182,0.18855,0.191459,0.321283,0.298708
39,17,1925.78,17,2095.59,1,3,0,383.602,0.258098,0.253779,0.26445,0.223673,0.165391,0.196909,0.330462,0.307238
40,17,1925.78,17,2095.59,0,2,0,383.41,0.27072,0.217289,0.277385,0.234606,0.175371,0.208798,0.350451,0.26538
41,17,1925.78,17,2095.59,2,3,0,383.219,0.232248,0.228746,0.292026,0.24698,0.187969,0.223805,0.303758,0.284468
42,17,1925.78,17,1966.11,2,0,13,383.027,0.24567,0.241965,0.251108,0.261257,0.198261,0.236068,0.320421,0.24525
43,17,1925.78,17,1966.11,0,1,0,382.835,0.241764,0.238118,0.263011,0.257106,0.214951,0.231147,0.313761,0.24014
44,17,1925.78,17,2074.3,1,0,9,382.644,0.207677,0.24882,0.274837,0.268666,0.223355,0.20106,0.326052,0.249534
45,17,1925.78,17,2074.3,2,0,0,382.453,0.20833,0.246428,0.275717,0.269525,0.22527,0.200553,0.325261,0.248915
46,17,1925.78,17,2074.3,3,0,0,382.261,0.219514,0.259665,0.236813,0.284008,0.196713,0.207934,0.337265,0.258088
47,17,1925.78,17,2074.3,3,0,0,382.07,0.231651,0.274032,0.249911,0.244406,0.173416,0.213953,0.347061,0.26557
48,17,1925.78,17,2074.3,2,1,0,381.879,0.24192,0.286189,0.260993,0.210898,0.154353,0.218875,0.35508,0.271691
49,17,1925.78,17,2105.79,1,1,9,381.688,0.253538,0.299944,0.225497,0.221021,0.159504,0.192714,0.366991,0.28079
50,17,1925.78,17,2114.49,1,3,9,381.498,0.255096,0.295655,0.226877,0.222372,0.158319,0.19862,0.364325,0.278735
51,17,1925.78,17,2114.49,3,3,0,381.307,0.25661,0.291486,0.228218,0.223686,0.158305,0.198611,0.364353,0.27873
52,17,1925.78,17,2114.49,0,0,0,381.116,0.266177,0.302361,0.236722,0.19474,0.165984,0.208255,0.382092,0.243669
53,17,1925.78,17,2114.49,1,2,0,380.926,0.230939,0.316893,0.248087,0.204082,0.149335,0.212399,0.389742,0.248525
54,17,1925.78,17,2067.5,2,1,13,380.735,0.245125,0.274933,0.26333,0.216613,0.161154,0.229226,0.341398,0.268222
55,17,1925.78,17,2067.5,0,0,0,380.545,0.240566,0.269826,0.277028,0.212579,0.157421,0.247003,0.333541,0.262036
56,17,1925.78,17,1988.48,0,1,13,380.354,0.208538,0.281209,0.288716,0.221537,0.140969,0.251819,0.340064,0.267148
57,17,1925.78,17,1988.48,2,1,0,380.164,0.225026,0.275354,0.282706,0.216914,0.13775,0.268812,0.332357,0.261081
58,17,1925.78,17,1988.48,3,0,0,379.974,0.237081,0.290117,0.24427,0.228532,0.144234,0.234296,0.348064,0.273406
59,17,1925.78,17,1965.54,2,0,13,379.784,0.246059,0.301116,0.253522,0.199303,0.130402,0.238073,0.353703,0.277822
60,17,1925.78,17,2054.42,1,3,9,379.594,0.240812,0.294706,0.269436,0.195045,0.149377,0.232868,0.345998,0.271757
61,17,1925.78,17,2054.42,3,3,0,379.405,0.241924,0.291453,0.270686,0.195937,0.149301,0.232771,0.34588,0.272048
62,17,1925.78,17,2090.33,1,0,9,379.215,0.249052,0.300051,0.278668,0.172229,0.156323,0.24374,0.362208,0.237728
63,17,1925.78,17,2090.33,0,1,0,379.025,0.250201,0.296829,0.27996,0.173011,0.164568,0.24135,0.358685,0.235396
64,17,1925.78,17,2080.63,3,1,13,378.836,0.217907,0.309622,0.292023,0.180448,0.170839,0.212368,0.372411,0.244383
65,17,1925.78,17,2003.85,0,2,13,378.646,0.213004,0.302676,0.285468,0.198852,0.166534,0.232142,0.363082,0.238241
66,17,1925.78,17,2003.85,3,3,0,378.457,0.230429,0.295982,0.279152,0.194438,0.162964,0.227181,0.376704,0.233151
67,17,1925.78,17,2003.85,1,1,0,378.268,0.237064,0.30452,0.287201,0.171215,0.168708,0.235205,0.390048,0.206039
68,17,1925.78,17,2003.85,3,1,0,378.079,0.250753,0.264361,0.303796,0.18109,0.174617,0.208342,0.403777,0.213264
69,17,1925.78,17,2003.85,3,3,0,377.89,0.257023,0.270975,0.311405,0.160597,0.179495,0.186149,0.415126,0.219231
70,17,1925.78,17,2003.85,0,3,0,377.701,0.262166,0.276399,0.317648,0.143787,0.184866,0.19172,0.42762,0.195794
71,17,1925.78,17,2003.85,1,1,0,377.512,0.229331,0.288704,0.331798,0.150168,0.189317,0.196337,0.437988,0.176358
72,17,1925.78,17,2003.85,1,0,0,377.323,0.240939,0.252686,0.348619,0.157756,0.193817,0.177161,0.448475,0.180547
73,17,1925.78,17,1925.99,2,2,13,377.134,0.250535,0.222909,0.362531,0.164025,0.175355,0.181199,0.458782,0.184663
74,17,1844.92,17,1844.92,2,3,33,376.946,0.244374,0.217423,0.378224,0.159978,0.170722,0.176413,0.473078,0.179786
75,17,1844.92,17,2017.98,2,2,9,376.757,0.198981,0.177032,0.493736,0.130251,0.150452,0.155468,0.416993,0.277087
76,17,1844.92,17,1919.58,2,1,13,376.569,0.201401,0.17918,0.487596,0.131823,0.152004,0.157073,0.410944,0.27998
77,17,1844.92,17,1914.92,2,0,13,376.381,0.195791,0.174185,0.501883,0.128141,0.148143,0.178367,0.400587,0.272903
78,17,1844.92,17,1909.07,0,2,13,376.192,0.190292,0.169289,0.515888,0.124531,0.168932,0.173996,0.390834,0.266238
79,17,1844.92,17,1909.07,2,3,0,376.004,0.215218,0.164056,0.500052,0.120674,0.165152,0.170104,0.404439,0.260304
80,17,1844.92,17,1909.07,3,2,0,375.816,0.237667,0.181158,0.447929,0.133246,0.171927,0.177083,0.421105,0.229886
81,17,1844.92,17,1985.9,1,0,9,375.628,0.24024,0.183109,0.452835,0.123816,0.186722,0.192323,0.371272,0.249683
82,17,1844.92,17,1952.36,3,0,13,375.441,0.237168,0.193513,0.447102,0.122217,0.19398,0.190592,0.36798,0.247449
83,16,1875.68,16,1875.68,2,2,33,375.253,0.231292,0.18871,0.436079,0.143919,0.21406,0.18583,0.358832,0.241278
84,16,1875.68,16,1875.68,2,0,0,375.065,0.183747,0.149913,0.552015,0.114324,0.176416,0.153146,0.471586,0.198852
85,16,1824.59,16,1824.59,2,1,33,374.878,0.205677,0.167797,0.498569,0.127956,0.160221,0.156135,0.4809,0.202745
86,16,1824.59,16,1824.59,3,1,0,374.69,0.159188,0.129865,0.611922,0.099025,0.143048,0.246477,0.429451,0.181023
87,16,1824.59,16,1824.59,0,0,0,374.503,0.159748,0.130317,0.614242,0.095693,0.148392,0.21822,0.445593,0.187795
88,16,1824.59,16,1824.59,2,3,0,374.316,0.148625,0.132013,0.62243,0.0969325,0.135689,0.22146,0.452273,0.190577
89,15,1801.23,15,1801.23,2,1,33,374.129,0.169418,0.150478,0.569619,0.110484,0.138842,0.226629,0.462895,0.171634
90,15,1801.23,15,1801.23,2,1,0,373.942,0.12741,0.113164,0.676344,0.0830822,0.119873,0.332191,0.399746,0.14819
