iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,32,2368.02,32,2368.02,1,0,33,378.454,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,24,2196.02,24,2196.02,1,0,33,378.265,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814
2,24,2196.02,24,2196.02,2,0,0,378.076,0.182242,0.453275,0.182242,0.182242,0.453275,0.182242,0.182242,0.182242
3,23,2095.59,23,2095.59,1,0,33,377.887,0.186282,0.463407,0.16403,0.186282,0.399965,0.200012,0.200012,0.200012
4,22,1990.95,22,1990.95,1,0,33,377.698,0.148102,0.57339,0.130407,0.148102,0.510256,0.163248,0.163248,0.163248
5,22,1974.07,22,1974.07,0,0,33,377.509,0.112944,0.674664,0.0994477,0.112944,0.617493,0.127502,0.127502,0.127502
6,22,1974.07,22,2163.53,1,0,9,377.32,0.188817,0.617012,0.0909149,0.103256,0.712638,0.0957872,0.0957872,0.0957872
7,22,1974.07,22,2082.76,0,0,13,377.132,0.195335,0.603818,0.0940394,0.106807,0.700244,0.0999185,0.0999185,0.0999185
8,22,1974.07,22,2082.76,1,2,0,376.943,0.217972,0.586884,0.091368,0.103776,0.704745,0.0984182,0.0984182,0.0984182
9,22,1974.07,22,2082.76,3,0,0,376.755,0.248503,0.529056,0.104148,0.118294,0.707747,0.0987986,0.0946554,0.0987986
10,20,1951.65,20,1951.65,1,0,33,376.566,0.250787,0.534,0.105087,0.110127,0.6559,0.116326,0.111447,0.116326
11,20,1951.65,20,1951.65,2,0,0,376.378,0.194735,0.638182,0.081585,0.0854988,0.744947,0.0862235,0.0826063,0.0862235
12,20,1951.65,20,2029.82,1,1,9,376.19,0.195233,0.639966,0.0790978,0.0857034,0.696071,0.102747,0.0984355,0.102747
13,20,1951.65,20,2029.82,0,1,0,376.002,0.202596,0.626417,0.0820662,0.0889211,0.686124,0.115645,0.0969909,0.10124
