iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,15,2241.87,15,2241.87,3,3,33,356.093,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,15,2124.42,15,2124.42,3,2,33,355.915,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814,0.345581
2,0,14,2032.2,14,2032.2,0,3,33,355.737,0.182242,0.182242,0.182242,0.453275,0.191272,0.191272,0.31441,0.303045
3,0,14,1936.22,14,1936.22,3,1,33,355.559,0.275249,0.161498,0.161498,0.401754,0.162894,0.162894,0.267789,0.406423
4,0,13,1867.08,13,1867.08,0,0,33,355.381,0.224987,0.131994,0.131994,0.511026,0.146103,0.249095,0.240208,0.364594
5,0,13,1824,13,1824,3,0,33,355.203,0.327069,0.114587,0.114587,0.443756,0.22583,0.22583,0.217772,0.330567
6,0,11,1737.6,11,1737.6,0,2,33,355.026,0.2636,0.0923321,0.0923321,0.551735,0.320457,0.198221,0.191146,0.290175
7,0,11,1726.06,11,1726.06,0,3,33,354.848,0.370835,0.0788655,0.0788655,0.471434,0.285754,0.176738,0.278762,0.258746
8,0,11,1695.08,11,1695.08,0,3,33,354.671,0.480106,0.065151,0.065151,0.389592,0.249094,0.154049,0.242997,0.35386
9,0,11,1691.72,11,1691.72,3,2,33,354.493,0.584528,0.0520513,0.0520513,0.311369,0.208962,0.129218,0.203847,0.457972
10,0,11,1691.72,11,1694.27,3,1,9,354.316,0.491418,0.0437389,0.0437389,0.421104,0.184224,0.113909,0.298048,0.403819
11,0,11,1691.72,11,1695.01,3,3,9,354.139,0.502364,0.0446915,0.0446915,0.408253,0.182689,0.121204,0.295592,0.400516
12,0,10,1674.4,10,1674.4,0,2,33,353.962,0.512133,0.0455386,0.0455386,0.39679,0.186752,0.123889,0.302195,0.387164
13,0,10,1643.71,10,1643.71,3,2,33,353.785,0.613361,0.036077,0.036077,0.314485,0.159297,0.105667,0.40474,0.330295
14,0,9,1633.57,9,1633.57,0,2,33,353.608,0.515733,0.0303175,0.0303175,0.423632,0.131342,0.0871164,0.509171,0.27237
15,0,8,1618.46,8,1618.46,0,2,33,353.431,0.614851,0.0241011,0.0241011,0.336947,0.104129,0.0690608,0.610842,0.215969
16,0,8,1558.34,8,1558.34,0,2,33,353.254,0.703624,0.0185374,0.0185374,0.259301,0.0797284,0.0528736,0.702013,0.165385
17,0,8,1541.57,8,1541.57,0,2,33,353.078,0.777941,0.0138828,0.0138828,0.194294,0.0593499,0.0393559,0.778163,0.123131
18,0,8,1534.95,8,1534.95,0,3,33,352.901,0.836877,0.0101935,0.0101935,0.142736,0.0432705,0.0286911,0.838254,0.0897848
19,0,7,1522.49,7,1522.49,0,3,33,352.725,0.881756,0.00738557,0.00738557,0.103473,0.0402425,0.0266811,0.780055,0.153021
20,0,7,1520.54,7,1520.54,0,2,33,352.549,0.914966,0.0053088,0.0053088,0.0744162,0.0362074,0.0240039,0.702257,0.237532
21,0,7,1520.54,7,1543.5,0,2,9,352.372,0.93908,0.00380161,0.00380161,0.0533172,0.0272711,0.018078,0.775677,0.178974
22,0,7,1520.54,7,1549.19,0,2,9,352.196,0.931226,0.00428973,0.00428973,0.0601948,0.029593,0.0196156,0.756506,0.194285
23,0,7,1456.74,7,1456.74,2,2,33,352.02,0.922625,0.00482392,0.00482392,0.0677267,0.0319953,0.0212062,0.736662,0.210136
24,0,7,1456.74,7,1456.74,0,2,9,351.844,0.916409,0.00478639,0.0115694,0.0672352,0.0238709,0.0158201,0.803473,0.156836
25,0,7,1456.74,7,1456.74,0,2,0,351.668,0.906354,0.0053597,0.0129575,0.0753284,0.0260516,0.0172639,0.785456,0.171228
26,0,7,1456.74,7,1456.74,0,3,0,351.492,0.877269,0.00702123,0.0169773,0.0987327,0.0324426,0.0214974,0.732745,0.213315
27,0,7,1453.16,7,1453.16,0,2,33,351.316,0.841532,0.00906157,0.0219148,0.127492,0.0334835,0.0221852,0.756726,0.187606
28,0,7,1453.16,7,1453.16,0,2,0,351.141,0.885144,0.00656479,0.0158793,0.092412,0.0247953,0.0164273,0.819803,0.138974
29,0,7,1421.86,7,1421.86,0,3,33,350.965,0.851111,0.0085062,0.0205789,0.119804,0.031261,0.0207093,0.772756,0.175274
30,0,7,1411.89,7,1411.89,3,0,33,350.79,0.892299,0.00615028,0.0148819,0.0866686,0.0278595,0.0184544,0.689114,0.264572
31,0,7,1411.89,7,1412.26,0,2,9,350.614,0.833449,0.00573893,0.013889,0.146923,0.0544896,0.017937,0.670281,0.257292
32,0,7,1411.89,7,1449.46,3,3,9,350.439,0.816223,0.00632878,0.0153192,0.162129,0.058356,0.0192055,0.646804,0.275634
33,0,7,1411.89,7,1451.62,0,2,9,350.264,0.810329,0.00627697,0.0151965,0.168198,0.0586104,0.019285,0.649937,0.272167
34,0,7,1411.89,7,1467.75,0,2,9,350.089,0.791692,0.00688961,0.0166827,0.184735,0.0625543,0.020578,0.626297,0.29057
35,0,7,1411.89,7,1466.52,0,2,13,349.914,0.772145,0.00753161,0.0182404,0.202082,0.0665192,0.0218775,0.602521,0.309083
36,0,7,1411.89,7,1519.74,0,2,9,349.739,0.766492,0.00771387,0.0186852,0.207109,0.0672201,0.0221031,0.598241,0.312435
37,0,6,1488.06,6,1488.06,0,2,33,349.564,0.745885,0.00838958,0.0203255,0.2254,0.0711831,0.023401,0.574459,0.330957
38,0,6,1488.06,6,1488.06,0,1,9,349.389,0.810126,0.00626495,0.0151808,0.168429,0.0559533,0.0183902,0.665428,0.260228
39,0,6,1488.06,6,1490.76,3,2,9,349.214,0.791465,0.00687653,0.0166657,0.184992,0.0556339,0.023587,0.661957,0.258822
40,0,6,1488.06,6,1502.82,3,2,9,349.04,0.787046,0.00683165,0.0165599,0.189562,0.0595072,0.0252248,0.638341,0.276927
41,0,6,1488.06,6,1504.64,0,2,9,348.865,0.783002,0.0067901,0.0164621,0.193746,0.0634124,0.0268756,0.614521,0.295191
42,0,6,1488.06,6,1523.95,0,2,9,348.691,0.762864,0.00741571,0.017982,0.211739,0.0673286,0.0285305,0.590623,0.313518
43,0,6,1488.06,6,1550.24,3,3,9,348.516,0.741906,0.00806616,0.0195627,0.230465,0.0712355,0.0301809,0.566771,0.331812
44,0,6,1488.06,6,1550.24,0,2,0,348.342,0.740881,0.00804774,0.0195215,0.23155,0.0722104,0.0305887,0.574767,0.322434
45,0,6,1488.06,6,1542.91,0,3,13,348.168,0.681043,0.00990012,0.0240191,0.285038,0.0838803,0.035526,0.505939,0.374654
46,0,6,1488.06,6,1542.91,0,0,0,347.994,0.67584,0.0100554,0.0244003,0.289705,0.0832204,0.0352404,0.50214,0.379399
47,0,6,1488.06,6,1537.16,0,3,13,347.82,0.610373,0.0120788,0.0293153,0.348233,0.0764042,0.0354851,0.505895,0.382215
48,0,6,1488.06,6,1553.07,3,2,9,347.646,0.606151,0.0122022,0.02962,0.352027,0.0758489,0.0352218,0.502409,0.38652
49,0,6,1488.06,6,1553.38,0,0,9,347.472,0.615511,0.0123809,0.0300592,0.342048,0.0792776,0.0368084,0.479789,0.404125
50,0,6,1488.06,6,1549.16,0,3,13,347.298,0.592033,0.013129,0.0318812,0.362957,0.0861706,0.0365154,0.476214,0.4011
51,0,6,1488.06,6,1537.29,3,2,13,347.125,0.588304,0.013241,0.0321589,0.366297,0.0858315,0.0363654,0.474502,0.403301
52,0,6,1488.06,6,1519.84,0,2,13,346.951,0.581389,0.0130755,0.0317624,0.373773,0.0861356,0.036488,0.472522,0.404855
53,0,6,1465.44,6,1465.44,3,2,33,346.778,0.577704,0.0131825,0.0320281,0.377085,0.0864329,0.0366076,0.470581,0.406378
54,0,6,1459.83,6,1459.83,0,2,33,346.604,0.47994,0.0109434,0.0265926,0.482524,0.070304,0.0297713,0.569276,0.330648
55,0,6,1457.58,6,1457.58,0,2,33,346.431,0.576799,0.00889888,0.0216283,0.392674,0.0553171,0.0234208,0.661019,0.260244
56,0,6,1457.58,6,1459.63,0,3,9,346.258,0.666301,0.00701188,0.0170451,0.309642,0.042319,0.0179145,0.740612,0.199154
57,0,6,1447.78,6,1447.78,0,2,33,346.085,0.641153,0.00753494,0.0183198,0.332992,0.0421345,0.0178333,0.737807,0.202226
58,0,6,1444.43,6,1444.43,3,2,33,345.912,0.722525,0.00582216,0.014158,0.257494,0.0315652,0.0133576,0.803532,0.151546
59,0,6,1443.3,6,1443.3,0,2,33,345.739,0.625397,0.00503463,0.0122451,0.357323,0.023276,0.00984812,0.855092,0.111784
60,0,6,1438.69,6,1438.69,0,3,33,345.566,0.707186,0.00393217,0.00956544,0.279316,0.0169881,0.00718647,0.894214,0.0816118
61,0,6,1438.69,6,1438.69,3,3,0,345.393,0.776218,0.00300268,0.00730567,0.213474,0.015928,0.00673686,0.839078,0.138257
62,0,6,1437.62,6,1437.62,3,2,33,345.22,0.805224,0.00311143,0.0075716,0.184093,0.0162013,0.00685123,0.854147,0.1228
63,0,6,1437.62,6,1456.26,0,2,9,345.048,0.718937,0.00277493,0.00675393,0.271534,0.011901,0.00503188,0.892825,0.0902426
64,0,6,1437.62,6,1459.21,0,2,9,344.875,0.691682,0.00304131,0.0074036,0.297874,0.0134759,0.00569675,0.878602,0.102226
65,0,6,1437.62,6,1459.21,3,2,0,344.703,0.663598,0.00331538,0.00807222,0.325015,0.0151906,0.00642052,0.863109,0.11528
66,0,6,1437.62,6,1457.53,0,2,13,344.53,0.712547,0.00355616,0.00866002,0.275237,0.0198463,0.00838687,0.821094,0.150673
67,0,6,1437.62,6,1449.31,0,2,13,344.358,0.703244,0.00366818,0.00893439,0.284153,0.0206309,0.00871695,0.813959,0.156693
68,0,6,1437.62,6,1450.05,3,2,9,344.186,0.693958,0.0037798,0.00920789,0.293055,0.0214228,0.00904996,0.806754,0.162773
69,0,6,1437.62,6,1444.54,0,2,13,344.014,0.701734,0.00381817,0.00930302,0.285145,0.0236969,0.010009,0.786168,0.180126
70,0,6,1437.62,6,1444.54,0,3,0,343.842,0.692605,0.00393175,0.00958147,0.293881,0.0245082,0.0103498,0.778774,0.186368
71,0,6,1437.62,6,1458.28,0,2,9,343.67,0.623921,0.00480627,0.0117147,0.359558,0.025202,0.010641,0.801375,0.162782
72,0,6,1437.62,6,1458.7,0,2,9,343.498,0.595978,0.00515909,0.0125769,0.386286,0.0277858,0.0117299,0.780947,0.179537
73,0,6,1437.62,6,1465.17,0,0,9,343.326,0.567965,0.00551222,0.0134402,0.413083,0.030498,0.0128726,0.759494,0.197135
