iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,6,945.324,6,945.324,2,0,33,186.537,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,6,928.815,6,928.815,0,0,33,186.443,0.21814,0.21814,0.345581,0.21814,0.345581,0.21814,0.21814,0.21814
2,6,906.588,6,906.588,0,3,33,186.35,0.31441,0.191272,0.303045,0.191272,0.453275,0.182242,0.182242,0.182242
3,4,934.582,4,934.582,1,0,33,186.257,0.418438,0.162243,0.257076,0.162243,0.401754,0.161498,0.161498,0.275249
4,4,862.524,4,862.524,2,0,33,186.164,0.375282,0.248696,0.23054,0.145482,0.511026,0.131994,0.131994,0.224987
5,4,860.838,4,860.838,0,2,33,186.071,0.327534,0.217036,0.328481,0.126948,0.617208,0.103326,0.103326,0.176141
6,4,769.558,4,769.558,0,0,33,185.978,0.431073,0.183616,0.277923,0.107389,0.568609,0.0951558,0.174005,0.162231
7,4,769.558,4,858.946,1,0,9,185.885,0.538801,0.148844,0.225311,0.087043,0.668482,0.0731193,0.133724,0.124674
8,4,762.527,4,762.527,2,0,33,185.792,0.532925,0.158198,0.222815,0.0860622,0.654162,0.0762711,0.139505,0.130062
9,4,762.527,4,762.703,2,0,9,185.699,0.463942,0.137688,0.323475,0.0748949,0.741842,0.0569291,0.10414,0.0970892
10,4,750.767,4,750.767,2,0,33,185.606,0.467039,0.138573,0.31902,0.0753674,0.728018,0.0599721,0.10972,0.10229
11,4,748.082,4,748.082,0,0,33,185.513,0.393273,0.116658,0.42663,0.0634403,0.801561,0.0437521,0.0800547,0.0746326
12,4,733.123,4,733.123,2,2,33,185.42,0.499405,0.0962348,0.352032,0.0523276,0.858088,0.031286,0.057252,0.0533736
13,4,728.854,4,728.854,3,2,33,185.328,0.415981,0.0801326,0.46032,0.0435668,0.814091,0.0296622,0.105638,0.0506088
14,4,719.738,4,719.738,0,0,33,185.235,0.400048,0.077038,0.442698,0.0802163,0.749222,0.0272806,0.176947,0.0465503
15,4,719.738,4,719.738,0,0,13,185.142,0.504787,0.0635723,0.365445,0.0661956,0.816072,0.0200027,0.12979,0.0341353
16,4,707.731,4,707.731,0,3,33,185.05,0.506463,0.0633407,0.364241,0.065955,0.814031,0.0202189,0.131242,0.0345079
17,4,707.311,4,707.311,0,3,33,184.957,0.606779,0.0504531,0.290232,0.0525358,0.786398,0.0195181,0.12674,0.0673437
18,4,707.311,4,707.311,0,0,13,184.865,0.697145,0.0388484,0.223555,0.0404525,0.742286,0.0184096,0.119588,0.119716
19,4,706.073,4,706.073,0,2,33,184.772,0.695153,0.0390937,0.225045,0.0407082,0.739728,0.0185859,0.120778,0.120908
20,4,688.589,4,688.589,0,2,33,184.68,0.771483,0.0292975,0.168712,0.0305077,0.677077,0.0169993,0.195296,0.110628
21,4,688.589,4,689.326,0,0,9,184.588,0.832214,0.0215058,0.123886,0.0223943,0.598846,0.0150241,0.288319,0.0978104
22,4,669.298,4,669.298,0,0,33,184.495,0.817043,0.0234442,0.1351,0.024413,0.57617,0.0158652,0.30464,0.103325
