iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,14,1384.43,14,1384.43,1,1,33,219.196,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,14,1384.43,14,1466.31,1,0,9,219.086,0.21814,0.345581,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814
2,14,1384.43,14,1426.72,3,2,13,218.977,0.220325,0.339026,0.220325,0.220325,0.221013,0.344329,0.217329,0.217329
3,14,1384.43,14,1407.13,1,1,13,218.867,0.215609,0.331798,0.215609,0.236983,0.216227,0.336903,0.234247,0.212623
4,12,1369.64,12,1369.64,2,1,33,218.758,0.211892,0.343314,0.211892,0.232902,0.212486,0.348372,0.230198,0.208943
5,12,1369.64,12,1371.72,1,1,9,218.648,0.186332,0.301931,0.306925,0.204811,0.177342,0.456145,0.192128,0.174385
6,12,1331.7,12,1331.7,3,0,33,218.539,0.187907,0.295996,0.309551,0.206547,0.180497,0.446469,0.195548,0.177486
7,12,1331.7,12,1331.7,3,0,0,218.43,0.166136,0.261724,0.273712,0.298428,0.27283,0.396197,0.173501,0.157472
8,12,1331.7,12,1331.7,1,1,0,218.321,0.176166,0.277552,0.290267,0.256014,0.238345,0.415019,0.181713,0.164922
9,12,1330.22,12,1330.22,2,1,33,218.211,0.185746,0.238216,0.306082,0.269956,0.259508,0.363101,0.197837,0.179553
10,12,1330.22,12,1330.22,3,1,0,218.102,0.158152,0.202838,0.409141,0.229869,0.215437,0.471284,0.16423,0.149049
11,12,1330.22,12,1330.22,3,0,0,217.993,0.163758,0.210039,0.423725,0.202478,0.237878,0.416231,0.181328,0.164563
12,12,1330.22,12,1330.22,2,3,0,217.884,0.168362,0.215954,0.43572,0.179965,0.209579,0.431721,0.188044,0.170655
13,12,1330.22,12,1371.23,2,1,9,217.775,0.184164,0.236235,0.382742,0.196859,0.213898,0.44068,0.191915,0.153507
14,12,1318.32,12,1318.32,3,3,33,217.666,0.186587,0.239354,0.374609,0.19945,0.217519,0.431224,0.19516,0.156096
15,12,1318.32,12,1318.32,2,2,0,217.558,0.164695,0.211282,0.330703,0.29332,0.1954,0.387425,0.17531,0.241865
16,12,1318.32,12,1536.76,3,1,9,217.449,0.175916,0.225688,0.285056,0.31334,0.19994,0.396483,0.156081,0.247496
17,12,1318.32,12,1536.76,1,1,0,217.34,0.177635,0.227905,0.287869,0.306591,0.202919,0.387488,0.158399,0.251194
18,12,1318.32,12,1484.99,2,2,13,217.231,0.184622,0.19747,0.299222,0.318686,0.219559,0.337258,0.171379,0.271804
19,11,1418.09,11,1418.09,1,0,33,217.123,0.181504,0.194137,0.311021,0.313337,0.215051,0.330362,0.188353,0.266234
20,11,1418.09,11,1418.09,1,0,13,217.014,0.161247,0.284018,0.276338,0.278397,0.309446,0.290646,0.165691,0.234217
21,11,1418.09,11,1418.09,0,0,0,216.906,0.158968,0.294078,0.272462,0.274492,0.319436,0.286453,0.163282,0.230829
22,11,1418.09,11,1418.09,3,2,0,216.797,0.13971,0.300815,0.278699,0.280776,0.274468,0.305393,0.174059,0.24608
23,11,1418.09,11,1418.09,3,0,0,216.689,0.147409,0.317442,0.294099,0.241051,0.28161,0.313347,0.152565,0.252478
24,11,1418.09,11,1448.17,1,1,9,216.581,0.153671,0.330978,0.306635,0.208715,0.24242,0.330456,0.160872,0.266253
25,11,1418.09,11,1448.17,0,0,0,216.472,0.155295,0.323856,0.309917,0.210933,0.245031,0.323252,0.162591,0.269126
26,11,1418.09,11,1448.17,3,2,0,216.364,0.137883,0.33054,0.31631,0.215267,0.21237,0.337251,0.169609,0.28077
27,11,1418.09,11,1448.17,2,3,0,216.256,0.142663,0.342057,0.327328,0.187952,0.217317,0.345139,0.150217,0.287327
28,11,1418.09,11,1448.17,2,3,0,216.148,0.152005,0.36452,0.283204,0.200271,0.228956,0.363658,0.158251,0.249135
29,11,1418.09,11,1448.17,1,3,0,216.04,0.159725,0.383102,0.246718,0.210455,0.23851,0.378868,0.164842,0.217781
30,11,1418.09,11,1437.13,0,1,13,215.932,0.172373,0.33422,0.266276,0.227131,0.246341,0.391343,0.170242,0.192074
31,11,1418.09,11,1437.13,3,1,0,215.824,0.190029,0.327101,0.260593,0.222277,0.241657,0.402937,0.166992,0.188413
32,11,1418.09,11,1437.13,2,3,0,215.716,0.196861,0.338898,0.269979,0.194263,0.262022,0.352646,0.181052,0.204281
33,11,1418.09,11,1437.13,0,1,0,215.608,0.206304,0.355193,0.234922,0.203581,0.269963,0.363355,0.186525,0.180157
34,11,1418.09,11,1437.13,1,2,0,215.5,0.18215,0.366022,0.242064,0.209764,0.289932,0.316295,0.200307,0.193467
35,11,1418.09,11,1437.36,3,1,9,215.392,0.195633,0.319071,0.259998,0.225298,0.298802,0.325977,0.175852,0.199369
36,11,1418.09,11,1437.36,1,0,0,215.285,0.195118,0.318263,0.259328,0.22729,0.301207,0.320588,0.177248,0.200958
37,11,1418.09,11,1437.36,1,0,0,215.177,0.207325,0.275591,0.275567,0.241517,0.26099,0.339057,0.187437,0.212515
38,11,1261.63,11,1261.63,2,1,33,215.069,0.218253,0.237381,0.29011,0.254256,0.227894,0.354262,0.19582,0.222025
39,11,1223.78,11,1223.78,2,1,33,214.962,0.186297,0.202628,0.39404,0.217035,0.188857,0.464877,0.162273,0.183993
40,11,1223.78,11,1223.78,2,3,0,214.854,0.151795,0.165104,0.506255,0.176846,0.149337,0.576861,0.128312,0.14549
41,11,1223.78,11,1223.78,2,1,0,214.747,0.168576,0.183359,0.451663,0.196402,0.151129,0.583941,0.129847,0.135082
42,11,1223.78,11,1223.78,0,0,0,214.64,0.184689,0.200889,0.39924,0.215181,0.171165,0.528792,0.147057,0.152987
43,11,1223.78,11,1223.78,2,0,0,214.532,0.165415,0.205623,0.408706,0.220256,0.156535,0.538175,0.149628,0.155663
44,11,1223.78,11,1223.78,0,3,0,214.425,0.17932,0.222919,0.358974,0.238786,0.144247,0.546065,0.151783,0.157906
45,11,1223.78,11,1223.78,2,0,0,214.318,0.160017,0.228152,0.367436,0.244395,0.14633,0.554098,0.153976,0.145596
46,11,1223.78,11,1223.78,2,1,0,214.211,0.171779,0.24494,0.3209,0.262381,0.135832,0.560963,0.155844,0.14736
47,11,1202.72,11,1202.72,0,2,33,214.104,0.182498,0.260242,0.278483,0.278777,0.152709,0.506408,0.175211,0.165672
48,11,1197.96,11,1197.96,0,1,33,213.996,0.271052,0.23205,0.248318,0.24858,0.135046,0.447943,0.2705,0.146512
49,11,1184.26,11,1184.26,2,2,33,213.889,0.372156,0.199863,0.213877,0.214103,0.107559,0.560276,0.215472,0.116693
50,11,1184.26,11,1184.26,1,1,0,213.783,0.325573,0.174824,0.312319,0.187283,0.0932306,0.4858,0.319819,0.10115
51,11,1184.26,11,1226.48,0,1,9,213.676,0.333581,0.154552,0.319998,0.191868,0.103301,0.430172,0.354451,0.112077
52,11,1184.26,11,1226.48,1,3,0,213.569,0.327451,0.155961,0.322963,0.193626,0.10497,0.42087,0.360269,0.11389
53,11,1184.26,11,1185.99,3,1,13,213.462,0.334042,0.138993,0.329462,0.197503,0.105972,0.425003,0.363796,0.105229
54,11,1158.62,11,1158.62,0,1,33,213.355,0.326825,0.135967,0.322344,0.214864,0.103988,0.435681,0.357073,0.103258
55,11,1141.93,11,1141.93,0,1,33,213.249,0.434271,0.114252,0.270911,0.180565,0.083468,0.546966,0.286683,0.0828826
56,11,1141.93,11,1141.93,1,1,0,213.142,0.546046,0.0916684,0.217398,0.144887,0.0641504,0.651761,0.220388,0.0637004
57,11,1136.88,11,1136.88,2,1,33,213.035,0.54851,0.0876498,0.218339,0.145502,0.074403,0.596042,0.255674,0.073881
58,11,1134.05,11,1134.05,0,1,33,212.929,0.475588,0.0759693,0.322318,0.126125,0.0561685,0.694995,0.193062,0.0557743
59,11,1134.05,11,1172.33,2,2,9,212.822,0.584851,0.0601286,0.255184,0.0998359,0.0410166,0.777238,0.141017,0.0407286
60,11,1134.05,11,1161.85,0,1,13,212.716,0.580596,0.0596639,0.260666,0.0990745,0.0403837,0.765696,0.153821,0.0401001
61,11,1134.05,11,1152.3,3,2,13,212.61,0.587153,0.058719,0.256613,0.0975152,0.03998,0.767997,0.152324,0.0396992
62,11,1134.05,11,1152.3,2,1,0,212.503,0.57442,0.0574191,0.251006,0.117155,0.038836,0.746463,0.176138,0.0385632
63,11,1134.05,11,1442.09,1,1,9,212.397,0.595861,0.059535,0.223114,0.121489,0.0465296,0.696172,0.211096,0.0462027
64,11,1134.05,11,1442.09,3,0,0,212.291,0.589196,0.070136,0.220575,0.120092,0.0486001,0.682585,0.220556,0.0482586
65,11,1134.05,11,1263.44,0,1,13,212.185,0.594626,0.0707521,0.222564,0.112058,0.0494838,0.682005,0.220319,0.0481921
66,11,1134.05,11,1228.75,0,1,13,212.079,0.600998,0.0696293,0.219082,0.11029,0.04884,0.686078,0.217518,0.0475649
67,11,1134.05,11,1228.75,0,1,9,211.973,0.607214,0.0685342,0.215686,0.108566,0.048213,0.690044,0.214789,0.0469539
68,11,1134.05,11,1218.84,0,1,13,211.867,0.593875,0.0708509,0.223028,0.112246,0.0503223,0.676417,0.224253,0.0490079
69,11,1134.05,11,1189.24,0,1,13,211.761,0.600274,0.069724,0.219531,0.110471,0.0496546,0.680644,0.221344,0.0483574
70,11,1134.05,11,1185.78,0,1,13,211.655,0.606516,0.0686248,0.21612,0.108739,0.0490043,0.684762,0.21851,0.0477238
71,11,1134.05,11,1204.48,3,1,9,211.549,0.612603,0.067553,0.212793,0.107051,0.0483709,0.688772,0.215751,0.0471068
72,11,1134.05,11,1200.58,0,2,13,211.443,0.60456,0.0666367,0.209955,0.118848,0.0504799,0.675135,0.225225,0.0491604
73,11,1134.05,11,1179.57,3,1,13,211.337,0.610541,0.0656187,0.206795,0.117046,0.0489409,0.654892,0.248505,0.0476614
74,11,1134.05,11,1144.7,2,1,13,211.232,0.596055,0.0640332,0.201845,0.138067,0.0483061,0.659289,0.245362,0.0470429
75,11,1124.43,11,1124.43,2,2,33,211.126,0.579535,0.0622308,0.224033,0.134201,0.0476873,0.663575,0.242298,0.0464401
76,11,1124.43,11,1124.43,2,1,0,211.021,0.501876,0.0538676,0.328072,0.116184,0.0408306,0.568462,0.350945,0.0397625
77,11,1112.43,11,1112.43,3,2,33,210.915,0.533228,0.0572071,0.286159,0.123406,0.0465777,0.507549,0.400514,0.045359
78,11,1112.43,11,1112.43,3,3,0,210.81,0.486427,0.0521628,0.261011,0.2004,0.0378603,0.412754,0.512516,0.0368695
79,11,1112.43,11,1121.12,0,2,9,210.704,0.500538,0.0536521,0.26855,0.17726,0.0378171,0.412481,0.512199,0.0375027
80,11,1112.43,11,1121.12,3,1,0,210.599,0.48635,0.055162,0.276196,0.182292,0.0390048,0.425638,0.496676,0.0386804
81,11,1112.43,11,1121.12,2,1,0,210.494,0.498309,0.0564937,0.282955,0.162242,0.0426995,0.370956,0.544,0.0423443
