iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,13,1425.75,13,1425.75,1,1,33,231.277,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,11,1215.66,11,1215.66,3,1,33,231.162,0.21814,0.345581,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814
2,11,1095.46,11,1095.46,2,1,33,231.046,0.191272,0.303045,0.191272,0.31441,0.182242,0.453275,0.182242,0.182242
3,9,978.311,9,978.311,2,1,33,230.931,0.170148,0.269601,0.280538,0.279713,0.145549,0.563354,0.145549,0.145549
4,8,927.43,8,927.43,3,1,33,230.815,0.146718,0.232498,0.379564,0.24122,0.111467,0.6656,0.111467,0.111467
5,7,874.451,7,874.451,0,0,33,230.7,0.127426,0.201945,0.329718,0.340911,0.0824112,0.752766,0.0824112,0.0824112
6,7,868.029,7,868.029,3,0,33,230.584,0.200242,0.185079,0.302209,0.31247,0.14519,0.70132,0.0767451,0.0767451
7,6,789.366,6,789.366,2,1,33,230.469,0.170675,0.157749,0.257608,0.413969,0.231624,0.630456,0.06896,0.06896
8,6,782.237,6,782.237,3,1,33,230.354,0.147302,0.136144,0.359212,0.357342,0.174698,0.721303,0.0519993,0.0519993
9,6,723.388,6,723.388,2,1,33,230.239,0.123405,0.114056,0.300991,0.461548,0.128085,0.795683,0.0381156,0.0381156
10,6,723.011,6,723.011,3,1,33,230.124,0.104659,0.0967283,0.407073,0.391539,0.0920209,0.853225,0.0273769,0.0273769
11,6,723.011,6,723.011,3,1,13,230.009,0.0865824,0.0800199,0.336854,0.496544,0.0652486,0.895937,0.0194072,0.0194072
12,6,715.511,6,715.511,2,1,33,229.894,0.0859403,0.0794252,0.334447,0.500188,0.06619,0.894445,0.0196825,0.0196825
13,6,711.074,6,711.074,3,1,33,229.779,0.0720226,0.0665616,0.442083,0.419332,0.0465954,0.9257,0.0138524,0.0138524
14,6,711.074,6,711.074,3,1,13,229.664,0.059087,0.054606,0.362815,0.523492,0.0326986,0.947864,0.00971866,0.00971866
15,6,707.399,6,707.399,3,1,33,229.549,0.0588885,0.0544216,0.361727,0.524963,0.0336657,0.946327,0.0100037,0.0100037
16,6,707.211,6,707.211,3,1,33,229.434,0.0465856,0.0430513,0.28626,0.624104,0.0236209,0.962345,0.00701718,0.00701718
17,5,684.143,5,684.143,3,1,33,229.319,0.0356578,0.032952,0.21919,0.7122,0.0166069,0.973529,0.00493229,0.00493229
18,5,683.862,5,683.862,3,1,33,229.205,0.0265823,0.0245648,0.163462,0.785391,0.011717,0.981325,0.00347915,0.00347915
19,5,683.65,5,683.65,2,1,33,229.09,0.0194372,0.0179617,0.119568,0.843033,0.00830452,0.986765,0.00246527,0.00246527
20,5,683.65,5,683.65,3,1,13,228.976,0.0177869,0.0164365,0.193735,0.772041,0.00591634,0.990572,0.00175589,0.00175589
21,5,683.65,5,683.65,3,1,13,228.861,0.0181342,0.0167571,0.197612,0.767497,0.00631253,0.989941,0.00187302,0.00187302
22,5,683.65,5,683.65,3,1,13,228.747,0.0184789,0.0170753,0.201464,0.762982,0.00672628,0.989283,0.0019953,0.0019953
23,5,682.788,5,682.788,3,1,33,228.632,0.0188208,0.017391,0.20529,0.758498,0.00715779,0.988597,0.00212279,0.00212279
24,5,682.788,5,682.788,3,1,13,228.518,0.0139545,0.0128941,0.152283,0.820869,0.00510997,0.99186,0.0015151,0.0015151
25,5,682.788,5,682.788,3,1,13,228.404,0.0143146,0.0132267,0.156287,0.816171,0.00546832,0.99129,0.00162095,0.00162095
26,5,681.967,5,681.967,3,1,33,228.29,0.0146743,0.0135589,0.160292,0.811475,0.00584368,0.990693,0.0017318,0.0017318
27,5,681.967,5,681.967,3,1,13,228.175,0.0107427,0.00992596,0.117402,0.86193,0.00418505,0.993335,0.00123995,0.00123995
28,5,681.967,5,681.967,3,1,13,228.061,0.0110925,0.010249,0.121282,0.857376,0.00449666,0.992839,0.00133195,0.00133195
29,5,681.967,5,681.967,3,1,13,227.947,0.0114443,0.0105739,0.125189,0.852793,0.00482439,0.992318,0.00142868,0.00142868
30,5,681.967,5,682.07,3,1,9,227.833,0.0117979,0.0109004,0.129119,0.848183,0.00516858,0.991771,0.00153024,0.00153024
31,5,681.967,5,682.07,3,1,9,227.719,0.0130013,0.012012,0.142357,0.83263,0.00598863,0.990466,0.00177259,0.00177259
32,5,681.967,5,682.07,3,1,9,227.606,0.0142739,0.0131876,0.156366,0.816173,0.00691724,0.988989,0.00204696,0.00204696
33,5,681.967,5,682.07,2,1,0,227.492,0.0156127,0.0144243,0.171114,0.798849,0.00796534,0.987322,0.00235654,0.00235654
34,5,681.967,5,682.07,3,1,9,227.378,0.0159505,0.0147362,0.152536,0.816777,0.0109298,0.982605,0.00323278,0.00323278
35,5,681.967,5,681.967,3,1,13,227.264,0.0174176,0.0160914,0.166642,0.799849,0.0124611,0.980169,0.00368481,0.00368481
36,5,681.967,5,681.967,3,1,13,227.151,0.0177842,0.0164298,0.170226,0.79556,0.0130916,0.979168,0.00387032,0.00387032
37,5,681.967,5,681.967,3,1,13,227.037,0.0181488,0.0167664,0.173794,0.79129,0.0137399,0.978138,0.00406097,0.00406097
38,5,681.967,5,681.967,3,1,13,226.924,0.0185113,0.017101,0.177346,0.787042,0.0144056,0.977081,0.0042567,0.0042567
39,5,681.967,5,689.617,2,1,9,226.81,0.0188715,0.0174334,0.180878,0.782818,0.0150886,0.975997,0.00445741,0.00445741
40,5,681.967,5,689.617,3,1,9,226.697,0.0187173,0.0172907,0.186992,0.777,0.0170784,0.972834,0.00504403,0.00504403
41,5,681.967,5,689.617,3,1,9,226.583,0.0202838,0.0187375,0.202736,0.758243,0.0192756,0.969341,0.00569154,0.00569154
42,5,681.967,5,689.617,3,1,9,226.47,0.0219035,0.0202334,0.219025,0.738838,0.0216937,0.965498,0.006404,0.006404
