iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,8,1191.77,8,1191.77,0,3,33,199.237,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,8,1164.17,8,1164.17,0,1,33,199.137,0.345581,0.21814,0.21814,0.21814,0.21814,0.21814,0.21814,0.345581
2,0,8,1041.52,8,1041.52,3,1,33,199.038,0.453275,0.182242,0.182242,0.182242,0.191272,0.31441,0.191272,0.303045
3,0,8,1037.51,8,1037.51,3,1,33,198.938,0.401754,0.161498,0.161498,0.275249,0.162243,0.418438,0.162243,0.257076
4,0,8,1029.29,8,1029.29,3,2,33,198.839,0.343537,0.138071,0.138071,0.380322,0.131654,0.528064,0.131654,0.208627
5,0,8,1002.54,8,1002.54,0,1,33,198.739,0.283849,0.114061,0.114061,0.48803,0.119503,0.479457,0.211652,0.189388
6,0,8,955.556,8,955.556,3,1,33,198.64,0.391792,0.0968495,0.0968495,0.414509,0.0948527,0.586797,0.168014,0.150337
7,0,8,942.632,8,942.632,3,1,33,198.541,0.320184,0.0791262,0.0791262,0.521564,0.0723848,0.684648,0.128231,0.114737
8,0,5,1014.06,5,1014.06,1,1,33,198.441,0.251191,0.0620587,0.0620587,0.624692,0.0534808,0.766987,0.0947527,0.0847799
9,0,5,998.361,5,998.361,0,3,33,198.342,0.237789,0.112008,0.0587313,0.591471,0.0385716,0.831932,0.0683457,0.0611509
10,0,5,987.148,5,987.148,3,1,33,198.243,0.340947,0.096825,0.0507634,0.511465,0.0364653,0.786986,0.0646209,0.111928
11,0,4,1063.38,4,1063.38,1,1,33,198.144,0.269961,0.0766466,0.0401791,0.613213,0.026285,0.846431,0.0465856,0.0806987
12,0,3,1140.34,3,1140.34,1,1,33,198.045,0.253458,0.133014,0.0377085,0.57582,0.0186857,0.890813,0.033121,0.0573806
13,0,3,1108.27,3,1108.27,3,1,33,197.946,0.230767,0.210559,0.0343195,0.524355,0.0131783,0.922983,0.0233615,0.0404773
14,0,3,1042.49,3,1042.49,3,1,33,197.847,0.182669,0.16667,0.0271561,0.623504,0.00926194,0.945863,0.0164208,0.0284546
15,0,3,1042.49,3,1196.32,1,1,9,197.748,0.139906,0.12765,0.0207909,0.711653,0.00650791,0.961955,0.0115394,0.0199981
16,0,3,1042.49,3,1210.26,3,1,9,197.649,0.138383,0.136928,0.0205567,0.704133,0.00729522,0.957345,0.0129369,0.0224225
17,0,3,1042.49,3,1218.76,3,1,9,197.55,0.147355,0.145805,0.0218812,0.684958,0.00815474,0.952313,0.0144628,0.0250699
18,0,3,1042.49,3,1116.2,3,1,13,197.451,0.156448,0.154802,0.0232225,0.665528,0.00909,0.946835,0.0161234,0.0279515
19,0,3,1021.41,3,1021.41,3,1,33,197.353,0.157138,0.155484,0.023316,0.664062,0.00936736,0.945205,0.0166172,0.0288108
20,0,3,1021.41,3,1021.41,0,1,0,197.254,0.118883,0.117632,0.0176331,0.745852,0.00657892,0.96151,0.011672,0.020239
21,0,3,973.529,3,973.529,3,1,33,197.155,0.109542,0.118843,0.0178078,0.753808,0.00875886,0.948748,0.0155413,0.0269514
22,0,3,922.845,3,922.845,3,1,33,197.057,0.0807381,0.0875946,0.0131205,0.818547,0.00615193,0.963997,0.010917,0.018934
23,0,3,892.353,3,892.353,3,1,33,196.958,0.0585789,0.0635547,0.00951604,0.86835,0.00433071,0.974652,0.00768599,0.0133318
24,0,3,889.852,3,889.852,3,1,33,196.86,0.0420859,0.0456615,0.0068343,0.905418,0.0030599,0.982087,0.00543123,0.0094218
25,0,3,889.852,3,902.272,3,1,9,196.761,0.0300813,0.0326375,0.00488311,0.932398,0.002172,0.987283,0.00385567,0.00668935
26,0,3,889.852,3,901.893,3,1,13,196.663,0.0337663,0.0366362,0.00547929,0.924118,0.0024968,0.985379,0.00443275,0.00769139
27,0,3,887.037,3,887.037,3,1,33,196.565,0.0350873,0.0380701,0.00569158,0.921151,0.00264374,0.984516,0.00469418,0.00814589
28,0,3,885.355,3,885.355,3,1,33,196.466,0.0250423,0.0271716,0.00406068,0.943725,0.00188021,0.988986,0.00333884,0.00579459
29,0,3,874.595,3,874.595,3,1,33,196.368,0.0178694,0.0193892,0.00289653,0.959845,0.0013444,0.992124,0.00238764,0.00414424
30,0,3,874.595,3,1109.65,1,1,9,196.27,0.0127748,0.0138614,0.00206996,0.971294,0.000966757,0.994335,0.00171714,0.00298078
31,0,3,874.595,3,1087.42,3,1,13,196.172,0.0127067,0.0182772,0.00205819,0.966958,0.00113055,0.993375,0.00200831,0.0034866
32,0,3,874.595,3,1076.56,3,1,13,196.074,0.0134886,0.0194032,0.00218404,0.964924,0.00121659,0.992869,0.00216139,0.00375278
33,0,3,874.595,3,1035.19,3,1,13,195.976,0.0142998,0.0205716,0.00231454,0.962814,0.00130721,0.992337,0.00232266,0.00403322
34,0,3,874.595,3,1066.68,3,1,9,195.878,0.0151403,0.0217823,0.00244968,0.960628,0.00140251,0.991777,0.00249227,0.00432823
35,0,3,874.595,3,1057.69,3,1,13,195.78,0.0172926,0.0248807,0.00279692,0.95503,0.00162745,0.990457,0.00289232,0.00502352
36,0,3,874.595,3,1057.69,3,1,0,195.682,0.0182319,0.026234,0.00294775,0.952586,0.00173826,0.989805,0.00308962,0.0053668
37,0,3,874.595,3,1037.03,3,1,13,195.584,0.0245808,0.0353721,0.00397281,0.936074,0.00240147,0.985914,0.0042689,0.00741609
38,0,3,874.595,3,1037.03,3,1,0,195.486,0.0257105,0.0370005,0.00415388,0.933135,0.00254451,0.985072,0.0045237,0.0078596
39,0,3,874.595,3,1037.03,3,1,0,195.389,0.0341965,0.0492164,0.00552289,0.911064,0.00348304,0.979563,0.00619295,0.010761
40,0,3,874.595,3,1016.9,3,1,13,195.291,0.0448896,0.0646109,0.00724723,0.883252,0.00472891,0.972249,0.00840911,0.0146135
41,0,3,874.595,3,1016.9,3,1,0,195.193,0.0462955,0.0666392,0.00747148,0.879594,0.00494015,0.971004,0.00878575,0.0152697
42,0,3,874.595,3,1011.44,3,1,13,195.096,0.0597884,0.0860677,0.00964554,0.844498,0.0066414,0.961013,0.0118127,0.0205328
43,0,3,874.595,3,1011.44,3,1,0,194.998,0.061237,0.0881594,0.00987563,0.840728,0.00688818,0.959558,0.012253,0.0213005
44,0,3,874.595,3,1011.44,3,0,0,194.901,0.0776853,0.111847,0.0125237,0.797944,0.00916423,0.946187,0.0163037,0.0283452
45,0,3,874.595,3,1011.44,3,1,0,194.803,0.0968094,0.139391,0.015601,0.748198,0.0108262,0.944631,0.0162636,0.0282788
46,0,3,874.595,3,994.871,3,1,13,194.706,0.11836,0.170433,0.0190668,0.692141,0.014253,0.927097,0.0214133,0.0372369
47,0,3,874.595,3,985.929,3,1,13,194.608,0.119256,0.171737,0.0192043,0.689803,0.0145936,0.925346,0.0219267,0.038134
48,0,3,874.595,3,964.473,3,1,13,194.511,0.120138,0.17302,0.0193393,0.687503,0.0149345,0.923593,0.0224407,0.0390322
49,0,3,874.595,3,943.804,3,1,13,194.414,0.121006,0.174282,0.0194718,0.68524,0.0152755,0.921838,0.022955,0.0399312
50,0,3,874.595,3,897.462,3,0,13,194.317,0.121859,0.175524,0.019602,0.683015,0.0156165,0.920084,0.0234694,0.0408305
51,0,3,874.595,3,883.059,0,1,13,194.219,0.122699,0.176745,0.0197298,0.680826,0.02273,0.913474,0.0232837,0.0405119
52,0,3,874.595,3,880.271,3,1,13,194.122,0.141097,0.173004,0.0193037,0.666595,0.0232243,0.911588,0.0237901,0.0413976
53,0,3,872.264,3,872.264,3,1,33,194.025,0.14203,0.174155,0.0194236,0.664391,0.0237179,0.909704,0.0242959,0.0422824
54,0,3,862.306,3,862.306,3,1,33,193.928,0.107479,0.131795,0.0146927,0.746034,0.0166696,0.936534,0.0170759,0.0297207
55,0,3,848.265,3,848.265,3,1,33,193.831,0.0794699,0.0974531,0.0108594,0.812218,0.0116973,0.955462,0.0119824,0.0208578
56,0,3,848.265,3,873.201,3,1,9,193.734,0.0578095,0.0708941,0.00789644,0.8634,0.00821702,0.968712,0.00841738,0.0146538
57,0,3,848.265,3,893.676,0,1,9,193.638,0.063717,0.0781419,0.0086999,0.849441,0.00927925,0.964665,0.00950555,0.01655
58,0,3,848.265,3,891.243,3,1,13,193.541,0.0730505,0.0773297,0.0086057,0.841014,0.0104482,0.960212,0.010703,0.018637
59,0,3,848.265,3,873.243,3,1,13,193.444,0.0749416,0.0793325,0.0088247,0.836901,0.0108558,0.958657,0.0111206,0.0193663
60,0,3,848.265,3,873.243,1,1,0,193.347,0.0768331,0.0813358,0.00904357,0.832788,0.0112699,0.957078,0.011545,0.0201075
61,0,3,848.265,3,854.815,3,1,13,193.251,0.0771698,0.0769155,0.00907931,0.836835,0.0150089,0.942834,0.0153752,0.0267815
62,0,3,848.265,3,852.158,3,1,13,193.154,0.0790787,0.0788181,0.00929991,0.832803,0.0154729,0.941064,0.0158506,0.0276126
63,0,3,848.265,3,852.12,3,1,13,193.057,0.080986,0.0807191,0.00952014,0.828775,0.0159405,0.939279,0.0163298,0.0284505
64,0,3,848.265,3,852.12,1,1,0,192.961,0.0828905,0.0826173,0.00973986,0.824752,0.0164116,0.937481,0.0168124,0.0292946
65,0,3,848.265,3,856.202,0,1,9,192.864,0.0832682,0.0780606,0.00978005,0.828891,0.0215564,0.917878,0.022083,0.0384825
66,0,3,848.265,3,856.385,3,1,9,192.768,0.0929287,0.0772053,0.00966888,0.820197,0.023741,0.90955,0.0243211,0.0423875
67,0,3,848.265,3,855.438,3,1,13,192.672,0.101502,0.0843247,0.0105561,0.803617,0.0260741,0.900656,0.0267113,0.0465582
68,0,3,848.265,3,853.733,3,1,13,192.575,0.103593,0.0860587,0.0107687,0.79958,0.0265574,0.898809,0.0272066,0.0474269
69,0,3,848.265,3,853.733,1,3,0,192.479,0.105674,0.087784,0.01098,0.795562,0.0270387,0.89697,0.0276997,0.0482919
70,0,3,848.265,3,853.733,3,1,9,192.383,0.106254,0.0824574,0.0110353,0.800253,0.0270107,0.89667,0.0276712,0.048648
71,0,3,848.265,3,853.733,1,1,0,192.286,0.115517,0.0896416,0.0119919,0.782849,0.02955,0.88695,0.0302727,0.0532277
72,0,3,848.265,3,853.733,3,3,0,192.19,0.116185,0.0840824,0.0120558,0.787677,0.0377645,0.855515,0.0386883,0.0680323
73,0,3,845.012,3,845.012,0,1,33,192.094,0.144515,0.104578,0.0149886,0.735919,0.0378031,0.856924,0.038728,0.066545
74,0,3,836.512,3,836.512,3,1,33,191.998,0.226746,0.0944944,0.0135382,0.665222,0.0267397,0.898791,0.027394,0.0470753
75,0,3,832.542,3,832.542,3,1,33,191.902,0.172228,0.0717618,0.0102773,0.745733,0.0187815,0.928909,0.0192412,0.0330687
76,0,3,832.542,3,832.542,0,1,9,191.806,0.127907,0.0532856,0.00762825,0.811179,0.0131558,0.9502,0.0134778,0.023166
77,0,3,832.542,3,840.228,3,1,9,191.71,0.136011,0.0527639,0.00755063,0.803675,0.0146864,0.944403,0.015046,0.0258643
78,0,3,832.542,3,840.228,3,1,9,191.614,0.148828,0.0577253,0.00825742,0.785189,0.0163483,0.938109,0.0167487,0.0287942
79,0,3,832.542,3,840.228,3,0,0,191.519,0.162225,0.0629094,0.00899548,0.76587,0.0181464,0.931298,0.018591,0.0319649
80,0,3,832.542,3,838.216,3,1,13,191.423,0.201236,0.0780226,0.0111522,0.70959,0.020017,0.929558,0.0185417,0.0318837
