iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
43,0,4,1065.79,4,1136.62,3,0,13,216.421,0.106657,0.0407211,0.0119289,0.840693,0.983154,0.00561547,0.00561547,0.00561547
44,0,4,1065.79,4,1136.62,3,0,0,216.313,0.108845,0.0415483,0.0121682,0.837439,0.982448,0.00585075,0.00585075,0.00585075
45,0,4,1065.79,4,1136.62,3,0,0,216.204,0.13749,0.0524727,0.0153638,0.794673,0.976376,0.00787461,0.00787461,0.00787461
46,0,4,1065.79,4,1127.13,2,0,13,216.096,0.170657,0.0651182,0.0190617,0.745163,0.968455,0.010515,0.010515,0.010515
47,0,4,1065.79,4,1127.13,3,0,0,215.988,0.169254,0.0645704,0.0269205,0.739255,0.967557,0.0108144,0.0108144,0.0108144
48,0,4,1065.79,4,1110.46,3,0,13,215.88,0.205842,0.0785138,0.032728,0.682916,0.957072,0.0143093,0.0143093,0.0143093
49,0,4,1065.79,4,1110.46,3,0,0,215.772,0.206837,0.0788779,0.032874,0.681411,0.956132,0.0146227,0.0146227,0.0146227
50,0,4,1065.79,4,1103.86,3,0,13,215.664,0.246528,0.0939962,0.039168,0.620308,0.942509,0.0191638,0.0191638,0.0191638
51,0,4,1065.79,4,1103.86,1,0,0,215.557,0.246772,0.094071,0.0391923,0.619965,0.941606,0.0194646,0.0194646,0.0194646
52,0,4,1065.79,4,1199.63,1,0,9,215.449,0.248458,0.0877817,0.0394455,0.624315,0.924245,0.0252517,0.0252517,0.0252517
53,0,4,1065.79,4,1156.96,0,0,13,215.341,0.24584,0.0972931,0.0390155,0.617851,0.917584,0.0274721,0.0274721,0.0274721
54,0,4,1065.79,4,1128.37,3,1,13,215.233,0.262978,0.0950543,0.0381108,0.603857,0.916913,0.0276956,0.0276956,0.0276956
55,0,4,1065.79,4,1140.38,3,0,9,215.126,0.263229,0.0951258,0.0381325,0.603512,0.906779,0.0384807,0.0273703,0.0273703
56,0,4,1065.79,4,1102.11,3,0,13,215.018,0.276434,0.0998773,0.0400299,0.583659,0.898926,0.0417239,0.0296751,0.0296751
57,0,4,1065.79,4,1160.53,0,0,9,214.911,0.276421,0.0998523,0.0400126,0.583714,0.898298,0.0419847,0.0298585,0.0298585
58,0,4,1065.79,4,1131.09,3,0,13,214.803,0.275173,0.0999971,0.0400632,0.584767,0.890004,0.0454105,0.0322927,0.0322927
59,0,4,1065.79,4,1171.57,3,0,9,214.696,0.27516,0.0999721,0.0400459,0.584822,0.889514,0.0456146,0.0324356,0.0324356
60,0,4,1065.79,4,1138.83,3,0,13,214.589,0.288259,0.10471,0.0419362,0.565095,0.880791,0.0492181,0.0349956,0.0349956
61,0,4,1065.79,4,1119.09,3,0,13,214.481,0.287985,0.10459,0.0418802,0.565545,0.880457,0.0493577,0.0350924,0.0350924
62,0,4,1065.79,4,1112.87,3,0,13,214.374,0.287717,0.104471,0.041825,0.565987,0.880131,0.0494944,0.0351872,0.0351872
63,0,4,1065.79,4,1121.26,3,0,9,214.267,0.287453,0.104354,0.0417706,0.566422,0.879812,0.0496283,0.03528,0.03528
64,0,4,1065.79,4,1121.26,1,1,0,214.16,0.300451,0.109051,0.0436425,0.546856,0.870644,0.053416,0.03797,0.03797
65,0,4,1065.79,4,1099.43,0,2,13,214.053,0.303563,0.0997723,0.0440776,0.552587,0.870062,0.0540966,0.0379208,0.0379208
66,0,4,1065.79,4,1138.61,0,0,9,213.946,0.317041,0.0978158,0.0432062,0.541937,0.858242,0.0533321,0.051044,0.0373822
67,0,4,1065.79,4,1100.53,3,0,13,213.839,0.311788,0.0985425,0.0435201,0.54615,0.847921,0.0572163,0.0547612,0.040102
68,0,4,1065.79,4,1102.48,0,0,9,213.732,0.311251,0.0983504,0.0434281,0.54697,0.847965,0.0572009,0.0547459,0.0400884
69,0,4,1065.79,4,1096.06,0,2,13,213.625,0.306618,0.0989861,0.0437017,0.550695,0.837258,0.0612307,0.0586022,0.0429095
70,0,4,1065.79,4,1090.63,0,2,13,213.518,0.319864,0.0970696,0.0428485,0.540218,0.822561,0.0601244,0.0751836,0.0421312
71,0,4,1065.79,4,1090.63,3,0,0,213.411,0.332044,0.0953062,0.0420632,0.530586,0.806148,0.0588939,0.0936918,0.0412661
72,0,4,1065.79,4,1089.33,0,2,13,213.305,0.378086,0.108494,0.0478759,0.465544,0.761934,0.0723246,0.115069,0.0506731
73,0,4,1065.79,4,1089.33,2,0,0,213.198,0.384958,0.107273,0.0473294,0.46044,0.743521,0.0705436,0.136513,0.0494218
