iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,20,2325.08,20,2325.08,1,3,33,391.158,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,20,2325.08,20,2325.08,1,3,0,390.962,0.21814,0.345581,0.21814,0.21814,0.21814,0.21814,0.21814,0.345581
2,20,2325.08,20,2325.08,3,1,0,390.767,0.233362,0.299913,0.233362,0.233362,0.233362,0.233362,0.233362,0.299913
3,20,2278.56,20,2278.56,3,3,33,390.571,0.24269,0.311917,0.24269,0.202703,0.24269,0.202703,0.24269,0.311917
4,18,2200.21,18,2200.21,1,0,33,390.376,0.214583,0.275806,0.214583,0.295029,0.205686,0.17179,0.205686,0.416839
5,18,2200.21,18,2200.21,2,0,0,390.181,0.184747,0.376482,0.184747,0.254024,0.302754,0.150781,0.180538,0.365927
6,17,2069.52,17,2069.52,0,1,33,389.986,0.189405,0.386028,0.164122,0.260445,0.263162,0.159326,0.190777,0.386734
7,17,2069.52,17,2069.52,0,1,0,389.791,0.281639,0.342124,0.145431,0.230806,0.236495,0.2445,0.171434,0.347571
8,17,2069.52,17,2069.52,3,2,0,389.596,0.243897,0.360121,0.153055,0.242927,0.246377,0.212913,0.178586,0.362124
9,17,2069.52,17,2118.64,1,2,9,389.401,0.253804,0.374778,0.159257,0.212161,0.252412,0.218121,0.158445,0.371022
10,17,2069.52,17,2116.91,1,3,13,389.206,0.25705,0.366805,0.161279,0.214867,0.250338,0.216323,0.165337,0.368002
11,17,2069.52,17,2086.82,2,2,13,389.012,0.252632,0.37771,0.158492,0.211166,0.246074,0.212632,0.162507,0.378786
12,17,2069.52,17,2086.82,3,3,0,388.817,0.247082,0.369442,0.176956,0.20652,0.240655,0.207943,0.180926,0.370476
13,17,2069.52,17,2086.82,1,3,0,388.623,0.254716,0.380887,0.182411,0.181987,0.259282,0.224032,0.194918,0.321768
14,17,2069.52,17,2126.06,1,3,9,388.428,0.274984,0.331649,0.196912,0.196454,0.276213,0.238655,0.207635,0.277497
15,17,2069.52,17,2126.06,3,0,0,388.234,0.277734,0.324991,0.198868,0.198406,0.278245,0.240403,0.20915,0.272201
16,17,2069.52,17,2138.37,1,2,9,388.04,0.286177,0.334881,0.2049,0.174043,0.238623,0.2536,0.220626,0.287151
17,17,2069.52,17,2138.37,1,0,0,387.846,0.289013,0.328321,0.206916,0.17575,0.238606,0.253585,0.220669,0.287141
18,17,2069.52,17,2127.26,1,3,13,387.652,0.308163,0.283848,0.220612,0.187377,0.206106,0.264409,0.230081,0.299405
