iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,17,1677.37,17,1677.37,1,0,33,244,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,14,1654.99,14,1654.99,1,0,33,243.878,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814,0.21814
2,14,1654.99,14,1669.29,1,3,9,243.756,0.182242,0.453275,0.182242,0.182242,0.453275,0.182242,0.182242,0.182242
3,13,1584.7,13,1584.7,1,0,33,243.634,0.185379,0.443862,0.185379,0.185379,0.448877,0.180441,0.180441,0.190242
4,13,1580.56,13,1580.56,1,3,33,243.512,0.148607,0.55418,0.148607,0.148607,0.559,0.144385,0.144385,0.15223
5,13,1580.56,13,1632.35,1,2,9,243.391,0.114182,0.657454,0.114182,0.114182,0.50132,0.129452,0.129452,0.239777
6,13,1580.56,13,1632.35,0,0,0,243.269,0.118322,0.645033,0.118322,0.118322,0.495452,0.127902,0.139711,0.236935
7,13,1580.56,13,1632.35,1,3,0,243.147,0.111725,0.649919,0.119178,0.119178,0.438967,0.142212,0.155345,0.263476
8,13,1580.56,13,1632.35,1,0,0,243.026,0.129243,0.595024,0.137867,0.137867,0.458059,0.148363,0.162067,0.23151
9,13,1580.56,13,1632.35,1,0,0,242.904,0.147189,0.538786,0.157012,0.157012,0.403504,0.163291,0.178378,0.254827
10,13,1580.56,13,1610.2,0,3,13,242.783,0.165097,0.482668,0.176118,0.176118,0.352231,0.17732,0.193705,0.276744
11,12,1504.88,12,1504.88,2,1,33,242.661,0.186389,0.470399,0.171606,0.171606,0.34527,0.173792,0.189855,0.291084
12,12,1504.88,12,1504.88,2,0,0,242.54,0.165903,0.418776,0.262578,0.152743,0.309022,0.260561,0.169902,0.260515
13,12,1504.88,12,1504.88,2,3,0,242.419,0.173148,0.437144,0.230298,0.15941,0.265242,0.277076,0.180655,0.277027
14,12,1504.88,12,1504.88,1,0,0,242.298,0.179113,0.452286,0.203702,0.164899,0.279991,0.292486,0.190686,0.236837
15,12,1504.88,12,1504.88,2,1,0,242.176,0.196726,0.398423,0.22374,0.181112,0.2403,0.308621,0.201188,0.249891
16,12,1504.88,12,1504.88,1,1,0,242.055,0.203392,0.411982,0.197381,0.187246,0.255283,0.265517,0.213725,0.265475
17,12,1504.88,12,1504.88,2,2,0,241.934,0.221113,0.360755,0.214576,0.203556,0.268607,0.227187,0.224873,0.279333
18,12,1504.88,12,1504.88,3,1,0,241.813,0.228359,0.372615,0.188802,0.210224,0.279223,0.236158,0.194245,0.290375
19,12,1504.88,12,1504.88,1,1,0,241.692,0.235459,0.384237,0.194665,0.18564,0.290899,0.204227,0.202353,0.30252
20,12,1504.88,12,1504.88,2,1,0,241.572,0.254129,0.335429,0.210092,0.20035,0.300373,0.178323,0.208928,0.312375
21,12,1504.88,12,1504.88,3,2,0,241.451,0.262336,0.346281,0.184572,0.206811,0.308076,0.157265,0.21427,0.320388
22,12,1504.88,12,1504.88,1,0,0,241.33,0.270441,0.356999,0.190261,0.182299,0.318571,0.1626,0.187524,0.331305
23,12,1504.88,12,1504.88,1,2,0,241.209,0.28989,0.310786,0.20393,0.195394,0.276197,0.172698,0.199175,0.35193
24,12,1504.88,12,1504.88,2,0,0,241.089,0.307537,0.268862,0.216328,0.207272,0.284088,0.177616,0.176293,0.362003
25,12,1504.88,12,1504.88,0,0,0,240.968,0.318162,0.278144,0.189278,0.214416,0.248407,0.186455,0.185066,0.380072
26,12,1504.88,12,1504.88,2,1,0,240.848,0.275905,0.295393,0.201001,0.227701,0.218955,0.193747,0.192304,0.394994
27,12,1504.88,12,1504.88,3,3,0,240.727,0.284438,0.304533,0.176296,0.234734,0.224475,0.173378,0.197147,0.405
28,12,1504.88,12,1504.88,3,0,0,240.607,0.295525,0.316408,0.18315,0.204916,0.242881,0.187584,0.213307,0.356227
29,12,1504.88,12,1504.88,3,1,0,240.487,0.304585,0.326112,0.188747,0.180557,0.213863,0.194761,0.221473,0.369903
30,12,1504.88,12,1504.88,3,2,0,240.366,0.312005,0.334061,0.193326,0.160608,0.2194,0.173868,0.227209,0.379522
31,12,1504.88,12,1504.88,0,3,0,240.246,0.318107,0.340599,0.197088,0.144206,0.22665,0.179605,0.201639,0.392106
32,12,1504.88,12,1504.88,0,1,0,240.126,0.27771,0.360801,0.208756,0.152733,0.244261,0.193551,0.217302,0.344885
33,12,1504.88,12,1504.88,0,0,0,240.006,0.244171,0.37758,0.21844,0.159809,0.250658,0.172413,0.222988,0.353941
34,12,1504.88,12,1504.88,1,2,0,239.886,0.216412,0.391474,0.226453,0.165661,0.220995,0.179223,0.231808,0.367975
35,12,1504.88,12,1504.88,1,2,0,239.766,0.232965,0.344939,0.243775,0.178321,0.228507,0.185307,0.205665,0.380521
36,12,1504.88,12,1504.88,0,3,0,239.646,0.248229,0.302024,0.259751,0.189996,0.234715,0.190334,0.184052,0.3909
37,12,1504.88,12,1504.88,1,0,0,239.526,0.217384,0.314427,0.270409,0.19778,0.252558,0.204794,0.198034,0.344614
38,12,1504.88,12,1504.88,0,1,0,239.407,0.230047,0.274484,0.286173,0.209296,0.222807,0.212936,0.205906,0.358352
39,12,1504.88,12,1504.88,1,0,0,239.287,0.201683,0.284598,0.296721,0.216997,0.229325,0.18988,0.211926,0.36887
