iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,12,1452.2,12,1452.2,2,1,33,217.179,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,12,1452.2,12,1452.2,3,3,0,217.07,0.21814,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814
2,0,12,1452.2,12,1452.2,2,0,0,216.962,0.225544,0.225544,0.357344,0.191569,0.225544,0.357344,0.225544,0.191569
3,0,12,1452.2,12,1453.18,0,1,9,216.853,0.241862,0.241862,0.310853,0.205423,0.198296,0.369937,0.233471,0.198296
4,0,12,1452.2,12,1499.45,1,0,9,216.745,0.241872,0.241856,0.310861,0.205411,0.200421,0.363178,0.23598,0.200421
5,0,12,1417.08,12,1417.08,3,3,33,216.636,0.241866,0.241866,0.310869,0.205399,0.205394,0.360939,0.234505,0.199161
6,0,12,1417.08,12,1531.03,0,1,9,216.528,0.213619,0.213619,0.274577,0.298185,0.181282,0.318603,0.206981,0.293134
7,0,12,1417.08,12,1531.03,1,1,0,216.42,0.214732,0.213307,0.27419,0.29777,0.182916,0.312428,0.208852,0.295804
8,0,12,1417.08,12,1531.03,0,3,0,216.311,0.222283,0.185612,0.283845,0.30826,0.194324,0.26951,0.221884,0.314283
9,0,12,1410.89,12,1410.89,3,2,33,216.203,0.193601,0.192444,0.294317,0.319638,0.206464,0.286366,0.235752,0.271419
10,0,11,1285.09,11,1285.09,2,1,33,216.095,0.163534,0.162556,0.248628,0.425282,0.180484,0.250348,0.33189,0.237279
11,0,11,1272.83,11,1272.83,3,0,33,215.987,0.140859,0.140017,0.352738,0.366386,0.156373,0.350445,0.287589,0.205592
12,0,11,1246.23,11,1246.23,3,1,33,215.879,0.116826,0.116127,0.292607,0.474441,0.239166,0.316065,0.259365,0.185403
13,0,11,1119.02,11,1119.02,2,2,33,215.771,0.0927242,0.0921697,0.232284,0.582822,0.202939,0.419666,0.220082,0.157312
14,0,11,1119.02,11,1119.02,1,1,0,215.663,0.0800268,0.0795481,0.337228,0.503197,0.177384,0.366873,0.318247,0.137495
15,0,11,1117.77,11,1117.77,2,3,33,215.556,0.0803129,0.0759749,0.338531,0.505181,0.19141,0.31678,0.343451,0.14836
16,0,11,1117.77,11,1168.35,2,0,9,215.448,0.0667927,0.0631843,0.449731,0.420292,0.173583,0.287305,0.3115,0.227612
17,0,11,1117.77,11,1130.78,3,2,13,215.34,0.0684135,0.0647168,0.436221,0.430649,0.176283,0.286368,0.310489,0.22686
18,0,11,1117.77,11,1130.78,2,0,0,215.232,0.0675713,0.0639194,0.43101,0.437499,0.174031,0.282738,0.319259,0.223973
