iter,state,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,0,7,1338.39,7,1338.39,3,2,33,211.727,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,0,7,1333.82,7,1333.82,3,2,33,211.621,0.21814,0.21814,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814
2,0,7,1306.31,7,1306.31,0,2,33,211.515,0.182242,0.182242,0.182242,0.453275,0.182242,0.182242,0.453275,0.182242
3,0,7,1263.38,7,1263.38,2,0,33,211.409,0.275249,0.161498,0.161498,0.401754,0.145549,0.145549,0.563354,0.145549
4,0,7,1226.02,7,1226.02,2,2,33,211.304,0.247134,0.144987,0.247134,0.360745,0.231215,0.130933,0.506919,0.130933
5,0,7,1223.58,7,1223.58,3,2,33,211.198,0.214473,0.125812,0.346624,0.313092,0.181334,0.102674,0.613317,0.102674
6,0,7,1150.84,7,1150.84,2,2,33,211.092,0.182032,0.10677,0.294222,0.416976,0.136874,0.0774917,0.708143,0.0774917
7,0,7,1146.56,7,1146.56,3,2,33,210.987,0.154813,0.0907951,0.399708,0.354684,0.100195,0.0567195,0.786366,0.0567195
8,0,7,1141.78,7,1141.78,3,2,33,210.881,0.12924,0.075789,0.333745,0.461226,0.0717311,0.0406016,0.847066,0.0406016
9,0,7,1138.77,7,1138.77,3,2,33,210.776,0.103867,0.0609031,0.268273,0.566957,0.0506113,0.028644,0.892101,0.028644
10,0,7,1122.14,7,1122.14,3,2,33,210.67,0.0803255,0.0470945,0.207509,0.665071,0.0354152,0.0200414,0.924502,0.0200414
11,0,7,1113.35,7,1113.35,2,2,33,210.565,0.0601431,0.0352579,0.1554,0.749199,0.0246937,0.0139725,0.947361,0.0139725
12,0,6,1089.92,6,1089.92,0,2,33,210.46,0.0538749,0.0315799,0.24309,0.671455,0.0172145,0.00973939,0.963307,0.00973939
13,0,6,1077.16,6,1077.16,3,2,33,210.355,0.0985211,0.0300735,0.231588,0.639817,0.012026,0.00680312,0.974368,0.00680312
14,0,6,1063.04,6,1063.04,3,2,33,210.249,0.0749102,0.0228609,0.176118,0.726111,0.00843204,0.00476949,0.982029,0.00476949
15,0,6,1063.04,6,1072.2,3,2,9,210.144,0.0555212,0.0169397,0.130555,0.796984,0.00593976,0.00335937,0.987341,0.00335937
16,0,6,1056.93,6,1056.93,3,2,33,210.039,0.0599158,0.0182762,0.140913,0.780895,0.00677069,0.00382889,0.985572,0.00382889
17,0,6,1056.93,6,1059.5,3,1,9,209.934,0.0437661,0.0133469,0.102949,0.839938,0.00478441,0.00270532,0.989805,0.00270532
18,0,6,1031.85,6,1031.85,3,2,33,209.829,0.0476595,0.0145307,0.112126,0.825683,0.00477199,0.00424063,0.988289,0.00269799
19,0,6,1012.03,6,1012.03,3,2,33,209.724,0.0344475,0.0105001,0.0810572,0.873995,0.00339213,0.00301435,0.991676,0.00191763
20,0,6,1002,6,1002,3,2,33,209.619,0.0246679,0.00751736,0.0580551,0.90976,0.00242507,0.00215494,0.994049,0.00137077
21,0,6,1002,6,1010.69,3,2,9,209.515,0.017582,0.00535669,0.0413856,0.935676,0.00174395,0.00154966,0.995721,0.000985661
22,0,6,1002,6,1009.76,3,2,13,209.41,0.0197092,0.00600337,0.0464008,0.927887,0.00203935,0.0018121,0.994996,0.00115248
23,0,6,1002,6,1009.84,0,2,9,209.305,0.0204492,0.00622727,0.0481511,0.925172,0.00219455,0.00194996,0.994615,0.00124005
24,0,6,1002,6,1006.08,3,2,13,209.201,0.0263717,0.00618365,0.0478334,0.919611,0.00255419,0.00226946,0.993733,0.0014431
25,0,6,1000.7,6,1000.7,3,2,33,209.096,0.0273343,0.0064075,0.0495852,0.916673,0.00273604,0.00243098,0.993287,0.00154567
26,0,6,986.505,6,986.505,3,2,33,208.991,0.0194932,0.00456812,0.0353654,0.940573,0.00196242,0.00174358,0.995185,0.0011085
27,0,6,986.505,6,992.78,3,2,9,208.887,0.0138926,0.0032547,0.0252076,0.957645,0.00141597,0.00125803,0.996526,0.000799739
28,0,6,981.364,6,981.364,2,2,33,208.782,0.0157734,0.00369425,0.0286236,0.951909,0.00166295,0.00147743,0.995921,0.000939124
29,0,6,973.625,6,973.625,3,2,33,208.678,0.0153151,0.00358587,0.0560911,0.925008,0.00120337,0.0010691,0.997048,0.000679507
30,0,6,973.625,6,974.406,3,2,9,208.574,0.0110105,0.00257725,0.0403361,0.946076,0.000876051,0.000778283,0.997851,0.000494624
31,0,6,973.625,6,974.406,3,2,9,208.469,0.0125321,0.00293257,0.0459225,0.938613,0.00103895,0.000922977,0.997452,0.000586529
32,0,6,970.523,6,970.523,3,2,33,208.365,0.0142126,0.00332485,0.0520941,0.930368,0.0012279,0.00109081,0.996988,0.000693119
33,0,6,970.523,6,971.061,3,2,9,208.261,0.0102142,0.00238879,0.0374483,0.949949,0.000893323,0.000793571,0.997809,0.000504203
34,0,6,970.523,6,989.74,3,2,9,208.157,0.01165,0.00272377,0.0427232,0.942903,0.00105903,0.000940754,0.997403,0.000597663
35,0,6,970.523,6,988.962,3,2,13,208.053,0.0132397,0.00309454,0.0485657,0.9351,0.00125117,0.00111141,0.996931,0.000706016
36,0,6,970.523,6,980.279,2,2,13,207.949,0.0139104,0.00325038,0.0510395,0.9318,0.00135952,0.00120762,0.996666,0.000767065
37,0,6,970.523,6,994.782,3,2,9,207.845,0.0137116,0.00320299,0.0638304,0.919255,0.00147477,0.00130997,0.996383,0.000831997
38,0,6,970.523,6,997.061,3,2,9,207.741,0.0154772,0.00361437,0.0720718,0.908837,0.00173067,0.00153724,0.995756,0.000976254
39,0,6,970.523,6,1009.85,3,2,9,207.637,0.0174038,0.0040631,0.081068,0.897465,0.00202435,0.00179805,0.995036,0.00114179
40,0,6,970.523,6,1001.75,3,2,13,207.533,0.0194954,0.00455008,0.0908388,0.885116,0.00236027,0.00209636,0.994212,0.0013311
41,0,6,970.523,6,994.709,3,2,13,207.429,0.0202702,0.00472953,0.094478,0.880522,0.00253196,0.0022488,0.993791,0.00142776
42,0,6,970.523,6,992.741,3,2,13,207.326,0.0210551,0.00491125,0.0981667,0.875867,0.00271226,0.00240888,0.99335,0.00152926
43,0,6,970.523,6,990.522,2,2,13,207.222,0.0218495,0.00509506,0.101902,0.871154,0.00290133,0.00257674,0.992886,0.00163567
44,0,6,970.523,6,989.974,2,2,13,207.118,0.0214244,0.00499449,0.118745,0.854836,0.00309931,0.00275251,0.992401,0.00174709
45,0,6,970.523,6,989.974,3,2,9,207.015,0.020992,0.00489225,0.135915,0.838201,0.00330633,0.0029363,0.991894,0.00186357
46,0,6,970.523,6,985.275,3,2,13,206.911,0.0232334,0.00541303,0.150483,0.82087,0.00381596,0.0033888,0.990645,0.00215057
47,0,6,970.523,6,982.393,3,2,13,206.808,0.0239885,0.00558734,0.155432,0.814992,0.00405358,0.00359975,0.990062,0.00228423
48,0,6,970.523,6,981.196,3,2,13,206.705,0.0247467,0.00576225,0.160405,0.809086,0.00430067,0.00381908,0.989457,0.00242318
49,0,6,970.523,6,980.918,3,2,13,206.601,0.0255072,0.00593761,0.165396,0.803159,0.00455726,0.00404684,0.988828,0.00256746
50,0,6,970.523,6,982.301,2,2,9,206.498,0.0262694,0.00611325,0.170402,0.797215,0.0048234,0.00428307,0.988176,0.00271709
51,0,6,970.523,6,991.869,2,2,9,206.395,0.0260874,0.00606912,0.175611,0.792232,0.00552251,0.00490375,0.986463,0.00311055
