iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,13,1370.9,13,1370.9,2,1,33,217.179,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,12,1449.35,12,1449.35,1,0,33,217.07,0.21814,0.21814,0.345581,0.21814,0.21814,0.345581,0.21814,0.21814
2,12,1449.35,12,1449.35,3,3,0,216.962,0.191272,0.31441,0.303045,0.191272,0.31441,0.303045,0.191272,0.191272
3,12,1425.73,12,1425.73,3,1,33,216.853,0.196839,0.323592,0.311893,0.167676,0.323592,0.311893,0.196839,0.167676
4,12,1231.97,12,1231.97,2,2,33,216.745,0.176801,0.290679,0.280169,0.252351,0.274412,0.416509,0.166906,0.142173
5,12,1230.69,12,1230.69,3,1,33,216.636,0.152262,0.25036,0.380035,0.217342,0.24552,0.372687,0.254605,0.127188
6,12,1230.69,12,1399.37,1,2,9,216.528,0.133511,0.219549,0.333293,0.313647,0.203358,0.480424,0.210885,0.105333
7,12,1230.69,12,1278.79,0,1,13,216.42,0.133392,0.220129,0.333058,0.313421,0.20182,0.476873,0.216785,0.104522
8,12,1230.69,12,1337.31,2,1,9,216.311,0.149549,0.216012,0.326856,0.307582,0.198633,0.485145,0.213364,0.102858
9,12,1230.69,12,1306.86,3,3,13,216.203,0.151394,0.218693,0.318491,0.311421,0.203225,0.473252,0.2183,0.105222
10,12,1230.69,12,1306.86,1,1,0,216.095,0.149247,0.215607,0.314021,0.321124,0.198991,0.463471,0.213755,0.123783
11,12,1230.69,12,1347.35,3,1,9,215.987,0.154685,0.186929,0.325511,0.332875,0.219681,0.407695,0.235984,0.13664
12,12,1230.69,12,1347.35,1,1,0,215.879,0.156615,0.189268,0.329621,0.324496,0.223453,0.397536,0.240038,0.138973
13,12,1230.69,12,1255.78,0,1,13,215.771,0.161176,0.165558,0.339271,0.333995,0.242651,0.345785,0.260665,0.150898
14,11,1220.15,11,1220.15,0,1,33,215.663,0.177618,0.162295,0.33263,0.327457,0.239006,0.355623,0.256753,0.148618
15,11,1220.15,11,1220.15,2,3,0,215.556,0.263842,0.145262,0.297764,0.293132,0.19942,0.462359,0.214231,0.12399
16,11,1220.15,11,1302.11,1,1,9,215.448,0.2802,0.15425,0.254238,0.311312,0.20169,0.467702,0.216672,0.113936
17,11,1220.15,11,1302.11,0,3,0,215.34,0.278766,0.158576,0.252932,0.309726,0.206089,0.456101,0.221402,0.116408
18,11,1220.15,11,1302.11,3,1,0,215.232,0.239028,0.167298,0.266869,0.326805,0.208162,0.46076,0.223631,0.107447
19,11,1220.15,11,1302.11,1,1,0,215.125,0.255375,0.178726,0.285125,0.280774,0.229604,0.405227,0.246671,0.118499
20,11,1220.15,11,1302.11,1,2,0,215.017,0.262605,0.155463,0.293204,0.288729,0.249758,0.353031,0.268327,0.128884
21,11,1220.15,11,1302.11,2,1,0,214.91,0.26844,0.136685,0.299726,0.29515,0.261935,0.370269,0.232647,0.13515
22,11,1220.15,11,1271.9,3,1,13,214.802,0.284899,0.145046,0.256801,0.313253,0.282399,0.321095,0.250817,0.145689
23,11,1220.15,11,1263.17,0,2,13,214.695,0.280641,0.142859,0.252957,0.323544,0.278039,0.331601,0.246939,0.143421
24,11,1220.15,11,1263.17,1,1,0,214.587,0.293051,0.140378,0.248593,0.317978,0.272706,0.325252,0.261391,0.140651
25,11,1211.58,11,1211.58,3,0,33,214.48,0.298275,0.125058,0.253016,0.323651,0.290982,0.280055,0.278906,0.150057
26,11,1211.58,11,1211.58,0,0,0,214.373,0.252099,0.105679,0.213839,0.428383,0.392176,0.240091,0.239105,0.128628
27,11,1211.58,11,1211.58,3,0,0,214.266,0.221254,0.110015,0.222645,0.446086,0.34115,0.260253,0.259184,0.139412
28,11,1149.25,11,1149.25,3,1,33,214.159,0.242997,0.12081,0.244524,0.391669,0.294453,0.278707,0.277562,0.149279
29,11,1144.93,11,1144.93,3,1,33,214.052,0.199318,0.09908,0.200571,0.501031,0.253444,0.379183,0.238902,0.128471
30,11,1133.51,11,1133.51,3,1,33,213.945,0.156504,0.0777865,0.157488,0.608221,0.209079,0.487871,0.197081,0.105968
31,11,1131.37,11,1131.37,3,1,33,213.838,0.118196,0.0587384,0.11894,0.704126,0.165095,0.595622,0.155619,0.0836641
32,11,1131.37,11,1139.36,3,1,9,213.731,0.0865137,0.0429875,0.0870578,0.783441,0.125315,0.693068,0.118121,0.0634965
33,11,1131.37,11,1134.77,3,1,13,213.624,0.091536,0.0454766,0.0921118,0.770876,0.130973,0.679221,0.123452,0.0663541
34,11,1127.32,11,1127.32,3,1,33,213.517,0.0908763,0.0451426,0.0914481,0.772533,0.129424,0.683024,0.121991,0.0655608
35,11,1127.32,11,1135.65,2,1,9,213.41,0.0651969,0.0323819,0.0656072,0.836814,0.095414,0.766327,0.0899332,0.0483261
36,11,1123.79,11,1123.79,3,1,33,213.303,0.0643641,0.0319637,0.0771259,0.826546,0.100761,0.753241,0.0949716,0.0510271
37,11,1115.02,11,1115.02,3,3,33,213.197,0.0456001,0.0226422,0.0546435,0.877114,0.0727289,0.821895,0.0685497,0.0368263
38,11,1109.26,11,1109.26,3,1,33,213.09,0.0319706,0.0158724,0.0383124,0.913845,0.0700084,0.791534,0.0659846,0.0724728
39,11,1109.26,11,1130.57,3,1,9,212.984,0.0222997,0.0110696,0.0267241,0.939907,0.050168,0.850614,0.047284,0.0519343
40,11,1109.26,11,1151.66,3,0,9,212.877,0.0245611,0.0121904,0.0294352,0.933813,0.0539753,0.839277,0.0508719,0.0558761
41,11,1109.26,11,1143.52,3,1,13,212.771,0.026983,0.0133906,0.032339,0.927287,0.0644539,0.830032,0.0502833,0.0552307
42,11,1109.26,11,1155.04,3,1,9,212.664,0.0274467,0.0136188,0.0328959,0.926039,0.0646812,0.829437,0.0504582,0.0554238
43,11,1109.26,11,1114.18,3,1,13,212.558,0.0300634,0.0149151,0.0360334,0.918988,0.0693609,0.817101,0.0541061,0.0594319
44,11,1109.26,11,1114.18,3,3,0,212.452,0.0305098,0.0151344,0.0365697,0.917786,0.0695006,0.816737,0.0542124,0.0595497
45,11,1109.26,11,1111.41,3,1,13,212.346,0.0392559,0.0194703,0.0470548,0.894219,0.0694867,0.816977,0.0541989,0.0593375
46,11,1104.59,11,1104.59,3,1,33,212.239,0.0396156,0.0196459,0.0474876,0.893251,0.0696233,0.816622,0.0543027,0.0594523
47,11,1103.28,11,1103.28,3,1,33,212.133,0.0276825,0.0137262,0.0331845,0.925407,0.0496111,0.869334,0.0386923,0.0423623
48,11,1096.79,11,1096.79,0,1,33,212.027,0.0192768,0.00955691,0.0231089,0.948057,0.0349558,0.907936,0.0272611,0.0298473
