iter,best_veh,best_dist,curr_veh,curr_dist,d_op,r_op,reward,temp,d_weight_0,d_weight_1,d_weight_2,d_weight_3,r_weight_0,r_weight_1,r_weight_2,r_weight_3
0,9,1297.01,9,1297.01,2,0,33,221.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1,6,1163.04,6,1163.04,1,0,33,221.015,0.21814,0.21814,0.345581,0.21814,0.345581,0.21814,0.21814,0.21814
2,5,1382.9,5,1382.9,1,0,33,220.904,0.191272,0.31441,0.303045,0.191272,0.453275,0.182242,0.182242,0.182242
3,5,1355.38,5,1355.38,2,3,33,220.794,0.162243,0.418438,0.257076,0.162243,0.563354,0.145549,0.145549,0.145549
4,5,1312.99,5,1312.99,1,3,33,220.683,0.139536,0.359943,0.360984,0.139536,0.506919,0.130933,0.130933,0.231215
5,5,1312.99,5,1376.69,1,0,9,220.573,0.116272,0.466602,0.300855,0.116272,0.43911,0.113388,0.113388,0.334115
6,5,1312.99,5,1377.82,3,3,9,220.463,0.118839,0.454763,0.307558,0.118839,0.427578,0.115704,0.115704,0.341014
7,5,1312.99,5,1345.19,3,3,13,220.353,0.117543,0.449923,0.304261,0.128273,0.431031,0.116608,0.116608,0.335753
8,5,1135.7,5,1135.7,2,1,33,220.242,0.114984,0.440248,0.297694,0.147073,0.422455,0.114258,0.114258,0.349029
9,4,1258.04,4,1258.04,1,0,33,220.132,0.0974186,0.373092,0.404878,0.124611,0.388725,0.185017,0.105108,0.32115
10,4,1258.04,4,1534.07,1,2,9,220.022,0.0807222,0.480436,0.335582,0.10326,0.495549,0.152678,0.0867266,0.265046
11,4,1258.04,4,1475.44,0,1,13,219.912,0.0828581,0.466585,0.34456,0.105997,0.490207,0.150997,0.0966398,0.262156
12,4,1258.04,4,1498.78,0,0,9,219.802,0.0992143,0.45829,0.338414,0.104082,0.479131,0.170242,0.0944256,0.256201
13,4,1258.04,4,1498.78,2,3,0,219.692,0.10834,0.453674,0.334984,0.103003,0.465488,0.174698,0.0968856,0.262928
14,4,1258.04,4,1513.34,1,0,9,219.583,0.115482,0.483721,0.291005,0.109792,0.486296,0.182472,0.101185,0.230047
15,4,1258.04,4,1502.6,1,0,13,219.473,0.118509,0.470133,0.298688,0.112669,0.472906,0.187229,0.10381,0.236055
16,4,1258.04,4,1502.6,2,0,0,219.363,0.117,0.476829,0.294938,0.111233,0.479804,0.184779,0.10244,0.232977
17,4,1258.04,4,1495.79,1,2,13,219.253,0.123164,0.502091,0.257653,0.117092,0.421994,0.205314,0.113811,0.258881
18,4,1258.04,4,1450.58,3,0,13,219.144,0.121524,0.508683,0.254261,0.115532,0.413713,0.201256,0.131255,0.253776
19,4,1258.04,4,1417.88,2,0,13,219.034,0.118894,0.497814,0.248794,0.134499,0.421437,0.198605,0.129515,0.250444
20,4,1258.04,4,1373.93,1,0,13,218.925,0.115995,0.485817,0.266964,0.131223,0.429048,0.195992,0.1278,0.24716
21,4,1258.04,4,1310.1,3,0,13,218.815,0.114528,0.492276,0.26363,0.129566,0.436543,0.193419,0.126111,0.243927
22,4,1258.04,4,1310.1,3,3,0,218.706,0.112011,0.481599,0.25788,0.14851,0.44392,0.190886,0.124449,0.240744
23,4,1258.04,4,1371.78,1,2,9,218.596,0.113877,0.489766,0.262221,0.134136,0.461403,0.19837,0.129317,0.21091
24,4,1258.04,4,1371.78,3,0,0,218.487,0.116933,0.476025,0.269302,0.13774,0.456783,0.196351,0.138101,0.208765
25,4,1258.04,4,1371.78,1,3,0,218.378,0.118628,0.483061,0.273251,0.125059,0.400058,0.216858,0.152513,0.230571
26,4,1258.04,4,1371.78,0,1,0,218.269,0.131962,0.424903,0.304016,0.139118,0.415251,0.225066,0.158275,0.201408
27,4,1258.04,4,1334.3,2,3,13,218.16,0.11948,0.431039,0.308386,0.141095,0.430118,0.197384,0.16391,0.208588
28,4,1258.04,4,1300.65,3,0,13,218.05,0.117055,0.422399,0.32231,0.138236,0.42033,0.192863,0.160149,0.226658
29,4,1258.04,4,1366.36,2,0,9,217.941,0.114604,0.413662,0.315626,0.156108,0.428641,0.190097,0.157847,0.223415
30,4,1258.04,4,1438.82,1,0,9,217.832,0.115391,0.41661,0.310808,0.15719,0.41714,0.193923,0.161018,0.227919
31,4,1258.04,4,1438.82,2,3,0,217.724,0.11774,0.404665,0.317196,0.160399,0.405953,0.197645,0.164102,0.232301
32,4,1258.04,4,1438.82,1,2,0,217.615,0.125084,0.430012,0.27449,0.170415,0.421351,0.205112,0.170295,0.203241
33,4,1258.04,4,1384.87,0,0,13,217.506,0.137171,0.374874,0.301062,0.186894,0.430716,0.209641,0.151914,0.207729
34,4,1258.04,4,1384.87,2,3,0,217.397,0.154207,0.367489,0.295118,0.183187,0.439382,0.206453,0.149595,0.20457
35,4,1258.04,4,1384.87,2,2,0,217.288,0.163041,0.388609,0.254662,0.193688,0.45239,0.212534,0.153991,0.181085
36,4,1258.04,4,1384.87,1,3,0,217.18,0.170276,0.405925,0.221509,0.20229,0.460432,0.216279,0.139019,0.18427
37,4,1258.04,4,1346.24,3,0,13,217.071,0.185448,0.352973,0.241258,0.220321,0.471519,0.221453,0.142333,0.164695
38,4,1258.04,4,1346.24,1,1,0,216.963,0.18174,0.34596,0.236447,0.235853,0.480153,0.217845,0.140001,0.162002
39,4,1258.04,4,1346.24,2,1,0,216.854,0.195106,0.297833,0.253849,0.253212,0.495157,0.193475,0.14434,0.167028
40,4,1258.04,4,1337.57,1,0,13,216.746,0.204529,0.312245,0.217769,0.265456,0.507555,0.173355,0.147918,0.171173
41,4,1258.04,4,1337.57,2,0,0,216.637,0.201585,0.322131,0.214637,0.261648,0.516045,0.170368,0.145365,0.168223
42,4,1258.04,4,1332.9,1,2,13,216.529,0.208843,0.333761,0.186314,0.271082,0.458924,0.190478,0.162518,0.18808
43,4,1258.04,4,1433.21,1,1,9,216.421,0.205696,0.34379,0.183502,0.267012,0.447906,0.185873,0.182689,0.183531
44,3,1348.51,3,1348.51,1,3,33,216.313,0.208281,0.335534,0.185804,0.270381,0.444156,0.192755,0.181127,0.181962
45,3,1348.51,3,1348.51,1,3,0,216.204,0.175057,0.441517,0.156162,0.227264,0.394023,0.17097,0.160654,0.274353
46,3,1348.51,3,1348.51,0,0,0,216.096,0.192269,0.386597,0.171512,0.249622,0.413545,0.179411,0.168584,0.23846
