Instancia,Clase,Algoritmo,Avg_Vehiculos,Avg_Distancia,BKS_Vehiculos,BKS_Distancia,GAP_Vehiculos(%),GAP_Distancia(%),GAP_Unificado(%)
r111,R1,QLEARNING,11.0,1054.23,10,1096.73,10.0,-3.875156145997648,9.849477821884053
r112,R1,CLASSIC,10.0,967.79,9,982.14,11.11111111111111,-1.4610951595495574,10.975395830434406
r201,R2,CLASSIC,4.0,1263.8,4,1252.37,0.0,0.9126695784792086,0.02770749898733161
r112,R1,QLEARNING,10.0,959.55,9,982.14,11.11111111111111,-2.300079418412857,10.966339107873264
r201,R2,QLEARNING,4.0,1252.37,4,1252.37,0.0,0.0,0.0
r202,R2,CLASSIC,4.0,1083.87,3,1191.7,33.33333333333333,-9.04841822606362,31.714109843323712
r202,R2,QLEARNING,4.0,1084.09,3,1191.7,33.33333333333333,-9.029957203994304,31.714815159160914
r203,R2,CLASSIC,3.0,958.19,3,939.5,0.0,1.989356040447052,0.060408216034514746
r204,R2,CLASSIC,3.0,752.06,2,825.52,50.0,-8.898633588526025,47.665268382254084
r203,R2,QLEARNING,3.0,944.44,3,939.5,0.0,0.5258116019159186,0.015966644580548136
r205,R2,CLASSIC,3.0,994.43,3,994.43,0.0,0.0,0.0
r204,R2,QLEARNING,3.0,757.14,2,825.52,50.0,-8.283263882159124,47.68966153066045
r205,R2,QLEARNING,3.0,1028.6,3,994.43,0.0,3.4361392958780366,0.1102456150992235
r206,R2,CLASSIC,3.0,913.26,3,906.14,0.0,0.7857505462732034,0.02303749352070165
r206,R2,QLEARNING,3.0,913.2,3,906.14,0.0,0.7791290529057385,0.02284335733935493
r207,R2,CLASSIC,3.0,819.26,2,890.61,50.0,-8.011362998394361,47.526855367076394
r207,R2,QLEARNING,3.0,835.76,2,890.61,50.0,-6.158700216705407,47.60583822109549
r208,R2,CLASSIC,2.0,732.23,2,726.82,0.0,0.7443383506232586,0.026101447303541275
r208,R2,QLEARNING,2.0,741.48,2,726.82,0.0,2.017005585977266,0.07072961505913523
r209,R2,CLASSIC,3.0,922.48,3,909.16,0.0,1.4650886532623575,0.04309402131924552
r209,R2,QLEARNING,3.0,928.71,3,909.16,0.0,2.1503365744203515,0.06324985861796073
r210,R2,CLASSIC,3.0,951.0,3,939.37,0.0,1.238063808722867,0.037589647106586264
r210,R2,QLEARNING,3.0,954.12,3,939.37,0.0,1.570201305130034,0.047673886055210564
r211,R2,CLASSIC,3.0,767.82,2,885.71,50.0,-13.310225694640456,47.315173867682745
r211,R2,QLEARNING,3.0,795.89,2,885.71,50.0,-10.141016811371673,47.449571980076335
rc101,RC1,CLASSIC,15.0,1623.58,14,1696.95,7.142857142857142,-4.3236394708152925,7.005535404961064
rc101,RC1,QLEARNING,15.0,1642.86,14,1696.95,7.142857142857142,-3.187483426146919,7.0191419081356194
rc102,RC1,CLASSIC,13.0,1484.97,12,1554.75,8.333333333333332,-4.488181379643027,8.169339330630848
rc102,RC1,QLEARNING,13.0,1491.07,12,1554.75,8.333333333333332,-4.095835343302786,8.174357645423157
rc103,RC1,CLASSIC,12.0,1282.17,11,1261.67,9.090909090909092,1.624830581689348,9.006246266122018
rc103,RC1,QLEARNING,11.0,1266.71,11,1261.67,0.0,0.3994705430104515,0.004529861901235303
rc104,RC1,CLASSIC,10.0,1137.25,10,1135.48,0.0,0.15588121323140713,0.0017501276505575238
rc104,RC1,QLEARNING,10.0,1152.98,10,1135.48,0.0,1.5411984359037587,0.017303521968749246
rc105,RC1,CLASSIC,14.0,1552.05,13,1629.44,7.6923076923076925,-4.749484485467406,7.538290826125209
rc105,RC1,QLEARNING,14.0,1543.55,13,1629.44,7.6923076923076925,-5.271136095836612,7.531833304160518
rc106,RC1,CLASSIC,12.0,1386.79,11,1424.73,9.090909090909092,-2.662960701325869,8.940618478501134
rc106,RC1,QLEARNING,12.0,1390.59,11,1424.73,9.090909090909092,-2.396243498768195,8.944028852481852
rc107,RC1,CLASSIC,11.0,1248.07,11,1230.48,0.0,1.4295234380079251,0.01581401069204328
rc107,RC1,QLEARNING,11.0,1248.16,11,1230.48,0.0,1.4368376568493646,0.015894923765507052
rc108,RC1,CLASSIC,11.0,1119.11,10,1139.82,10.0,-1.816953554069944,9.866825944519174
rc108,RC1,QLEARNING,11.0,1124.52,10,1139.82,10.0,-1.3423172079802035,9.872174975197698
rc201,RC2,CLASSIC,4.0,1418.51,4,1406.94,0.0,0.8223520548139889,0.02794217587679676
rc201,RC2,QLEARNING,4.0,1406.94,4,1406.94,0.0,0.0,0.0
rc202,RC2,CLASSIC,4.0,1176.3,3,1365.65,33.33333333333333,-13.865192399223822,31.27832517419534
rc202,RC2,QLEARNING,4.0,1161.29,3,1365.65,33.33333333333333,-14.96430271299382,31.230470275604038
rc203,RC2,CLASSIC,3.0,1104.74,3,1049.62,0.0,5.251424324993819,0.1775223014001544
rc203,RC2,QLEARNING,3.0,1073.16,3,1049.62,0.0,2.2427164116537597,0.07581413234687212
rc204,RC2,CLASSIC,3.0,831.44,3,798.46,0.0,4.130451118402928,0.10708327624173275
rc204,RC2,QLEARNING,3.0,798.61,3,798.46,0.0,0.01878616336447377,0.0004870373388846559
rc205,RC2,CLASSIC,4.0,1320.05,4,1297.65,0.0,1.7261973567602866,0.05424037445230286
rc205,RC2,QLEARNING,4.0,1338.78,4,1297.65,0.0,3.1695757715870903,0.09959404469745223
rc206,RC2,CLASSIC,4.0,1085.16,3,1146.32,33.33333333333333,-5.335333938167341,31.91015824662433
rc206,RC2,QLEARNING,3.0,1146.32,3,1146.32,0.0,0.0,0.0
rc207,RC2,CLASSIC,3.0,1101.16,3,1061.14,0.0,3.7714156473226885,0.12884266321197624
rc207,RC2,QLEARNING,4.0,1027.97,3,1061.14,33.33333333333333,-3.1258834838004477,32.08777913495771
rc208,RC2,CLASSIC,3.0,864.54,3,828.14,0.0,4.395392083464146,0.11807394153523842
rc208,RC2,QLEARNING,3.0,841.51,3,828.14,0.0,1.614461322964717,0.043369466986976773
